# Fri Sep  1 18:57:35 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=6, Vmin=-5, Npos=75, Nneg=75, pw=0.1, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.140732765197753906e-02,-3.504749999999999944e-05,-6.994249999999999913e-10,2.311527729034423828e-01,4.000259999999999927e-01,8.124349999999999971e-10
3.725836277008056641e-01,1.621259999999999923e-01,1.058920000000000103e-09,5.141034126281738281e-01,4.000299999999999967e-01,1.161089999999999968e-09
6.577534675598144531e-01,3.243210000000000259e-01,2.714279999999999958e-10,8.123459815979003906e-01,4.000219999999999887e-01,1.071180000000000017e-09
9.531245231628417969e-01,4.865169999999999773e-01,1.153720000000000024e-09,1.094974040985107422e+00,4.000290000000000235e-01,1.052509999999999915e-09
1.236353397369384766e+00,6.487000000000000544e-01,9.119510000000000492e-10,1.377360820770263672e+00,4.000389999999999779e-01,5.208610000000000070e-10
1.518880605697631836e+00,8.108840000000000492e-01,5.313160000000000112e-11,1.659898519515991211e+00,4.000360000000000027e-01,-3.374460000000000257e-10
1.803150892257690430e+00,9.730529999999999458e-01,-7.060289999999999821e-10,1.957826852798461914e+00,4.000380000000000047e-01,2.081510000000000084e-10
2.097747087478637695e+00,1.135210000000000052e+00,4.477139999999999803e-10,2.239408731460571289e+00,4.000389999999999779e-01,-2.877949999999999869e-10
2.382586479187011719e+00,1.297369999999999912e+00,-6.496189999999999670e-10,2.535584449768066406e+00,4.000369999999999759e-01,7.039789999999999737e-10
2.689308404922485352e+00,1.459500000000000020e+00,7.845399999999999605e-10,2.831069469451904297e+00,4.000290000000000235e-01,9.517070000000000927e-10
2.973063945770263672e+00,1.621639999999999970e+00,1.408099999999999925e-09,3.113561868667602539e+00,4.000380000000000047e-01,1.041780000000000098e-09
3.269083499908447266e+00,1.783800000000000052e+00,8.185390000000000413e-10,3.423651456832885742e+00,4.000330000000000275e-01,-8.895520000000000111e-10
3.578330755233764648e+00,1.945950000000000069e+00,2.417089999999999767e-10,3.718979358673095703e+00,4.000380000000000047e-01,-6.388189999999999630e-10
3.857617378234863281e+00,-3.600119999999999677e-05,-3.293630000000000133e-10,3.997060298919677734e+00,4.000380000000000047e-01,2.404929999999999883e-10
4.138755083084106445e+00,-3.480909999999999847e-05,-5.258920000000000488e-10,4.279536485671997070e+00,4.000440000000000107e-01,-4.930259999999999682e-10
4.419749975204467773e+00,-3.266330000000000286e-05,-7.991430000000000186e-10,4.561481952667236328e+00,4.000409999999999799e-01,-7.936360000000000292e-10
4.702437400817871094e+00,-3.814699999999999916e-05,-9.279849999999999754e-10,4.844080209732055664e+00,4.000330000000000275e-01,-5.271430000000000273e-10
4.987137079238891602e+00,-4.053120000000000252e-05,2.438780000000000237e-10,5.127546787261962891e+00,4.000279999999999947e-01,7.306580000000000219e-10
5.269803285598754883e+00,-4.458429999999999934e-05,8.566980000000000333e-10,5.413453340530395508e+00,4.000310000000000255e-01,9.990219999999999443e-10
5.554890632629394531e+00,-4.029270000000000133e-05,2.491589999999999871e-10,5.711538553237915039e+00,4.000310000000000255e-01,1.165519999999999921e-09
5.852202177047729492e+00,-4.124639999999999866e-05,8.854149999999999870e-10,5.993737936019897461e+00,4.000279999999999947e-01,8.656020000000000059e-10
6.136946439743041992e+00,-3.504749999999999944e-05,-4.683490000000000336e-10,6.293048143386840820e+00,4.000340000000000007e-01,9.003400000000000156e-10
6.434124231338500977e+00,-3.767009999999999700e-05,3.082870000000000026e-10,6.574621915817260742e+00,4.000340000000000007e-01,3.301379999999999926e-10
6.718544244766235352e+00,-3.767009999999999700e-05,-8.552549999999999588e-10,6.857900857925415039e+00,4.000380000000000047e-01,-6.148339999999999677e-10
7.000508069992065430e+00,-4.076959999999999672e-05,-8.180979999999999805e-10,7.154536724090576172e+00,4.000340000000000007e-01,3.230929999999999926e-10
7.295229911804199219e+00,-3.767009999999999700e-05,-1.917959999999999909e-10,7.435254096984863281e+00,4.000380000000000047e-01,-2.059699999999999877e-10
7.591740369796752930e+00,-4.363060000000000202e-05,6.023650000000000183e-10,7.750000000000000000e+00,4.000360000000000027e-01,1.156810000000000062e-09
7.891527175903320312e+00,-3.957749999999999842e-05,6.379010000000000495e-10,8.032850027084350586e+00,4.000369999999999759e-01,5.025029999999999965e-10
8.188641786575317383e+00,-4.458429999999999934e-05,9.193659999999999662e-10,8.330992221832275391e+00,4.000319999999999987e-01,9.671929999999999707e-10
8.484660148620605469e+00,-4.267689999999999792e-05,3.462310000000000113e-10,8.627251625061035156e+00,4.000279999999999947e-01,1.100899999999999993e-09
8.768879652023315430e+00,-4.029270000000000133e-05,9.428380000000000068e-10,8.908805370330810547e+00,4.000349999999999739e-01,1.170690000000000018e-09
9.064146041870117188e+00,-4.124639999999999866e-05,5.812169999999999586e-10,9.220245122909545898e+00,4.000349999999999739e-01,-4.967570000000000249e-10
9.361631393432617188e+00,-4.196170000000000179e-05,-3.611449999999999973e-10,9.502032756805419922e+00,4.000290000000000235e-01,-7.183549999999999456e-11
9.641662597656250000e+00,-4.410739999999999718e-05,-2.321960000000000014e-10,9.783885002136230469e+00,4.000259999999999927e-01,5.381820000000000136e-10
9.924338817596435547e+00,-4.410739999999999718e-05,5.098580000000000192e-10,1.006618404388427734e+01,4.000250000000000195e-01,1.094730000000000003e-09
1.020709729194641113e+01,-3.957749999999999842e-05,9.222270000000000042e-10,1.034830069541931152e+01,4.000330000000000275e-01,1.119760000000000071e-09
1.049030447006225586e+01,-3.290179999999999727e-05,3.678679999999999750e-10,1.063367915153503418e+01,4.000400000000000067e-01,-3.951790000000000164e-10
1.077398395538330078e+01,-3.290179999999999727e-05,-6.530760000000000514e-10,1.091777729988098145e+01,4.000369999999999759e-01,-7.188320000000000050e-10
1.107206487655639648e+01,-3.266330000000000286e-05,-2.987739999999999756e-10,1.121490049362182617e+01,4.000400000000000067e-01,-7.564780000000000423e-10
1.136915588378906250e+01,-3.671649999999999990e-05,5.572799999999999616e-10,1.150879716873168945e+01,4.000369999999999759e-01,8.624549999999999960e-10
1.166531252861022949e+01,-4.434589999999999837e-05,9.427070000000000203e-10,1.182060313224792480e+01,4.000270000000000215e-01,1.185660000000000019e-10
1.195989441871643066e+01,-4.863740000000000294e-05,-6.536250000000000305e-11,1.209953546524047852e+01,4.000239999999999907e-01,-1.847029999999999928e-10
