# Fri Sep  1 17:42:02 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#   pw=0.1, T = 0.01, nplc=0.5
5.914664268493652344e-02,-4.687309999999999681e-05,3.494140000000000199e-10,2.309143543243408203e-01,4.000170000000000115e-01,8.932469999999999657e-10
3.701825141906738281e-01,1.351009999999999989e-01,-4.946470000000000187e-10,5.097703933715820312e-01,4.000130000000000075e-01,1.501659999999999962e-09
6.511046886444091797e-01,2.702499999999999902e-01,1.007440000000000013e-10,7.912657260894775391e-01,4.000130000000000075e-01,8.567570000000000225e-10
9.305410385131835938e-01,4.053959999999999786e-01,7.589820000000000163e-10,1.072641849517822266e+00,4.000190000000000135e-01,5.662080000000000366e-10
1.212838649749755859e+00,5.405680000000000485e-01,1.194499999999999959e-09,1.353146553039550781e+00,4.000119999999999787e-01,3.504990000000000218e-10
1.508787870407104492e+00,6.757069999999999466e-01,4.652680000000000109e-09,1.649798154830932617e+00,4.000139999999999807e-01,1.527200000000000062e-09
1.789873600006103516e+00,8.108579999999999677e-01,5.598330000000000043e-09,1.933211803436279297e+00,4.000090000000000034e-01,1.481290000000000010e-10
2.085460901260375977e+00,9.459689999999999488e-01,8.837459999999999383e-09,2.227329730987548828e+00,4.000099999999999767e-01,2.229759999999999960e-09
2.365093708038330078e+00,1.081120000000000081e+00,1.065739999999999920e-08,2.505429029464721680e+00,4.000040000000000262e-01,2.349750000000000080e-09
2.661272048950195312e+00,1.216259999999999897e+00,1.179300000000000012e-08,2.799586296081542969e+00,4.000020000000000242e-01,9.147049999999999965e-10
2.955622196197509766e+00,1.351369999999999960e+00,1.135749999999999930e-08,3.097164154052734375e+00,4.000049999999999994e-01,2.333999999999999902e-10
3.253381252288818359e+00,1.486509999999999998e+00,1.622759999999999967e-08,3.393997192382812500e+00,4.000049999999999994e-01,2.497669999999999813e-10
3.532946348190307617e+00,1.621609999999999996e+00,1.715110000000000129e-08,3.673786640167236328e+00,4.000090000000000034e-01,1.793029999999999908e-10
3.817002534866333008e+00,1.756760000000000099e+00,2.040790000000000105e-08,3.958153724670410156e+00,4.000049999999999994e-01,-8.108620000000000481e-11
4.112709283828735352e+00,1.891829999999999901e+00,2.675090000000000166e-07,4.267937898635864258e+00,3.999989999999999934e-01,4.799869999999999887e-09
4.474807024002075195e+00,2.026670000000000194e+00,2.906159999999999866e-07,4.631937265396118164e+00,4.000029999999999974e-01,4.058310000000000227e-09
4.835557937622070312e+00,2.162009999999999987e+00,4.090929999999999959e-07,4.991481781005859375e+00,4.000029999999999974e-01,3.643950000000000016e-09
5.196653604507446289e+00,2.297050000000000036e+00,2.732130000000000047e-06,5.367092609405517578e+00,4.000040000000000262e-01,1.664199999999999899e-09
5.569395780563354492e+00,2.432430000000000092e+00,5.279830000000000235e-07,5.727012395858764648e+00,4.000020000000000242e-01,9.099840000000000290e-10
5.930901527404785156e+00,2.567309999999999981e+00,7.877440000000000425e-07,6.084120988845825195e+00,4.000000000000000222e-01,1.504959999999999940e-09
6.287413120269775391e+00,2.702669999999999906e+00,8.527820000000000456e-07,6.446248054504394531e+00,3.999980000000000202e-01,4.297360000000000140e-09
6.650816917419433594e+00,2.838029999999999831e+00,9.820579999999999917e-07,6.822729110717773438e+00,4.000070000000000014e-01,1.159720000000000003e-09
7.027458906173706055e+00,2.972999999999999865e+00,8.631530000000000264e-07,7.184609651565551758e+00,4.000079999999999747e-01,7.027149999999999872e-10
7.389800071716308594e+00,3.108389999999999986e+00,1.265289999999999917e-06,7.562070369720458984e+00,4.000020000000000242e-01,6.937430000000000103e-09
7.767286300659179688e+00,3.243399999999999839e+00,1.093310000000000041e-06,7.939156532287597656e+00,4.000029999999999974e-01,8.474889999999999465e-09
