# Fri Sep  1 18:00:20 2023
#  Tiempo [s], Voltaje [V], Corriente [A]
#   pw=0.1, T = 0.01, nplc=0.5
5.039167404174804688e-02,4.000290000000000235e-01,2.291580000000000063e-09
2.227706909179687500e-01,-2.274510000000000014e-05,6.267429999999999728e-10
3.647866249084472656e-01,4.000319999999999987e-01,4.348649999999999867e-09
5.058043003082275391e-01,1.351179999999999881e-01,1.176059999999999969e-09
6.489996910095214844e-01,4.000279999999999947e-01,2.122710000000000004e-09
7.909400463104248047e-01,2.702609999999999735e-01,7.379890000000000455e-10
9.322171211242675781e-01,4.000259999999999927e-01,1.886379999999999849e-09
1.075262308120727539e+00,4.053979999999999806e-01,3.334409999999999862e-09
1.216328382492065430e+00,4.000250000000000195e-01,3.891720000000000288e-09
1.356992721557617188e+00,5.405769999999999742e-01,5.705119999999999837e-09
1.498981237411499023e+00,4.000210000000000155e-01,4.929050000000000055e-09
1.642207860946655273e+00,6.757229999999999626e-01,8.067140000000000331e-09
1.782361268997192383e+00,4.000330000000000275e-01,4.675249999999999959e-09
1.922175168991088867e+00,8.108720000000000372e-01,9.555650000000000601e-09
2.063889980316162109e+00,4.000270000000000215e-01,4.033679999999999661e-09
2.206231594085693359e+00,9.459790000000000143e-01,8.711720000000000601e-09
2.360210180282592773e+00,4.000210000000000155e-01,4.835920000000000398e-09
2.502043485641479492e+00,1.081129999999999924e+00,1.393149999999999971e-08
2.644806861877441406e+00,4.000310000000000255e-01,3.172779999999999874e-09
2.787294149398803711e+00,1.216290000000000093e+00,1.422559999999999935e-08
2.927015542984008789e+00,4.000330000000000275e-01,2.387979999999999854e-09
3.068739891052246094e+00,1.351390000000000091e+00,1.747410000000000028e-08
3.226526975631713867e+00,4.000310000000000255e-01,2.224720000000000151e-09
3.370434999465942383e+00,1.486520000000000064e+00,2.136550000000000030e-08
3.512362241744995117e+00,4.000230000000000175e-01,1.938869999999999944e-09
3.653102636337280273e+00,1.621620000000000061e+00,2.657759999999999971e-08
3.793640851974487305e+00,4.000190000000000135e-01,2.627520000000000042e-09
3.933170318603515625e+00,1.756769999999999943e+00,4.885360000000000012e-07
4.089710474014282227e+00,4.000310000000000255e-01,3.285529999999999924e-09
4.291209459304809570e+00,1.891860000000000097e+00,3.418939999999999829e-06
4.465043067932128906e+00,4.000170000000000115e-01,9.706219999999999679e-08
4.667444229125976562e+00,2.027019999999999822e+00,4.130980000000000215e-06
4.837983608245849609e+00,4.000259999999999927e-01,9.306949999999999837e-08
5.058552265167236328e+00,2.162329999999999863e+00,5.011970000000000059e-06
5.230114936828613281e+00,4.000239999999999907e-01,9.863739999999999358e-08
5.433701992034912109e+00,2.297309999999999963e+00,5.944419999999999915e-06
