# Fri Sep  1 19:39:19 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=75, Nneg=75, pw=0.1, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.967879295349121094e-02,-1.139639999999999985e-05,-7.130270000000000442e-10,2.312722206115722656e-01,4.000319999999999987e-01,4.378770000000000173e-09
3.744235038757324219e-01,1.351239999999999941e-01,9.878989999999999611e-10,5.290338993072509766e-01,4.000349999999999739e-01,3.746969999999999935e-09
6.680223941802978516e-01,2.702640000000000042e-01,1.416389999999999903e-09,8.218131065368652344e-01,4.000389999999999779e-01,1.477769999999999954e-09
9.617030620574951172e-01,4.054170000000000273e-01,1.481330000000000095e-09,1.118745803833007812e+00,4.000360000000000027e-01,1.807929999999999980e-09
1.270264148712158203e+00,5.405849999999999822e-01,7.674569999999999483e-09,1.411990165710449219e+00,4.000349999999999739e-01,3.888860000000000155e-09
1.566697835922241211e+00,6.757199999999999873e-01,1.347730000000000019e-08,1.706986188888549805e+00,4.000290000000000235e-01,3.284280000000000161e-09
1.847196817398071289e+00,8.108769999999999589e-01,2.522369999999999842e-08,1.987560510635375977e+00,4.000319999999999987e-01,3.812589999999999963e-09
2.142848253250122070e+00,9.459870000000000223e-01,4.205990000000000196e-08,2.284188270568847656e+00,4.000349999999999739e-01,2.382760000000000155e-09
2.425354242324829102e+00,1.081139999999999990e+00,6.390289999999999447e-08,2.579861402511596680e+00,4.000369999999999759e-01,1.169789999999999948e-09
2.720465898513793945e+00,1.216290000000000093e+00,1.196460000000000114e-07,2.879501581192016602e+00,4.000429999999999819e-01,3.509960000000000151e-09
3.080234050750732422e+00,1.351380000000000026e+00,1.782179999999999882e-07,3.235353469848632812e+00,4.000349999999999739e-01,4.287329999999999918e-09
3.440310001373291016e+00,1.486509999999999998e+00,2.687299999999999982e-07,3.597392320632934570e+00,4.000340000000000007e-01,5.547130000000000055e-09
3.800864458084106445e+00,1.621620000000000061e+00,3.710760000000000069e-07,3.956775426864624023e+00,4.000349999999999739e-01,4.632850000000000189e-09
4.160120010375976562e+00,1.756780000000000008e+00,6.300369999999999658e-07,4.313619375228881836e+00,4.000330000000000275e-01,1.209529999999999979e-08
4.516751527786254883e+00,1.891860000000000097e+00,8.794099999999999582e-07,4.673407316207885742e+00,4.000380000000000047e-01,1.135290000000000037e-08
4.875897407531738281e+00,2.027080000000000215e+00,9.185259999999999493e-07,5.030045509338378906e+00,4.000230000000000175e-01,2.043860000000000012e-08
5.233914136886596680e+00,2.162300000000000111e+00,5.163679999999999662e-06,5.405878782272338867e+00,4.000310000000000255e-01,3.836599999999999825e-07
5.563489198684692383e+00,2.297489999999999810e+00,5.522969999999999910e-06,5.721210479736328125e+00,4.000259999999999927e-01,3.394709999999999830e-07
5.876462459564208984e+00,2.432770000000000099e+00,8.123069999999999800e-06,6.032918214797973633e+00,4.000340000000000007e-01,1.123560000000000037e-07
6.186355590820312500e+00,2.567660000000000053e+00,8.933689999999999841e-06,6.358042478561401367e+00,4.000190000000000135e-01,1.724170000000000013e-07
6.514834165573120117e+00,2.702910000000000146e+00,1.262880000000000011e-05,6.686990737915039062e+00,4.000270000000000215e-01,2.335979999999999984e-07
