# Fri Sep  1 19:41:43 2023
#  Tiempo [s], Voltaje [V], Corriente [A]
#   pw=0.1, T = 0.01, nplc=0.5
5.826878547668457031e-02,4.000319999999999987e-01,1.153610000000000031e-08
2.307870388031005859e-01,4.000290000000000235e-01,8.209359999999999866e-09
3.723187446594238281e-01,4.000239999999999907e-01,9.323189999999999524e-09
5.114016532897949219e-01,4.000279999999999947e-01,7.699749999999999183e-09
6.510758399963378906e-01,4.000259999999999927e-01,7.580130000000000789e-09
7.931325435638427734e-01,4.000259999999999927e-01,9.009159999999999524e-09
9.341497421264648438e-01,4.000219999999999887e-01,9.559259999999999930e-09
1.074171781539916992e+00,4.000210000000000155e-01,9.597100000000000287e-09
1.227777004241943359e+00,4.000290000000000235e-01,7.380829999999999626e-09
1.370143890380859375e+00,4.000319999999999987e-01,7.415189999999999909e-09
