# Fri Sep 15 18:04:29 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=50, pw=0, cycles=1, hslV=0.4, T1 = 0, T2 = 0, nplc=0.5
3.446578979492187500e-03,-2.421860000000000018e-04,2.685820000000000141e-09,4.442930221557617188e-03,-2.456429999999999790e-04,2.397700000000000106e-09
3.124260902404785156e-02,3.998120000000000007e-01,1.320470000000000011e-08,5.046176910400390625e-02,1.997569999999999901e-01,5.086359999999999794e-09
6.964254379272460938e-02,3.998090000000000255e-01,9.951330000000000211e-09,8.845639228820800781e-02,3.998059999999999947e-01,7.043829999999999653e-09
1.127836704254150391e-01,3.998129999999999740e-01,5.876079999999999834e-09,1.257863044738769531e-01,5.998489999999999656e-01,1.324280000000000063e-08
1.444873809814453125e-01,3.998249999999999860e-01,7.639250000000000064e-09,1.627542972564697266e-01,7.998870000000000147e-01,2.366179999999999950e-08
1.802637577056884766e-01,3.998120000000000007e-01,1.209290000000000071e-08,1.982500553131103516e-01,9.998879999999999990e-01,3.675990000000000083e-08
2.184307575225830078e-01,3.998099999999999987e-01,1.667270000000000013e-08,2.351930141448974609e-01,1.199889999999999901e+00,4.695050000000000077e-08
2.540292739868164062e-01,3.997990000000000155e-01,1.528360000000000128e-08,2.724967002868652344e-01,1.399869999999999948e+00,5.369669999999999801e-08
2.904865741729736328e-01,3.997990000000000155e-01,1.020879999999999974e-08,3.104748725891113281e-01,1.599860000000000060e+00,5.331549999999999854e-08
3.304626941680908203e-01,3.998120000000000007e-01,5.207359999999999686e-09,3.454523086547851562e-01,1.799870000000000081e+00,6.119330000000000043e-08
3.634474277496337891e-01,3.998220000000000107e-01,6.638059999999999719e-09,3.829209804534912109e-01,1.999849999999999905e+00,7.072930000000000059e-08
4.013018608093261719e-01,3.998149999999999760e-01,9.969520000000000124e-09,4.204871654510498047e-01,2.199009999999999909e+00,8.140150000000000268e-08
4.406051635742187500e-01,3.998160000000000047e-01,1.235730000000000074e-08,4.588162899017333984e-01,2.399140000000000050e+00,9.323630000000000486e-08
4.786629676818847656e-01,3.998129999999999740e-01,1.431389999999999955e-08,4.971368312835693359e-01,2.598460000000000214e+00,7.430080000000000051e-09
5.261263847351074219e-01,3.998059999999999947e-01,1.796630000000000030e-09,5.993106365203857422e-01,2.798470000000000013e+00,9.450720000000000336e-07
6.407127380371093750e-01,3.997859999999999747e-01,6.292220000000000012e-09,7.091560363769531250e-01,2.998619999999999841e+00,2.593740000000000090e-06
