# Fri Sep 15 18:08:20 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=75, Nneg=75, pw=0, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
2.444505691528320312e-03,3.998659999999999992e-01,2.772590000000000080e-08,1.293182373046875000e-02,-1.758580000000000093e-04,6.656229999999999875e-09
4.528856277465820312e-02,3.998820000000000152e-01,4.762449999999999741e-08,7.549095153808593750e-02,1.349460000000000104e-01,2.226209999999999988e-08
9.150958061218261719e-02,3.998789999999999845e-01,4.270180000000000323e-08,1.069064140319824219e-01,2.700980000000000047e-01,2.353570000000000011e-08
1.240928173065185547e-01,3.998789999999999845e-01,2.688970000000000156e-08,1.363625526428222656e-01,4.052790000000000004e-01,1.957860000000000103e-08
1.669216156005859375e-01,3.999039999999999817e-01,1.576659999999999971e-08,1.846039295196533203e-01,5.404790000000000427e-01,3.027320000000000006e-08
2.006018161773681641e-01,3.999179999999999957e-01,2.310960000000000134e-08,2.145841121673583984e-01,6.756349999999999856e-01,5.549859999999999775e-08
2.335755825042724609e-01,3.999090000000000145e-01,3.830700000000000017e-08,2.455856800079345703e-01,8.107750000000000234e-01,8.591939999999999842e-08
2.775495052337646484e-01,3.998829999999999885e-01,4.768299999999999757e-08,2.916703224182128906e-01,9.458480000000000221e-01,8.348470000000000640e-09
3.225204944610595703e-01,3.998289999999999900e-01,6.906369999999999592e-09,3.855853080749511719e-01,1.080989999999999895e+00,2.214960000000000135e-08
4.177570343017578125e-01,3.998240000000000127e-01,3.059840000000000055e-09,4.950220584869384766e-01,1.216129999999999933e+00,4.739890000000000100e-08
5.121104717254638672e-01,3.998269999999999880e-01,-9.182569999999999652e-10,5.889496803283691406e-01,1.351239999999999997e+00,7.963780000000000390e-08
6.211442947387695312e-01,3.998329999999999940e-01,-4.027630000000000080e-09,6.819267272949218750e-01,1.486369999999999969e+00,1.304690000000000018e-07
7.165517807006835938e-01,3.998470000000000080e-01,-6.028810000000000401e-09,7.898344993591308594e-01,1.621469999999999967e+00,1.757959999999999947e-07
8.046665191650390625e-01,3.998619999999999952e-01,-6.955960000000000038e-09,8.831143379211425781e-01,1.756610000000000005e+00,2.112880000000000057e-07
9.170968532562255859e-01,3.998789999999999845e-01,-6.677190000000000183e-09,9.770393371582031250e-01,1.891710000000000003e+00,3.065109999999999843e-07
1.008262872695922852e+00,3.998959999999999737e-01,-4.430069999999999778e-09,1.086736202239990234e+00,2.025599999999999845e+00,3.879369999999999883e-07
1.103475093841552734e+00,3.998889999999999945e-01,-5.780179999999999782e-09,1.180000305175781250e+00,2.158529999999999838e+00,8.932750000000000364e-08
1.196676492691040039e+00,3.999190000000000245e-01,1.801089999999999950e-08,1.228011131286621094e+00,2.295990000000000197e+00,6.254520000000000343e-07
1.251219987869262695e+00,3.998929999999999985e-01,-4.022620000000000322e-09,1.320561885833740234e+00,2.431299999999999795e+00,7.759819999999999932e-07
