# Tue Sep 19 14:43:43 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=100, Nneg=100, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.005692481994628906e-02,-5.156990000000000239e-05,4.519219999999999801e-11,2.160227298736572266e-01,4.000000000000000222e-01,1.952700000000000009e-08
3.577122688293457031e-01,9.995170000000000443e-02,1.878659999999999797e-09,4.991669654846191406e-01,4.000040000000000262e-01,1.794479999999999866e-08
6.418256759643554688e-01,1.999430000000000096e-01,5.286369999999999810e-09,7.830953598022460938e-01,3.999969999999999914e-01,1.865820000000000160e-08
9.260134696960449219e-01,2.999609999999999776e-01,1.094419999999999949e-08,1.068822383880615234e+00,4.000000000000000222e-01,1.738749999999999936e-08
1.209358453750610352e+00,4.000000000000000222e-01,1.758879999999999865e-08,1.351195335388183594e+00,3.999929999999999874e-01,1.655400000000000053e-08
1.490940093994140625e+00,4.999959999999999960e-01,2.749020000000000088e-08,1.629248380661010742e+00,4.000059999999999727e-01,1.569570000000000071e-08
1.772074699401855469e+00,6.000299999999999523e-01,3.631929999999999885e-08,1.985800504684448242e+00,4.000009999999999954e-01,1.870580000000000131e-08
2.126798868179321289e+00,7.000380000000000491e-01,5.874199999999999753e-08,2.267173767089843750e+00,4.000009999999999954e-01,1.792900000000000126e-08
2.407713413238525391e+00,8.000500000000000389e-01,7.460340000000000482e-08,2.548474311828613281e+00,4.000020000000000242e-01,1.768279999999999936e-08
2.690975666046142578e+00,9.000320000000000542e-01,1.216659999999999990e-07,2.848404407501220703e+00,4.000059999999999727e-01,1.833240000000000010e-08
3.052082777023315430e+00,1.000080000000000080e+00,1.812049999999999871e-07,3.208065271377563477e+00,4.000020000000000242e-01,1.754110000000000015e-08
3.409873247146606445e+00,1.100060000000000038e+00,2.168799999999999939e-07,3.566782236099243164e+00,4.000000000000000222e-01,1.653909999999999886e-08
