# Tue Sep 19 14:39:43 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=-5, Vmin=5, Npos=50, Nneg=50, pw=0.1, cycles=3, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.085681915283203125e-02,-4.787449999999999708e-05,-1.604559999999999860e-11,2.811343669891357422e-01,4.000170000000000115e-01,3.114240000000000231e-07
4.364609718322753906e-01,-2.000490000000000046e-01,-6.731650000000000592e-08,6.393759250640869141e-01,4.000170000000000115e-01,3.178750000000000059e-07
7.945742607116699219e-01,-4.001049999999999884e-01,-4.980239999999999602e-07,9.325141906738281250e-01,4.000049999999999994e-01,2.901160000000000019e-07
1.074345111846923828e+00,-6.001509999999999900e-01,-2.163369999999999923e-06,1.230412006378173828e+00,4.000049999999999994e-01,2.841029999999999864e-07
1.385596752166748047e+00,-8.001479999999999704e-01,-5.691819999999999996e-06,1.541657447814941406e+00,4.000029999999999974e-01,2.768709999999999915e-07
1.698882341384887695e+00,-1.000150000000000095e+00,-1.272070000000000003e-05,1.853560447692871094e+00,4.000099999999999767e-01,2.567230000000000152e-07
2.009619235992431641e+00,-1.200169999999999959e+00,-2.732759999999999904e-05,2.167412996292114258e+00,4.000079999999999747e-01,2.436590000000000247e-07
2.322823286056518555e+00,-1.400169999999999915e+00,-6.096660000000000002e-05,2.492742061614990234e+00,4.000150000000000095e-01,3.765009999999999910e-07
2.650149345397949219e+00,-1.600119999999999987e+00,-1.350839999999999962e-04,2.820811271667480469e+00,4.000159999999999827e-01,5.991650000000000054e-07
2.976834058761596680e+00,-1.800130000000000008e+00,-1.969399999999999948e-04,3.149223327636718750e+00,4.000250000000000195e-01,7.345000000000000192e-07
3.304054737091064453e+00,-2.000109999999999832e+00,-2.574310000000000227e-04,3.476574897766113281e+00,4.000210000000000155e-01,7.314090000000000347e-07
3.632407188415527344e+00,-2.200450000000000017e+00,-3.285019999999999932e-04,3.801900386810302734e+00,4.000270000000000215e-01,1.086179999999999950e-06
3.957650661468505859e+00,-2.400450000000000195e+00,-4.010470000000000246e-04,4.115031957626342773e+00,4.000270000000000215e-01,1.042480000000000055e-06
4.274060010910034180e+00,-2.600630000000000219e+00,-4.742559999999999940e-04,4.431979417800903320e+00,4.000270000000000215e-01,1.028510000000000043e-06
4.590888738632202148e+00,-2.800349999999999895e+00,-5.491009999999999728e-04,4.749797105789184570e+00,4.000210000000000155e-01,1.415660000000000012e-06
4.908706188201904297e+00,-3.000480000000000036e+00,-6.273210000000000201e-04,5.068490505218505859e+00,4.000250000000000195e-01,1.359500000000000070e-06
5.227259874343872070e+00,-3.200639999999999930e+00,-7.051639999999999861e-04,5.385167121887207031e+00,4.000279999999999947e-01,1.709890000000000073e-06
