# Tue Sep 19 19:15:33 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=3, Vmin=-3, Npos=50, Nneg=50, pw=0.1, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.895709991455078125e-02,-2.877000000000000000e-04,-3.196120000000000126e-10,2.794997692108154297e-01,3.997430000000000150e-01,4.120739999999999979e-09
4.201021194458007812e-01,1.197109999999999980e-01,-4.892230000000000176e-10,5.596733093261718750e-01,3.997379999999999822e-01,3.575369999999999824e-09
7.006731033325195312e-01,2.396959999999999924e-01,2.669330000000000025e-10,8.415663242340087891e-01,3.997359999999999802e-01,3.218399999999999970e-09
9.811682701110839844e-01,3.597099999999999742e-01,1.993070000000000025e-09,1.124305248260498047e+00,3.997330000000000050e-01,3.590359999999999997e-09
1.265485286712646484e+00,4.797299999999999898e-01,8.556570000000000366e-09,1.406513214111328125e+00,3.997350000000000070e-01,5.052570000000000059e-09
1.547641277313232422e+00,5.997510000000000341e-01,2.255460000000000068e-08,1.689989089965820312e+00,3.997379999999999822e-01,6.239310000000000036e-09
1.831420183181762695e+00,7.197590000000000376e-01,4.176310000000000026e-08,1.972205400466918945e+00,3.997399999999999842e-01,6.568479999999999635e-09
2.112831830978393555e+00,8.397520000000000540e-01,7.842700000000000473e-08,2.254693984985351562e+00,3.997399999999999842e-01,5.318429999999999800e-09
2.396331548690795898e+00,9.597649999999999793e-01,3.264490000000000005e-08,2.555241584777832031e+00,3.997350000000000070e-01,4.033039999999999961e-09
2.760126352310180664e+00,1.079790000000000028e+00,8.313420000000000601e-08,2.918035268783569336e+00,3.997399999999999842e-01,4.162700000000000111e-09
3.125915765762329102e+00,1.199799999999999978e+00,8.607259999999999743e-08,3.284823656082153320e+00,3.997430000000000150e-01,1.747879999999999965e-09
3.488530397415161133e+00,1.319790000000000019e+00,1.097819999999999966e-07,3.646476030349731445e+00,3.997450000000000170e-01,8.214349999999999660e-10
3.853338956832885742e+00,1.439740000000000020e+00,1.260079999999999991e-07,4.012252330780029297e+00,3.997339999999999782e-01,9.052159999999999686e-10
4.216186046600341797e+00,1.559719999999999995e+00,1.614230000000000023e-07,4.371700048446655273e+00,3.997370000000000090e-01,9.723899999999999891e-10
4.576227426528930664e+00,1.679740000000000011e+00,1.810449999999999910e-07,4.731104135513305664e+00,3.997339999999999782e-01,1.068959999999999998e-09
4.933790683746337891e+00,1.799730000000000052e+00,1.982190000000000096e-07,5.090502738952636719e+00,3.997379999999999822e-01,9.612199999999999129e-10
5.293809175491333008e+00,1.919729999999999936e+00,2.193370000000000006e-07,5.450421333312988281e+00,3.997399999999999842e-01,6.865499999999999711e-10
5.653351545333862305e+00,2.037720000000000198e+00,2.453049999999999854e-07,5.808099269866943359e+00,3.997390000000000110e-01,2.416489999999999790e-10
6.011607408523559570e+00,2.157739999999999991e+00,2.534590000000000199e-07,6.169415712356567383e+00,3.997379999999999822e-01,1.068220000000000060e-09
6.373211145401000977e+00,2.277690000000000214e+00,3.180940000000000160e-07,6.530184984207153320e+00,3.997339999999999782e-01,9.714600000000000761e-10
6.767020940780639648e+00,2.397710000000000008e+00,3.098139999999999974e-07,6.923405170440673828e+00,3.997459999999999902e-01,8.152960000000000351e-10
7.126718044281005859e+00,2.517619999999999969e+00,3.642580000000000050e-07,7.283921718597412109e+00,3.997399999999999842e-01,1.815440000000000092e-10
7.484989643096923828e+00,2.637630000000000141e+00,4.186120000000000165e-07,7.643308401107788086e+00,3.997450000000000170e-01,6.716010000000000468e-10
