# Fri Sep 22 16:52:14 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=50, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.968070030212402344e-02,-2.641680000000000091e-05,-1.857280000000000099e-11,2.791049480438232422e-01,4.000400000000000067e-01,2.571509999999999943e-09
4.365880489349365234e-01,1.999680000000000069e-01,1.257419999999999986e-09,5.748426914215087891e-01,4.000340000000000007e-01,3.053189999999999773e-10
7.155401706695556641e-01,4.000349999999999739e-01,7.656689999999999954e-10,8.581354618072509766e-01,4.000330000000000275e-01,2.095519999999999811e-09
1.000566244125366211e+00,6.000670000000000170e-01,2.564900000000000107e-09,1.140797615051269531e+00,4.000400000000000067e-01,2.263049999999999955e-09
1.282033920288085938e+00,8.000880000000000214e-01,2.424250000000000185e-09,1.424429178237915039e+00,4.000480000000000147e-01,9.329439999999999166e-10
1.565598249435424805e+00,1.000089999999999923e+00,6.455660000000000432e-10,1.705615997314453125e+00,4.000520000000000187e-01,4.541869999999999912e-12
1.845935344696044922e+00,1.200099999999999945e+00,5.024080000000000088e-10,1.986013174057006836e+00,4.000560000000000227e-01,-1.860860000000000050e-11
2.126321077346801758e+00,1.400079999999999991e+00,5.603309999999999751e-10,2.267417669296264648e+00,4.000589999999999979e-01,-1.535200000000000034e-09
2.408553838729858398e+00,1.600049999999999972e+00,-1.511480000000000037e-09,2.564769268035888672e+00,4.000540000000000207e-01,3.233910000000000158e-10
2.719594955444335938e+00,1.800019999999999953e+00,2.888819999999999957e-09,2.862491130828857422e+00,4.000409999999999799e-01,1.743280000000000002e-09
3.003018140792846680e+00,1.999989999999999934e+00,2.224970000000000021e-09,3.143936634063720703e+00,4.000460000000000127e-01,1.025659999999999951e-09
