# Fri Sep 22 16:48:04 2023
#  Tiempo [s], Voltaje [V], Corriente [A]
#   pw=0.1, T = 0.01, nplc=0.5
5.929756164550781250e-02,4.000330000000000275e-01,-3.691550000000000037e-10
2.777140140533447266e-01,-3.252030000000000101e-05,9.973050000000000008e-10
4.184815883636474609e-01,4.000299999999999967e-01,2.498719999999999825e-09
5.590758323669433594e-01,9.998170000000000668e-02,1.772890000000000068e-09
7.005760669708251953e-01,4.000429999999999819e-01,2.539170000000000032e-09
8.413789272308349609e-01,1.999750000000000139e-01,1.523800000000000053e-09
9.805247783660888672e-01,4.000360000000000027e-01,2.464269999999999804e-09
1.121059656143188477e+00,2.999930000000000097e-01,1.879919999999999853e-09
1.260890245437622070e+00,4.000400000000000067e-01,2.183139999999999970e-09
1.401774883270263672e+00,4.000429999999999819e-01,1.892950000000000169e-09
1.542953968048095703e+00,4.000469999999999859e-01,1.263519999999999996e-09
1.683169126510620117e+00,5.000510000000000232e-01,1.432390000000000055e-09
1.823219299316406250e+00,4.000540000000000207e-01,9.593010000000000977e-10
1.964211702346801758e+00,6.000809999999999755e-01,2.871040000000000045e-10
2.117551565170288086e+00,4.000360000000000027e-01,2.100919999999999813e-09
2.256466627120971680e+00,7.000690000000000524e-01,2.230360000000000144e-09
2.399613142013549805e+00,4.000409999999999799e-01,2.121149999999999856e-09
2.541564941406250000e+00,8.001009999999999511e-01,2.598630000000000155e-09
2.682736396789550781e+00,4.000549999999999939e-01,4.649040000000000005e-10
2.838421106338500977e+00,9.000639999999999752e-01,3.233430000000000072e-09
2.996051788330078125e+00,4.000360000000000027e-01,1.888249999999999968e-09
3.149482488632202148e+00,1.000089999999999923e+00,-7.480380000000000177e-10
3.290696620941162109e+00,4.000380000000000047e-01,-1.098640000000000044e-09
3.432766437530517578e+00,1.100060000000000038e+00,4.648800000000000015e-10
3.574454307556152344e+00,4.000340000000000007e-01,9.766819999999999987e-10
3.715791225433349609e+00,1.200080000000000036e+00,2.650250000000000025e-09
3.856984615325927734e+00,4.000360000000000027e-01,2.074210000000000016e-09
4.012008190155029297e+00,1.300059999999999993e+00,6.433729999999999971e-11
4.151156425476074219e+00,4.000360000000000027e-01,-7.251860000000000226e-10
4.292056083679199219e+00,1.400060000000000082e+00,8.360740000000000227e-10
4.432398796081542969e+00,4.000360000000000027e-01,2.643109999999999985e-10
4.571964025497436523e+00,1.500029999999999974e+00,5.652310000000000306e-10
4.711806535720825195e+00,4.000310000000000255e-01,-4.007820000000000022e-11
4.854623794555664062e+00,1.600039999999999907e+00,2.286760000000000073e-09
4.996156454086303711e+00,4.000369999999999759e-01,1.833939999999999976e-09
5.135763883590698242e+00,1.700020000000000087e+00,2.727569999999999919e-09
5.275732994079589844e+00,4.000310000000000255e-01,1.868550000000000129e-09
5.416158199310302734e+00,1.800030000000000019e+00,3.420869999999999996e-09
5.557073354721069336e+00,4.000369999999999759e-01,1.972350000000000122e-09
