# Tue Sep 26 15:49:46 2023
#  Tiempo [s], Voltaje [V], Corriente [A]
#   pw=0.1, T = 0.01, nplc=0.5
5.353331565856933594e-02,4.000429999999999819e-01,2.564070000000000225e-10
2.279126644134521484e-01,-1.564029999999999999e-05,-1.780990000000000149e-11
3.697061538696289062e-01,4.000429999999999819e-01,2.490040000000000016e-10
5.118892192840576172e-01,9.999429999999999430e-02,3.027920000000000128e-11
6.513895988464355469e-01,4.000440000000000107e-01,2.347830000000000153e-10
7.910571098327636719e-01,1.999849999999999961e-01,6.791350000000000541e-11
9.320731163024902344e-01,4.000480000000000147e-01,2.233740000000000085e-10
1.072373867034912109e+00,3.000010000000000177e-01,1.297240000000000010e-10
1.211842775344848633e+00,4.000429999999999819e-01,2.136710000000000059e-10
1.351594209671020508e+00,4.000460000000000127e-01,2.138379999999999909e-10
1.508519649505615234e+00,4.000509999999999899e-01,2.062079999999999873e-10
1.647567272186279297e+00,5.000449999999999617e-01,3.588320000000000074e-10
1.789001941680908203e+00,4.000460000000000127e-01,2.023579999999999954e-10
1.927808761596679688e+00,6.000739999999999963e-01,6.149529999999999546e-10
2.069662332534790039e+00,4.000460000000000127e-01,1.864430000000000044e-10
2.211575746536254883e+00,7.000800000000000356e-01,1.054940000000000081e-09
2.350174427032470703e+00,4.000460000000000127e-01,1.798750000000000122e-10
2.491681575775146484e+00,8.000969999999999471e-01,1.676010000000000088e-09
2.633600711822509766e+00,4.000520000000000187e-01,1.579170000000000090e-10
2.773454189300537109e+00,9.000669999999999504e-01,2.285830000000000160e-09
2.928671360015869141e+00,4.000489999999999879e-01,1.363519999999999909e-10
3.069886684417724609e+00,1.000089999999999923e+00,3.020309999999999882e-09
3.210802793502807617e+00,4.000420000000000087e-01,1.317020000000000121e-10
3.349672555923461914e+00,1.100070000000000103e+00,4.192669999999999750e-09
3.491841077804565430e+00,4.000440000000000107e-01,1.293780000000000055e-10
3.632337331771850586e+00,1.200099999999999945e+00,5.682040000000000367e-09
3.773753881454467773e+00,4.000489999999999879e-01,1.365779999999999910e-10
3.915553331375122070e+00,1.300070000000000059e+00,6.906520000000000258e-09
4.059686660766601562e+00,4.000440000000000107e-01,1.078960000000000015e-10
4.201881170272827148e+00,1.400069999999999926e+00,8.357579999999999588e-09
4.343682765960693359e+00,4.000460000000000127e-01,1.090290000000000016e-10
4.486620426177978516e+00,1.500029999999999974e+00,9.580710000000000099e-09
4.626393079757690430e+00,4.000480000000000147e-01,1.075270000000000026e-10
4.767536163330078125e+00,1.600039999999999907e+00,1.090750000000000023e-08
4.904604673385620117e+00,4.000389999999999779e-01,9.621380000000000590e-11
5.045247077941894531e+00,1.700020000000000087e+00,1.250770000000000056e-08
5.185623645782470703e+00,4.000429999999999819e-01,1.007080000000000026e-10
5.325583696365356445e+00,1.800030000000000019e+00,1.362469999999999990e-08
5.465740919113159180e+00,4.000429999999999819e-01,7.963180000000000567e-11
5.620812654495239258e+00,1.899999999999999911e+00,1.498150000000000084e-08
5.758588790893554688e+00,4.000429999999999819e-01,6.908180000000000075e-11
5.899121999740600586e+00,1.999989999999999934e+00,1.547880000000000160e-08
6.040022373199462891e+00,4.000400000000000067e-01,1.974109999999999956e-11
6.178380966186523438e+00,2.100359999999999783e+00,1.562439999999999994e-08
6.318951129913330078e+00,4.000420000000000087e-01,3.981589999999999799e-12
6.474334478378295898e+00,2.200229999999999908e+00,1.671910000000000113e-08
6.614322185516357422e+00,4.000429999999999819e-01,-6.735319999999999618e-12
6.755681037902832031e+00,2.300450000000000106e+00,1.682869999999999835e-08
6.897008180618286133e+00,4.000389999999999779e-01,-2.018209999999999899e-11
7.051986694335937500e+00,2.400310000000000166e+00,1.708969999999999983e-08
7.194428205490112305e+00,4.000429999999999819e-01,-3.219840000000000303e-11
7.333608150482177734e+00,2.500519999999999854e+00,1.947299999999999841e-08
7.474534273147583008e+00,4.000400000000000067e-01,-1.857280000000000099e-11
7.616424560546875000e+00,2.600400000000000045e+00,2.204460000000000140e-08
7.769467115402221680e+00,4.000380000000000047e-01,-1.304149999999999931e-11
7.909992456436157227e+00,2.700629999999999864e+00,2.466110000000000038e-08
8.051288366317749023e+00,4.000400000000000067e-01,5.021100000000000244e-11
8.193557262420654297e+00,2.800469999999999793e+00,3.103800000000000304e-08
8.335046768188476562e+00,4.000360000000000027e-01,6.847379999999999364e-11
8.476763486862182617e+00,2.900399999999999867e+00,2.964189999999999956e-08
8.631966114044189453e+00,4.000319999999999987e-01,7.210970000000000484e-11
8.771927833557128906e+00,3.000649999999999817e+00,3.943369999999999794e-08
8.926558971405029297e+00,4.000380000000000047e-01,1.424190000000000021e-10
9.067893743515014648e+00,3.100560000000000205e+00,4.008489999999999917e-08
9.207276344299316406e+00,4.000349999999999739e-01,1.504659999999999899e-10
9.347589015960693359e+00,3.200790000000000024e+00,3.816769999999999839e-08
9.505336761474609375e+00,4.000349999999999739e-01,9.956360000000000037e-11
9.644139528274536133e+00,3.300679999999999836e+00,4.408940000000000038e-08
9.785341978073120117e+00,4.000360000000000027e-01,2.285120000000000118e-10
9.926742553710937500e+00,3.400879999999999903e+00,4.594719999999999866e-08
1.006798148155212402e+01,4.000319999999999987e-01,2.354499999999999986e-10
1.020977568626403809e+01,3.500739999999999963e+00,5.771319999999999960e-08
1.035011911392211914e+01,4.000310000000000255e-01,2.258780000000000083e-10
1.049243593215942383e+01,3.601010000000000044e+00,6.236849999999999365e-08
1.063406276702880859e+01,4.000290000000000235e-01,2.360339999999999937e-10
1.077755331993103027e+01,3.700909999999999922e+00,7.705159999999999891e-07
1.093214201927185059e+01,4.000449999999999839e-01,2.895590000000000105e-11
1.113711380958557129e+01,3.800850000000000062e+00,1.158350000000000046e-07
1.129533433914184570e+01,4.000409999999999799e-01,-6.511210000000000566e-11
1.149809122085571289e+01,3.900900000000000034e+00,4.057060000000000252e-06
1.166985011100769043e+01,4.000389999999999779e-01,1.240240000000000052e-09
1.187376070022583008e+01,4.000790000000000290e+00,5.271589999999999786e-06
1.204698252677917480e+01,4.000400000000000067e-01,5.751730000000000155e-10
1.225108814239501953e+01,4.100990000000000357e+00,6.501560000000000310e-06
1.242173433303833008e+01,4.000389999999999779e-01,1.945660000000000083e-09
1.262289714813232422e+01,4.200829999999999842e+00,8.744509999999999732e-06
1.279281282424926758e+01,4.000349999999999739e-01,4.994190000000000101e-09
1.299772334098815918e+01,4.301020000000000287e+00,1.163830000000000002e-05
1.316915130615234375e+01,4.000299999999999967e-01,8.049369999999999884e-10
1.337497806549072266e+01,4.400780000000000136e+00,1.645380000000000161e-05
1.356128191947937012e+01,4.000299999999999967e-01,6.349020000000000064e-09
1.376433825492858887e+01,4.501039999999999708e+00,2.105109999999999908e-05
1.393664407730102539e+01,4.000290000000000235e-01,2.557160000000000049e-08
1.414353132247924805e+01,4.600990000000000357e+00,2.656200000000000081e-05
1.431430840492248535e+01,4.000290000000000235e-01,9.126469999999999401e-09
1.451860451698303223e+01,4.700829999999999842e+00,3.285390000000000066e-05
1.469121527671813965e+01,4.000299999999999967e-01,1.062340000000000035e-08
1.489275622367858887e+01,4.801050000000000040e+00,4.011209999999999835e-05
1.506776213645935059e+01,4.000259999999999927e-01,3.024819999999999818e-08
1.527027988433837891e+01,4.900820000000000398e+00,4.843469999999999893e-05
1.547296905517578125e+01,4.000279999999999947e-01,2.482819999999999994e-08
1.567884063720703125e+01,5.001149999999999984e+00,6.494050000000000614e-05
1.585192847251892090e+01,4.000239999999999907e-01,2.918279999999999977e-08
1.605697965621948242e+01,4.900949999999999918e+00,6.560229999999999360e-05
1.622803235054016113e+01,4.000279999999999947e-01,5.488750000000000097e-08
1.642873263359069824e+01,4.801009999999999778e+00,6.375629999999999806e-05
1.660026621818542480e+01,4.000319999999999987e-01,5.999080000000000009e-08
1.680216836929321289e+01,4.700820000000000221e+00,6.774590000000000473e-05
1.697553420066833496e+01,4.000319999999999987e-01,6.018520000000000347e-08
1.717784833908081055e+01,4.600950000000000095e+00,6.808249999999999740e-05
1.735032939910888672e+01,4.000310000000000255e-01,6.298479999999999368e-08
1.755453467369079590e+01,4.501079999999999970e+00,6.075700000000000122e-05
1.772673368453979492e+01,4.000279999999999947e-01,7.481920000000000070e-08
1.792774915695190430e+01,4.400890000000000413e+00,5.524970000000000060e-05
1.810033941268920898e+01,4.000340000000000007e-01,8.342050000000000242e-08
1.830372738838195801e+01,4.301090000000000302e+00,5.124429999999999995e-05
1.847642755508422852e+01,4.000330000000000275e-01,8.625650000000000214e-08
1.867880225181579590e+01,4.200759999999999827e+00,5.070309999999999910e-05
1.885036540031433105e+01,4.000500000000000167e-01,1.418779999999999950e-07
1.906890130043029785e+01,4.100999999999999979e+00,4.600660000000000096e-05
1.924033403396606445e+01,4.000480000000000147e-01,1.559499999999999902e-07
1.939733934402465820e+01,4.000709999999999766e+00,4.330169999999999912e-05
1.956778025627136230e+01,4.000480000000000147e-01,1.444120000000000096e-07
1.978551149368286133e+01,3.900889999999999969e+00,4.119140000000000003e-05
1.995902013778686523e+01,4.000380000000000047e-01,1.722360000000000078e-07
2.011783933639526367e+01,3.800629999999999953e+00,3.888660000000000136e-05
2.028970909118652344e+01,4.000489999999999879e-01,1.584860000000000071e-07
2.044624829292297363e+01,3.700730000000000075e+00,3.476740000000000191e-05
2.061675190925598145e+01,4.000449999999999839e-01,1.641560000000000043e-07
2.077124786376953125e+01,3.600839999999999819e+00,3.095330000000000059e-05
2.094280290603637695e+01,4.000500000000000167e-01,1.456230000000000064e-07
2.116254782676696777e+01,3.500649999999999817e+00,2.897629999999999902e-05
2.133562660217285156e+01,4.000489999999999879e-01,1.348719999999999917e-07
2.155796670913696289e+01,3.400700000000000056e+00,2.585160000000000165e-05
2.172964000701904297e+01,4.000330000000000275e-01,9.823280000000000596e-08
2.193365001678466797e+01,3.300429999999999975e+00,2.297169999999999895e-05
2.210694408416748047e+01,4.000480000000000147e-01,1.329769999999999870e-07
2.232768893241882324e+01,3.200629999999999864e+00,2.098659999999999995e-05
2.250214600563049316e+01,4.000469999999999859e-01,1.328550000000000074e-07
2.272047615051269531e+01,3.100299999999999834e+00,1.878719999999999861e-05
2.289084935188293457e+01,4.000480000000000147e-01,1.417809999999999909e-07
2.311060261726379395e+01,3.000449999999999839e+00,1.720590000000000072e-05
2.328040528297424316e+01,4.000489999999999879e-01,1.379129999999999989e-07
2.349784350395202637e+01,2.900170000000000137e+00,1.543409999999999848e-05
2.366999864578247070e+01,4.000500000000000167e-01,1.401880000000000110e-07
2.388673663139343262e+01,2.800460000000000171e+00,1.401379999999999956e-05
2.405944037437438965e+01,4.000460000000000127e-01,1.345820000000000070e-07
2.427764606475830078e+01,2.700509999999999966e+00,1.268060000000000019e-05
2.445087003707885742e+01,4.000540000000000207e-01,1.381990000000000055e-07
2.466726279258728027e+01,2.600319999999999965e+00,1.104450000000000073e-05
2.484099268913269043e+01,4.000520000000000187e-01,1.265449999999999992e-07
2.505807256698608398e+01,2.500410000000000021e+00,9.532019999999999244e-06
2.521176290512084961e+01,4.000380000000000047e-01,1.108069999999999942e-07
2.536681914329528809e+01,2.400220000000000020e+00,8.568019999999999665e-06
2.552582597732543945e+01,4.000400000000000067e-01,1.015389999999999936e-07
2.568145060539245605e+01,2.300359999999999960e+00,7.563789999999999625e-06
2.583740282058715820e+01,4.000349999999999739e-01,1.048060000000000056e-07
2.599547147750854492e+01,2.200229999999999908e+00,6.643869999999999630e-06
2.615498089790344238e+01,4.000389999999999779e-01,9.819589999999999588e-08
2.635986542701721191e+01,2.100210000000000132e+00,5.792960000000000013e-06
2.653347301483154297e+01,4.000360000000000027e-01,1.098429999999999996e-07
2.668876385688781738e+01,1.999980000000000091e+00,5.031049999999999883e-06
2.684462308883666992e+01,4.000369999999999759e-01,1.163720000000000047e-07
2.700082039833068848e+01,1.899980000000000002e+00,4.412539999999999938e-06
2.715813660621643066e+01,4.000290000000000235e-01,1.109340000000000059e-07
2.731249642372131348e+01,1.800030000000000019e+00,3.944260000000000248e-06
2.746822595596313477e+01,4.000400000000000067e-01,1.150699999999999974e-07
2.762439966201782227e+01,1.700020000000000087e+00,3.244079999999999863e-06
2.778092527389526367e+01,4.000409999999999799e-01,1.076160000000000023e-07
2.793746089935302734e+01,1.600039999999999907e+00,2.636530000000000065e-06
2.809361839294433594e+01,4.000429999999999819e-01,1.017680000000000018e-07
2.824839377403259277e+01,1.500029999999999974e+00,2.305510000000000056e-06
2.840472698211669922e+01,4.000469999999999859e-01,1.009750000000000026e-07
2.856125831604003906e+01,1.400069999999999926e+00,1.887920000000000086e-06
2.871562099456787109e+01,4.000400000000000067e-01,1.048899999999999949e-07
2.887098336219787598e+01,1.300059999999999993e+00,1.598889999999999992e-06
2.902860713005065918e+01,4.000319999999999987e-01,9.640349999999999368e-08
2.923217630386352539e+01,1.200080000000000036e+00,1.251010000000000030e-06
2.940364766120910645e+01,4.000349999999999739e-01,9.401179999999999748e-08
2.960977077484130859e+01,1.100070000000000103e+00,1.026400000000000032e-06
