# Tue Sep 26 17:07:20 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=50, pw=0.1, cycles=10, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
7.188296318054199219e-02,-1.502040000000000005e-04,-8.058550000000000635e-12,2.122185230255126953e-01,3.996210000000000040e-01,9.033239999999999962e-08
3.554036617279052734e-01,1.996400000000000119e-01,2.535509999999999984e-08,4.962897300720214844e-01,3.997490000000000210e-01,8.108069999999999361e-08
6.376521587371826172e-01,3.997180000000000177e-01,6.778969999999999722e-08,7.784900665283203125e-01,3.997020000000000017e-01,7.367019999999999485e-08
9.193217754364013672e-01,5.998989999999999601e-01,2.752909999999999999e-07,1.075128555297851562e+00,3.996589999999999865e-01,8.907390000000000195e-08
1.277228832244873047e+00,7.999659999999999549e-01,4.586010000000000181e-07,1.434531211853027344e+00,3.996750000000000025e-01,8.629910000000000280e-08
1.639004468917846680e+00,1.000059999999999949e+00,6.356109999999999865e-07,1.795211076736450195e+00,3.997180000000000177e-01,6.505050000000000403e-08
1.998235464096069336e+00,1.200169999999999959e+00,7.544570000000000172e-07,2.153687000274658203e+00,3.997249999999999970e-01,6.217310000000000236e-08
2.359313726425170898e+00,1.400160000000000071e+00,1.031240000000000015e-06,2.528258085250854492e+00,3.997020000000000017e-01,7.819980000000000121e-08
2.731403827667236328e+00,1.600270000000000081e+00,1.315069999999999930e-06,2.918297767639160156e+00,3.997350000000000070e-01,6.857650000000000529e-08
3.124856948852539062e+00,1.800349999999999895e+00,1.687090000000000054e-06,3.295476436614990234e+00,3.997249999999999970e-01,6.596969999999999813e-08
3.499892711639404297e+00,2.000109999999999832e+00,2.109299999999999863e-06,3.673799991607666016e+00,3.996939999999999937e-01,5.016179999999999856e-08
3.876568317413330078e+00,2.200149999999999828e+00,2.463420000000000124e-06,4.046464920043945312e+00,3.997470000000000190e-01,5.065980000000000077e-08
4.249783515930175781e+00,2.400250000000000217e+00,3.405469999999999855e-06,4.423824548721313477e+00,3.997089999999999810e-01,8.840090000000000644e-08
4.628170967102050781e+00,2.600350000000000161e+00,3.986559999999999826e-06,4.801708698272705078e+00,3.997330000000000050e-01,5.227080000000000110e-08
5.005426645278930664e+00,2.800460000000000171e+00,4.109490000000000358e-06,5.178987264633178711e+00,3.996939999999999937e-01,3.153040000000000022e-08
5.384760141372680664e+00,3.000570000000000181e+00,5.226459999999999593e-06,5.558629274368286133e+00,3.997950000000000115e-01,3.347449999999999974e-08
