# Tue Sep 26 17:39:57 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=50, pw=0.1, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.082797050476074219e-02,-3.147129999999999936e-04,-5.087810000000000082e-07,2.311296463012695312e-01,3.998039999999999927e-01,3.325299999999999892e-04
4.035837650299072266e-01,1.997279999999999889e-01,1.515029999999999892e-04,5.448668003082275391e-01,3.998229999999999840e-01,3.325870000000000193e-04
6.845586299896240234e-01,3.998490000000000100e-01,3.327159999999999905e-04,8.377604484558105469e-01,3.998229999999999840e-01,3.326949999999999851e-04
9.785585403442382812e-01,5.999539999999999873e-01,5.443460000000000226e-04,1.119780540466308594e+00,3.998229999999999840e-01,3.328189999999999859e-04
1.259612798690795898e+00,7.999589999999999756e-01,7.815199999999999578e-04,1.399934530258178711e+00,3.998209999999999820e-01,3.327860000000000085e-04
1.540446996688842773e+00,1.000029999999999974e+00,1.041089999999999941e-03,1.697226285934448242e+00,3.998280000000000167e-01,3.330210000000000223e-04
1.852014541625976562e+00,1.200099999999999945e+00,1.317369999999999999e-03,2.007898330688476562e+00,3.998570000000000180e-01,3.331370000000000056e-04
2.162557840347290039e+00,1.400179999999999980e+00,1.609170000000000045e-03,2.319692850112915039e+00,3.998229999999999840e-01,3.332969999999999770e-04
2.474383592605590820e+00,1.600249999999999950e+00,1.913870000000000024e-03,2.628953933715820312e+00,3.998260000000000147e-01,3.335039999999999836e-04
2.785198688507080078e+00,1.800380000000000091e+00,2.230150000000000188e-03,2.940604686737060547e+00,3.998280000000000167e-01,3.338260000000000120e-04
3.097439527511596680e+00,2.000140000000000029e+00,2.556239999999999988e-03,3.252381324768066406e+00,3.998329999999999940e-01,3.341150000000000088e-04
3.409880399703979492e+00,2.200219999999999843e+00,2.891949999999999903e-03,3.564272165298461914e+00,3.998570000000000180e-01,3.344250000000000109e-04
3.719551086425781250e+00,2.400319999999999787e+00,3.236109999999999941e-03,3.877002954483032227e+00,3.998369999999999980e-01,3.349340000000000021e-04
4.033261299133300781e+00,2.600449999999999928e+00,3.588930000000000158e-03,4.189095735549926758e+00,3.998300000000000187e-01,3.354349999999999758e-04
4.347489356994628906e+00,2.800530000000000186e+00,3.949580000000000278e-03,4.502444744110107422e+00,3.998349999999999960e-01,3.359699999999999969e-04
4.658098936080932617e+00,3.000620000000000065e+00,4.316709999999999645e-03,4.815198421478271484e+00,3.997899999999999787e-01,3.366420000000000068e-04
4.971225738525390625e+00,3.200720000000000010e+00,4.690500000000000225e-03,5.127158164978027344e+00,3.997560000000000002e-01,3.372250000000000247e-04
5.282970428466796875e+00,3.400879999999999903e+00,5.070940000000000343e-03,5.438498020172119141e+00,3.997280000000000277e-01,3.380619999999999762e-04
5.591454029083251953e+00,3.600989999999999913e+00,5.459789999999999956e-03,5.745266914367675781e+00,3.996899999999999897e-01,3.387950000000000250e-04
5.901398897171020508e+00,3.800809999999999800e+00,5.853760000000000387e-03,6.058039665222167969e+00,3.996830000000000105e-01,3.397760000000000211e-04
6.215462684631347656e+00,4.000869999999999926e+00,6.253289999999999890e-03,6.371546745300292969e+00,3.997040000000000037e-01,3.409190000000000202e-04
6.529009580612182617e+00,4.200980000000000381e+00,6.660100000000000395e-03,6.684465885162353516e+00,3.996680000000000232e-01,3.425319999999999927e-04
6.839665412902832031e+00,4.401119999999999699e+00,7.072339999999999877e-03,6.994647741317749023e+00,3.996799999999999797e-01,3.435360000000000258e-04
7.150367736816406250e+00,4.601200000000000401e+00,7.490570000000000214e-03,7.308408021926879883e+00,3.996299999999999852e-01,3.459210000000000106e-04
7.463039159774780273e+00,4.801289999999999836e+00,7.929159999999999334e-03,7.619878530502319336e+00,3.995969999999999800e-01,3.468820000000000171e-04
7.774410724639892578e+00,5.001420000000000421e+00,8.349709999999999771e-03,7.931781768798828125e+00,3.995750000000000135e-01,3.490410000000000214e-04
8.087861537933349609e+00,4.801300000000000345e+00,7.943260000000000598e-03,8.244039297103881836e+00,3.995799999999999907e-01,3.491510000000000186e-04
8.401454687118530273e+00,4.601200000000000401e+00,7.530120000000000390e-03,8.557749509811401367e+00,3.995870000000000255e-01,3.495139999999999879e-04
8.712677955627441406e+00,4.401060000000000194e+00,7.121599999999999632e-03,8.867675781250000000e+00,3.996520000000000072e-01,3.499180000000000064e-04
9.021131753921508789e+00,4.200949999999999740e+00,6.716210000000000235e-03,9.178649425506591797e+00,3.996660000000000212e-01,3.501369999999999851e-04
9.337711811065673828e+00,4.000840000000000174e+00,6.313980000000000287e-03,9.494592428207397461e+00,3.996919999999999917e-01,3.501700000000000168e-04
9.650777339935302734e+00,3.800769999999999982e+00,5.917529999999999839e-03,9.807090520858764648e+00,3.996779999999999777e-01,3.503900000000000113e-04
9.964256048202514648e+00,3.600989999999999913e+00,5.526429999999999711e-03,1.012032508850097656e+01,3.997609999999999775e-01,3.502870000000000159e-04
1.027893424034118652e+01,3.400850000000000151e+00,5.139379999999999817e-03,1.043485474586486816e+01,3.997209999999999930e-01,3.501709999999999784e-04
1.059255409240722656e+01,3.200720000000000010e+00,4.757250000000000194e-03,1.074646687507629395e+01,3.997539999999999982e-01,3.502840000000000229e-04
1.090353226661682129e+01,3.000609999999999999e+00,4.381829999999999753e-03,1.105771803855895996e+01,3.997140000000000137e-01,3.501369999999999851e-04
1.121378016471862793e+01,2.800460000000000171e+00,4.013759999999999897e-03,1.137048673629760742e+01,3.997660000000000102e-01,3.500269999999999879e-04
1.152701210975646973e+01,2.600340000000000096e+00,3.650850000000000189e-03,1.168351578712463379e+01,3.997280000000000277e-01,3.499330000000000257e-04
1.183958482742309570e+01,2.400279999999999969e+00,3.296139999999999921e-03,1.199510240554809570e+01,3.997800000000000242e-01,3.498600000000000147e-04
1.215123653411865234e+01,2.200169999999999959e+00,2.948280000000000171e-03,1.230841994285583496e+01,3.998369999999999980e-01,3.496989999999999734e-04
1.246655845642089844e+01,2.000100000000000211e+00,2.609000000000000208e-03,1.262473368644714355e+01,3.998349999999999960e-01,3.494619999999999823e-04
1.278245830535888672e+01,1.800419999999999909e+00,2.279180000000000008e-03,1.293898439407348633e+01,3.998209999999999820e-01,3.494430000000000084e-04
1.309451436996459961e+01,1.600289999999999990e+00,1.958880000000000083e-03,1.324983859062194824e+01,3.998349999999999960e-01,3.491500000000000029e-04
1.340766572952270508e+01,1.400160000000000071e+00,1.650629999999999936e-03,1.356101584434509277e+01,3.998399999999999732e-01,3.491069999999999764e-04
1.371604824066162109e+01,1.200180000000000025e+00,1.354900000000000028e-03,1.387350916862487793e+01,3.998519999999999852e-01,3.489179999999999821e-04
1.402908349037170410e+01,1.000029999999999974e+00,1.073689999999999974e-03,1.418455290794372559e+01,3.998800000000000132e-01,3.487499999999999932e-04
1.434025859832763672e+01,8.000589999999999646e-01,8.091549999999999871e-04,1.448083353042602539e+01,3.998729999999999785e-01,3.487809999999999934e-04
1.462096571922302246e+01,5.999590000000000201e-01,5.661870000000000054e-04,1.476156735420227051e+01,3.998659999999999992e-01,3.486009999999999782e-04
1.490145564079284668e+01,3.998570000000000180e-01,3.485380000000000162e-04,1.505455732345581055e+01,3.999210000000000265e-01,3.482800000000000197e-04
