# Tue Sep 26 16:45:54 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=50, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.899930000305175781e-02,-1.959800000000000108e-05,1.462699999999999897e-11,2.798488140106201172e-01,4.000369999999999759e-01,2.602580000000000230e-10
4.203588962554931641e-01,1.999769999999999881e-01,1.301770000000000097e-10,5.605170726776123047e-01,4.000409999999999799e-01,2.162459999999999944e-10
7.030854225158691406e-01,4.000340000000000007e-01,1.022579999999999999e-10,8.572034835815429688e-01,4.000310000000000255e-01,1.474259999999999932e-10
9.971785545349121094e-01,6.000659999999999883e-01,2.060770000000000009e-10,1.152711153030395508e+00,4.000340000000000007e-01,-2.573729999999999859e-11
1.308721542358398438e+00,8.000890000000000502e-01,7.383819999999999530e-11,1.463059425354003906e+00,4.000380000000000047e-01,1.541380000000000123e-11
1.603804349899291992e+00,1.000089999999999923e+00,3.518699999999999957e-10,1.743479728698730469e+00,4.000400000000000067e-01,2.443790000000000031e-12
1.885824441909790039e+00,1.200080000000000036e+00,3.821610000000000103e-10,2.026634931564331055e+00,4.000380000000000047e-01,-8.474590000000000304e-11
2.182310581207275391e+00,1.400069999999999926e+00,5.979900000000000205e-10,2.323191404342651367e+00,4.000409999999999799e-01,4.065039999999999812e-12
2.462287425994873047e+00,1.600039999999999907e+00,6.411310000000000476e-10,2.604816198348999023e+00,4.000409999999999799e-01,-9.759660000000000603e-11
2.745705127716064453e+00,1.800030000000000019e+00,6.210799999999999894e-10,2.887063503265380859e+00,4.000389999999999779e-01,-1.112339999999999956e-10
3.029457330703735352e+00,1.999980000000000091e+00,5.268569999999999519e-10,3.169546842575073242e+00,4.000380000000000047e-01,-1.121400000000000000e-10
3.309206962585449219e+00,2.200210000000000221e+00,6.876229999999999735e-10,3.449101924896240234e+00,4.000389999999999779e-01,-1.219150000000000128e-10
3.591104984283447266e+00,2.400269999999999904e+00,3.459219999999999972e-10,3.732028961181640625e+00,4.000349999999999739e-01,-1.399040000000000113e-10
3.872305631637573242e+00,2.600369999999999848e+00,6.773590000000000181e-10,4.012644529342651367e+00,4.000310000000000255e-01,-8.254049999999999792e-11
4.153018474578857422e+00,2.800499999999999989e+00,7.689480000000000003e-10,4.294049739837646484e+00,4.000310000000000255e-01,-5.066389999999999862e-11
4.433098554611206055e+00,3.000589999999999868e+00,8.033630000000000309e-10,4.572866201400756836e+00,4.000310000000000255e-01,-7.883309999999999374e-11
4.728883981704711914e+00,3.200839999999999907e+00,1.010539999999999904e-09,4.869172096252441406e+00,4.000330000000000275e-01,-1.205920000000000112e-10
5.009332656860351562e+00,3.400929999999999787e+00,8.798599999999999995e-10,5.150717496871948242e+00,4.000270000000000215e-01,-1.324889999999999909e-10
5.291653633117675781e+00,3.601059999999999928e+00,1.060009999999999941e-09,5.432418107986450195e+00,4.000279999999999947e-01,-8.872750000000000457e-11
5.572350025177001953e+00,3.800819999999999865e+00,9.231570000000000207e-10,5.713890314102172852e+00,4.000250000000000195e-01,-1.264809999999999979e-11
5.854830265045166016e+00,4.000890000000000057e+00,1.082979999999999914e-09,6.010258913040161133e+00,4.000230000000000175e-01,-9.716750000000000334e-11
