# Fri Sep 29 15:15:34 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=5, Npos=50, Nneg=50, pw=0.1, cycles=2, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.026482582092285156e-02,-1.304150000000000041e-05,-5.780460000000000272e-11,2.955875396728515625e-01,4.000650000000000039e-01,1.959550000000000100e-07
4.537360668182373047e-01,1.999829999999999941e-01,2.899689999999999941e-08,6.563761234283447266e-01,4.000670000000000059e-01,1.960180000000000020e-07
8.107125759124755859e-01,4.000449999999999839e-01,1.384590000000000092e-07,9.537377357482910156e-01,4.000429999999999819e-01,1.402009999999999992e-07
1.094755649566650391e+00,6.000649999999999595e-01,4.071479999999999874e-07,1.234755992889404297e+00,4.000429999999999819e-01,1.432680000000000094e-07
1.375528573989868164e+00,8.000869999999999926e-01,9.207530000000000128e-07,1.515794277191162109e+00,4.000449999999999839e-01,1.420619999999999919e-07
1.654296159744262695e+00,1.000089999999999923e+00,1.764189999999999918e-06,1.809211969375610352e+00,4.000420000000000087e-01,1.426469999999999935e-07
1.967430830001831055e+00,1.200080000000000036e+00,3.139289999999999889e-06,2.124254226684570312e+00,4.000440000000000107e-01,1.450989999999999945e-07
2.280265569686889648e+00,1.400060000000000082e+00,5.095820000000000112e-06,2.437937259674072266e+00,4.000389999999999779e-01,1.487240000000000022e-07
2.591775894165039062e+00,1.600030000000000063e+00,7.892900000000000274e-06,2.748445034027099609e+00,4.000400000000000067e-01,1.558750000000000111e-07
2.906090021133422852e+00,1.800019999999999953e+00,1.164530000000000013e-05,3.080310583114624023e+00,4.000449999999999839e-01,1.721690000000000113e-07
3.236769199371337891e+00,1.999970000000000026e+00,1.671389999999999934e-05,3.409586906433105469e+00,4.000340000000000007e-01,1.731440000000000051e-07
3.582918167114257812e+00,2.200019999999999865e+00,2.315470000000000042e-05,3.754709005355834961e+00,4.000360000000000027e-01,1.743279999999999977e-07
3.911193847656250000e+00,2.400150000000000006e+00,3.127280000000000321e-05,4.084484100341796875e+00,4.000330000000000275e-01,1.822440000000000006e-07
4.240291595458984375e+00,2.600179999999999936e+00,4.173960000000000268e-05,4.414031028747558594e+00,4.000319999999999987e-01,1.910250000000000049e-07
4.572751283645629883e+00,2.800279999999999880e+00,5.425629999999999754e-05,4.746451377868652344e+00,4.000279999999999947e-01,2.022189999999999925e-07
4.902442216873168945e+00,3.000449999999999839e+00,6.925520000000000059e-05,5.075753450393676758e+00,4.000270000000000215e-01,2.093859999999999931e-07
5.231269121170043945e+00,3.200579999999999981e+00,8.825190000000000118e-05,5.404567718505859375e+00,4.000259999999999927e-01,2.229769999999999988e-07
5.560288906097412109e+00,3.400720000000000187e+00,1.118189999999999945e-04,5.733168601989746094e+00,4.000259999999999927e-01,2.425889999999999761e-07
5.889731884002685547e+00,3.600810000000000066e+00,1.409790000000000067e-04,6.063434839248657227e+00,4.000230000000000175e-01,3.160789999999999810e-07
6.219360351562500000e+00,3.800609999999999822e+00,1.743380000000000103e-04,6.392395257949829102e+00,4.000210000000000155e-01,3.289620000000000045e-07
6.551261186599731445e+00,4.000700000000000145e+00,2.137189999999999912e-04,6.723756551742553711e+00,4.000210000000000155e-01,3.765310000000000250e-07
6.881334304809570312e+00,4.200800000000000090e+00,2.638960000000000090e-04,7.055258750915527344e+00,4.000190000000000135e-01,4.041800000000000101e-07
7.212014675140380859e+00,4.400909999999999656e+00,3.188569999999999729e-04,7.384875535964965820e+00,4.000190000000000135e-01,4.551260000000000217e-07
7.540265798568725586e+00,4.601020000000000110e+00,3.918139999999999861e-04,7.712186336517333984e+00,4.000130000000000075e-01,5.416610000000000220e-07
7.866741895675659180e+00,4.801090000000000302e+00,4.719309999999999781e-04,8.040263891220092773e+00,4.000130000000000075e-01,5.677440000000000313e-07
8.194713830947875977e+00,5.001149999999999984e+00,5.570910000000000098e-04,8.364777565002441406e+00,4.000070000000000014e-01,6.569219999999999845e-07
8.522862911224365234e+00,4.801079999999999792e+00,5.108569999999999778e-04,8.693801641464233398e+00,4.000259999999999927e-01,7.094889999999999549e-07
8.866307973861694336e+00,4.601040000000000241e+00,4.517160000000000099e-04,9.039103507995605469e+00,4.000139999999999807e-01,7.399010000000000290e-07
9.197613954544067383e+00,4.400920000000000165e+00,4.003340000000000197e-04,9.369721651077270508e+00,4.000139999999999807e-01,7.532279999999999735e-07
9.526764154434204102e+00,4.200770000000000337e+00,3.497980000000000143e-04,9.712529659271240234e+00,4.000130000000000075e-01,7.782329999999999781e-07
9.866798400878906250e+00,4.000680000000000014e+00,3.020410000000000174e-04,1.004126405715942383e+01,4.000230000000000175e-01,7.846440000000000214e-07
1.019679760932922363e+01,3.800619999999999887e+00,2.581530000000000066e-04,1.037025284767150879e+01,4.000239999999999907e-01,8.076350000000000186e-07
1.053065609931945801e+01,3.600849999999999884e+00,2.188520000000000114e-04,1.070006847381591797e+01,4.000230000000000175e-01,7.972079999999999743e-07
1.085431432723999023e+01,3.400790000000000202e+00,1.841369999999999888e-04,1.103918504714965820e+01,4.000319999999999987e-01,8.039330000000000031e-07
1.119579911231994629e+01,3.200680000000000192e+00,1.538579999999999896e-04,1.136771559715270996e+01,4.000299999999999967e-01,7.817370000000000338e-07
