# Fri Sep 29 15:35:05 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=3.5, Rht1=10000000.0, Rth2=12000000.0, pw=0.1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
3.829629421234130859e-01,3.995870000000000255e-01,5.774800000000000366e-09
7.605669498443603516e-01,3.995279999999999943e-01,6.319420000000000083e-09
1.139611959457397461e+00,3.995420000000000083e-01,7.853470000000000178e-09
1.518571376800537109e+00,3.995299999999999963e-01,5.668199999999999927e-09
1.895650625228881836e+00,3.995159999999999823e-01,6.658530000000000167e-09
2.273861885070800781e+00,3.995750000000000135e-01,9.309290000000000637e-09
2.646856546401977539e+00,3.995369999999999755e-01,7.641999999999999873e-09
3.024286985397338867e+00,3.995009999999999950e-01,9.632269999999999867e-09
3.399324417114257812e+00,3.995279999999999943e-01,9.606080000000000809e-09
3.774808645248413086e+00,3.995009999999999950e-01,8.153069999999999433e-09
4.148694276809692383e+00,3.995369999999999755e-01,8.366049999999999663e-09
4.523055076599121094e+00,3.995250000000000190e-01,7.183430000000000287e-09
4.901637315750122070e+00,3.995079999999999742e-01,7.367069999999999873e-09
5.280080318450927734e+00,3.995589999999999975e-01,1.064069999999999945e-08
5.654531002044677734e+00,3.995799999999999907e-01,1.075659999999999985e-08
6.026874065399169922e+00,3.995440000000000103e-01,9.029730000000000415e-09
6.405652761459350586e+00,3.995850000000000235e-01,1.060890000000000045e-08
6.784668684005737305e+00,3.996210000000000040e-01,1.171160000000000079e-08
7.175655126571655273e+00,3.995819999999999927e-01,1.208219999999999949e-08
7.553880453109741211e+00,3.995900000000000007e-01,1.239740000000000022e-08
7.931919097900390625e+00,3.996089999999999920e-01,1.324090000000000046e-08
8.308616876602172852e+00,3.995819999999999927e-01,1.356710000000000043e-08
8.650691270828247070e+00,3.994750000000000245e-01,2.560509999999999877e-08
8.933952331542968750e+00,3.994869999999999810e-01,2.335199999999999960e-08
9.246637582778930664e+00,3.995230000000000170e-01,1.270360000000000068e-08
9.623248100280761719e+00,3.995630000000000015e-01,1.228189999999999995e-08
9.980333805084228516e+00,3.994659999999999878e-01,2.483669999999999965e-08
1.029209160804748535e+01,3.995630000000000015e-01,1.542340000000000032e-08
1.066548609733581543e+01,3.995420000000000083e-01,1.466209999999999965e-08
1.103968644142150879e+01,3.995730000000000115e-01,1.437239999999999971e-08
1.141581273078918457e+01,3.995779999999999887e-01,1.666910000000000068e-08
