# Fri Sep 29 19:07:44 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=4, Rht1=4000000.0, Rth2=12000000.0, pw=0.1, hslV=0.4, T1 = 0.04, T2 = 0.04, nplc=0.5, pulsos hasta umbral=1262
4.287345409393310547e-01,3.997060000000000057e-01,1.948830000000000186e-09
8.675050735473632812e-01,3.996870000000000145e-01,3.820589999999999935e-09
1.305239200592041016e+00,3.996899999999999897e-01,3.367030000000000107e-09
1.740592241287231445e+00,3.997089999999999810e-01,4.852389999999999619e-09
2.182075023651123047e+00,3.997180000000000177e-01,4.113280000000000090e-09
2.624805212020874023e+00,3.997330000000000050e-01,3.221029999999999991e-09
3.066998004913330078e+00,3.997470000000000190e-01,3.406270000000000067e-09
3.504014730453491211e+00,3.997109999999999830e-01,5.156610000000000043e-09
3.943238258361816406e+00,3.997229999999999950e-01,7.411369999999999813e-09
4.381872177124023438e+00,3.997419999999999862e-01,3.801360000000000199e-09
4.816840410232543945e+00,3.996779999999999777e-01,5.238690000000000239e-09
5.251937150955200195e+00,3.997060000000000057e-01,4.211830000000000333e-09
5.689782857894897461e+00,3.996970000000000245e-01,5.016159999999999768e-09
6.126812696456909180e+00,3.997040000000000037e-01,6.725129999999999916e-09
6.562798738479614258e+00,3.997180000000000177e-01,1.353760000000000007e-08
6.999490499496459961e+00,3.996680000000000232e-01,6.500999999999999781e-09
7.435359239578247070e+00,3.996660000000000212e-01,1.022340000000000008e-08
7.870263576507568359e+00,3.995940000000000047e-01,1.369529999999999923e-08
8.304200172424316406e+00,3.996870000000000145e-01,1.027649999999999941e-08
8.744878768920898438e+00,3.997109999999999830e-01,7.692599999999999678e-09
9.178446054458618164e+00,3.997089999999999810e-01,1.335370000000000032e-08
9.612765789031982422e+00,3.997450000000000170e-01,1.358219999999999969e-08
1.005328869819641113e+01,3.996970000000000245e-01,1.103359999999999962e-08
1.049079918861389160e+01,3.997109999999999830e-01,8.446739999999999309e-09
1.092847275733947754e+01,3.997280000000000277e-01,6.876559999999999671e-09
1.136825847625732422e+01,3.996750000000000025e-01,8.858160000000000356e-09
1.180710911750793457e+01,3.997089999999999810e-01,1.245780000000000055e-08
1.224292850494384766e+01,3.996750000000000025e-01,1.171420000000000076e-08
1.268086552619934082e+01,3.997160000000000157e-01,1.528079999999999877e-08
1.311797118186950684e+01,3.997470000000000190e-01,1.044050000000000008e-08
1.355282568931579590e+01,3.996939999999999937e-01,1.654969999999999963e-08
1.398928785324096680e+01,3.996799999999999797e-01,2.167949999999999901e-08
1.442978525161743164e+01,3.997229999999999950e-01,1.122560000000000061e-08
1.486786031723022461e+01,3.997060000000000057e-01,9.058690000000000696e-09
1.531958961486816406e+01,3.996520000000000072e-01,8.374190000000000423e-09
1.575429010391235352e+01,3.996629999999999905e-01,1.255570000000000039e-08
1.620625758171081543e+01,3.996990000000000265e-01,1.088900000000000076e-08
1.664619994163513184e+01,3.996060000000000167e-01,8.202529999999999798e-09
1.708439183235168457e+01,3.996040000000000147e-01,2.419249999999999974e-08
1.751948666572570801e+01,3.996040000000000147e-01,1.696839999999999860e-08
1.795786547660827637e+01,3.996060000000000167e-01,1.460249999999999957e-08
1.839428687095642090e+01,3.996040000000000147e-01,1.470070000000000074e-08
1.883050417900085449e+01,3.996419999999999972e-01,1.567289999999999868e-08
1.926945352554321289e+01,3.996370000000000200e-01,1.462599999999999974e-08
1.970597887039184570e+01,3.996210000000000040e-01,1.934670000000000144e-08
2.014193582534790039e+01,3.996350000000000180e-01,1.877890000000000016e-08
2.057853484153747559e+01,3.996489999999999765e-01,1.810829999999999877e-08
2.101452541351318359e+01,3.996299999999999852e-01,1.488579999999999920e-08
2.145075082778930664e+01,3.995730000000000115e-01,1.468809999999999935e-08
2.188815307617187500e+01,3.996299999999999852e-01,2.227300000000000032e-08
2.233900713920593262e+01,3.996439999999999992e-01,1.914520000000000126e-08
2.277822732925415039e+01,3.996779999999999777e-01,1.304680000000000007e-08
2.321539807319641113e+01,3.996520000000000072e-01,1.371949999999999920e-08
2.365294528007507324e+01,3.996350000000000180e-01,1.432249999999999971e-08
2.408988690376281738e+01,3.995969999999999800e-01,8.087549999999999850e-09
2.454284453392028809e+01,3.996009999999999840e-01,1.466579999999999954e-08
2.497964835166931152e+01,3.995850000000000235e-01,1.470320000000000026e-08
2.543563199043273926e+01,3.995679999999999787e-01,1.611160000000000049e-08
2.586845421791076660e+01,3.995940000000000047e-01,2.365410000000000003e-08
2.630299878120422363e+01,3.995679999999999787e-01,1.910500000000000134e-08
2.673857164382934570e+01,3.995279999999999943e-01,1.375609999999999968e-08
2.717524266242980957e+01,3.994770000000000265e-01,1.077969999999999991e-08
2.761729550361633301e+01,3.995110000000000050e-01,8.246599999999999212e-09
2.805554795265197754e+01,3.995389999999999775e-01,1.658950000000000108e-08
2.849099969863891602e+01,3.995609999999999995e-01,2.318659999999999932e-08
2.892698788642883301e+01,3.995349999999999735e-01,1.795640000000000057e-08
2.936624312400817871e+01,3.995319999999999983e-01,1.297559999999999974e-08
2.979988288879394531e+01,3.996060000000000167e-01,1.588110000000000051e-08
3.023443675041198730e+01,3.997229999999999950e-01,1.584110000000000147e-08
3.068970203399658203e+01,3.996870000000000145e-01,1.995149999999999836e-08
3.112540292739868164e+01,3.997640000000000082e-01,2.137660000000000164e-08
3.156188321113586426e+01,3.997089999999999810e-01,1.108970000000000070e-08
3.199864339828491211e+01,3.997450000000000170e-01,2.079570000000000006e-08
3.243663930892944336e+01,3.997519999999999962e-01,1.609050000000000105e-08
3.287471508979797363e+01,3.996990000000000265e-01,2.412840000000000118e-09
3.331428194046020508e+01,3.997299999999999742e-01,1.240279999999999981e-09
