# Fri Sep 29 18:41:12 2023
#  Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  V=4, Rht1=4000000.0, Rth2=12000000.0, pw=0.1, hslV=0.4, T1 = 0.02, T2 = 0.02, nplc=0.5, pulsos hasta umbral=332
4.016525745391845703e-01,3.996990000000000265e-01,2.060029999999999968e-09
8.083426952362060547e-01,3.997450000000000170e-01,3.461360000000000132e-09
1.212277650833129883e+00,3.997299999999999742e-01,4.463579999999999593e-09
1.619361877441406250e+00,3.996799999999999797e-01,6.320539999999999765e-09
2.025879859924316406e+00,3.996830000000000105e-01,6.470940000000000404e-09
2.434516668319702148e+00,3.996629999999999905e-01,3.066749999999999982e-09
2.842780351638793945e+00,3.996399999999999952e-01,1.017789999999999977e-08
3.248624801635742188e+00,3.997180000000000177e-01,5.592069999999999695e-09
3.652456283569335938e+00,3.996040000000000147e-01,7.025829999999999922e-09
4.060990095138549805e+00,3.996299999999999852e-01,9.369109999999999713e-09
4.466402053833007812e+00,3.996660000000000212e-01,7.875750000000000229e-09
4.868220567703247070e+00,3.997180000000000177e-01,1.306630000000000067e-08
5.275106430053710938e+00,3.997249999999999970e-01,1.510799999999999870e-08
5.680419206619262695e+00,3.996919999999999917e-01,1.127119999999999971e-08
6.085552692413330078e+00,3.996469999999999745e-01,8.436110000000000557e-09
6.491031169891357422e+00,3.996850000000000125e-01,1.492859999999999909e-08
6.901538133621215820e+00,3.996730000000000005e-01,1.224419999999999955e-08
7.308276891708374023e+00,3.996660000000000212e-01,9.408619999999999714e-09
7.713724374771118164e+00,3.997490000000000210e-01,1.035000000000000003e-08
8.122474670410156250e+00,3.996540000000000092e-01,8.283889999999999608e-09
8.531907796859741211e+00,3.996730000000000005e-01,2.237660000000000067e-08
8.938295602798461914e+00,3.997249999999999970e-01,1.200870000000000052e-08
9.346314907073974609e+00,3.996830000000000105e-01,4.168690000000000253e-08
9.750148296356201172e+00,3.996970000000000245e-01,2.127060000000000056e-08
1.015846538543701172e+01,3.996899999999999897e-01,1.762399999999999952e-08
1.056681799888610840e+01,3.996540000000000092e-01,2.629700000000000049e-08
1.097845649719238281e+01,3.996520000000000072e-01,2.413599999999999854e-08
1.138871645927429199e+01,3.996799999999999797e-01,2.395599999999999958e-08
1.180187773704528809e+01,3.996350000000000180e-01,2.033009999999999952e-08
1.221389722824096680e+01,3.996899999999999897e-01,8.799790000000000277e-09
1.262518954277038574e+01,3.996299999999999852e-01,1.279379999999999939e-08
1.303476023674011230e+01,3.996660000000000212e-01,1.358270000000000026e-08
1.344259977340698242e+01,3.996799999999999797e-01,1.875599999999999934e-08
1.385434365272521973e+01,3.997519999999999962e-01,1.205040000000000049e-08
1.426310849189758301e+01,3.996899999999999897e-01,1.100489999999999950e-08
1.467287254333496094e+01,3.996060000000000167e-01,6.306599999999999708e-09
1.508315873146057129e+01,3.996129999999999960e-01,1.669400000000000046e-08
1.552026987075805664e+01,3.995920000000000027e-01,2.133769999999999922e-08
1.592581844329833984e+01,3.995850000000000235e-01,4.018420000000000192e-08
1.633110904693603516e+01,3.996350000000000180e-01,1.834630000000000064e-08
1.673851847648620605e+01,3.996129999999999960e-01,2.664740000000000044e-09
1.714237999916076660e+01,3.996160000000000267e-01,1.379359999999999919e-08
1.754785943031311035e+01,3.996109999999999940e-01,1.566500000000000164e-08
1.795502877235412598e+01,3.996660000000000212e-01,1.912140000000000141e-08
1.836424851417541504e+01,3.996799999999999797e-01,1.745709999999999961e-09
1.878398275375366211e+01,3.996870000000000145e-01,1.499360000000000001e-08
1.915956711769104004e+01,3.995560000000000223e-01,1.849880000000000151e-08
1.950351119041442871e+01,3.996439999999999992e-01,1.109249999999999990e-08
1.992051649093627930e+01,3.996439999999999992e-01,1.359699999999999927e-08
2.032707738876342773e+01,3.996179999999999732e-01,1.390459999999999932e-08
