# Tue Sep  5 15:19:21 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=75, Nneg=75, pw=0.1, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.066560745239257812e-02,-3.838540000000000013e-05,1.598729999999999917e-09,2.793271541595458984e-01,4.000150000000000095e-01,1.492669999999999975e-09
4.198963642120361328e-01,1.351030000000000009e-01,1.595459999999999989e-09,5.594425201416015625e-01,4.000230000000000175e-01,1.484890000000000029e-09
6.986415386199951172e-01,2.702559999999999962e-01,1.101410000000000025e-09,8.376872539520263672e-01,4.000150000000000095e-01,9.777899999999999911e-10
9.805908203125000000e-01,4.054039999999999866e-01,2.172009999999999823e-09,1.121365785598754883e+00,4.000230000000000175e-01,2.393390000000000149e-09
1.260138511657714844e+00,5.405769999999999742e-01,2.183750000000000033e-09,1.401237487792968750e+00,4.000190000000000135e-01,2.557839999999999927e-09
1.547302484512329102e+00,6.757269999999999666e-01,2.833960000000000003e-09,1.700496673583984375e+00,4.000190000000000135e-01,1.993599999999999816e-09
1.841778278350830078e+00,8.108739999999999837e-01,5.557139999999999692e-09,1.981181144714355469e+00,4.000250000000000195e-01,2.503599999999999916e-09
2.122140169143676758e+00,9.459880000000000511e-01,6.925369999999999630e-09,2.263922691345214844e+00,4.000250000000000195e-01,3.484880000000000068e-09
2.404804706573486328e+00,1.081150000000000055e+00,1.170689999999999976e-08,2.548518180847167969e+00,4.000310000000000255e-01,1.966980000000000170e-09
2.693099498748779297e+00,1.216269999999999962e+00,5.349160000000000169e-09,2.849008560180664062e+00,4.000290000000000235e-01,1.260150000000000038e-09
2.988960742950439453e+00,1.351399999999999935e+00,1.676739999999999899e-08,3.129266262054443359e+00,4.000199999999999867e-01,8.736609999999999674e-10
3.268612623214721680e+00,1.486529999999999907e+00,2.330039999999999866e-08,3.411217689514160156e+00,4.000070000000000014e-01,-5.062459999999999494e-10
3.566713333129882812e+00,1.621629999999999905e+00,3.839689999999999755e-08,3.705497503280639648e+00,4.000230000000000175e-01,3.427420000000000144e-09
3.845161914825439453e+00,1.756780000000000008e+00,6.243999999999999531e-08,3.987014532089233398e+00,4.000279999999999947e-01,3.552369999999999800e-09
