# Tue Sep  5 15:39:35 2023
#  Tiempo [s], Voltaje [V], Corriente [A]
#   pw=0.1, T = 0.01, nplc=0.5
5.830430984497070312e-02,4.000279999999999947e-01,2.927059999999999816e-10
2.773530483245849609e-01,-1.101490000000000020e-05,-6.573679999999999576e-10
4.152915477752685547e-01,4.000540000000000207e-01,-3.889799999999999844e-10
5.562880039215087891e-01,-1.000420000000000059e-01,-7.366419999999999673e-10
6.967782974243164062e-01,4.000500000000000167e-01,-4.610780000000000078e-10
8.386409282684326172e-01,-2.000389999999999946e-01,-7.602569999999999938e-10
9.815399646759033203e-01,4.000340000000000007e-01,3.824229999999999831e-11
1.120304584503173828e+00,-3.000680000000000014e-01,-6.556750000000000131e-10
1.261644124984741211e+00,4.000340000000000007e-01,1.034860000000000007e-10
1.402655839920043945e+00,-4.000900000000000012e-01,-1.396299999999999872e-10
1.544070005416870117e+00,4.000210000000000155e-01,6.532790000000000351e-10
1.684030532836914062e+00,-5.001010000000000177e-01,1.353620000000000026e-10
1.825366258621215820e+00,4.000170000000000115e-01,8.404370000000000209e-10
1.966815233230590820e+00,-6.001349999999999740e-01,2.908710000000000081e-10
2.105737209320068359e+00,4.000170000000000115e-01,8.849620000000000300e-10
2.245803117752075195e+00,-7.001540000000000541e-01,2.701880000000000083e-10
2.385271787643432617e+00,4.000219999999999887e-01,8.738519999999999515e-10
2.526610612869262695e+00,-8.001369999999999871e-01,2.761010000000000167e-10
2.665571928024291992e+00,4.000230000000000175e-01,9.200929999999999990e-10
2.807682991027832031e+00,-9.001460000000000017e-01,1.975179999999999894e-10
2.948688983917236328e+00,4.000480000000000147e-01,7.199759999999999961e-10
3.090181589126586914e+00,-1.000140000000000029e+00,-1.942870000000000085e-10
3.232414484024047852e+00,4.000639999999999752e-01,-2.395630000000000236e-10
3.374592781066894531e+00,-1.100170000000000092e+00,-1.010999999999999921e-09
3.514833688735961914e+00,4.000580000000000247e-01,-3.543970000000000119e-10
3.656799793243408203e+00,-1.200159999999999894e+00,-1.084590000000000077e-09
3.795460462570190430e+00,4.000540000000000207e-01,-3.891230000000000220e-10
3.934210538864135742e+00,-1.300140000000000073e+00,-1.105429999999999976e-09
4.074291706085205078e+00,4.000540000000000207e-01,-3.268119999999999981e-10
4.217045783996582031e+00,-1.400160000000000071e+00,-1.158919999999999964e-09
4.357156753540039062e+00,4.000449999999999839e-01,-2.728340000000000114e-10
4.495293617248535156e+00,-1.500119999999999898e+00,-1.247049999999999948e-09
4.651819467544555664e+00,4.000529999999999919e-01,2.992149999999999847e-11
4.791583061218261719e+00,-1.600100000000000078e+00,-8.708360000000000314e-10
4.931179523468017578e+00,4.000540000000000207e-01,9.096860000000000317e-11
5.070422887802124023e+00,-1.700129999999999919e+00,-5.446080000000000285e-10
5.210749387741088867e+00,4.000589999999999979e-01,2.696160000000000128e-10
5.351210355758666992e+00,-1.800100000000000033e+00,-8.738990000000000445e-10
5.490027666091918945e+00,4.000580000000000247e-01,3.425480000000000045e-10
5.632205486297607422e+00,-1.900120000000000031e+00,-1.210190000000000012e-06
5.787809610366821289e+00,4.000259999999999927e-01,2.085889999999999959e-08
5.989561557769775391e+00,-2.000080000000000080e+00,-1.127789999999999920e-05
6.160549163818359375e+00,4.000589999999999979e-01,1.958960000000000026e-08
6.363857507705688477e+00,-2.100060000000000038e+00,-1.389740000000000013e-05
6.534521579742431641e+00,4.000400000000000067e-01,2.029489999999999865e-08
6.738605737686157227e+00,-2.200210000000000221e+00,-4.968410000000000090e-05
6.908289432525634766e+00,4.000270000000000215e-01,4.525080000000000177e-08
7.110490798950195312e+00,-2.300129999999999786e+00,-4.836939999999999805e-05
7.282986164093017578e+00,4.000400000000000067e-01,3.842890000000000075e-08
7.486680507659912109e+00,-2.400220000000000020e+00,-5.525570000000000020e-05
7.660342454910278320e+00,4.000540000000000207e-01,5.973589999999999428e-08
7.860805749893188477e+00,-2.500129999999999963e+00,-5.768039999999999750e-05
8.032102108001708984e+00,4.000349999999999739e-01,4.157650000000000175e-08
8.235060930252075195e+00,-2.600400000000000045e+00,-3.259420000000000042e-05
8.406990766525268555e+00,4.000319999999999987e-01,2.064619999999999928e-08
8.609779834747314453e+00,-2.700239999999999974e+00,-4.753030000000000129e-05
8.781169891357421875e+00,4.000520000000000187e-01,1.745089999999999978e-08
8.982527256011962891e+00,-2.800129999999999786e+00,-5.363640000000000031e-05
9.157635688781738281e+00,4.000569999999999959e-01,1.755349999999999899e-08
9.359944343566894531e+00,-2.900310000000000166e+00,-7.047079999999999620e-05
9.529139757156372070e+00,4.000310000000000255e-01,1.866650000000000042e-08
9.734748125076293945e+00,-3.000210000000000043e+00,-6.909440000000000037e-05
9.905487298965454102e+00,4.000480000000000147e-01,1.677520000000000055e-08
