# Tue Sep  5 18:42:49 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=6, Vmin=-5, Npos=75, Nneg=75, pw=0.1, cycles=1, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
6.033945083618164062e-02,-7.843969999999999372e-06,4.043579999999999700e-11,2.316713333129882812e-01,4.000400000000000067e-01,6.111380000000000045e-10
3.715913295745849609e-01,1.621509999999999896e-01,4.314899999999999751e-10,5.145094394683837891e-01,4.000409999999999799e-01,1.019879999999999998e-09
6.584296226501464844e-01,3.243369999999999864e-01,7.850530000000000186e-10,7.996532917022705078e-01,4.000409999999999799e-01,6.032230000000000375e-10
9.407489299774169922e-01,4.865700000000000025e-01,4.118559999999999786e-10,1.080396413803100586e+00,4.000469999999999859e-01,3.315930000000000149e-10
1.220572710037231445e+00,6.487180000000000168e-01,6.573319999999999589e-10,1.362624168395996094e+00,4.000469999999999859e-01,-1.721619999999999944e-10
1.503123760223388672e+00,8.109020000000000117e-01,2.513999999999999797e-10,1.643358230590820312e+00,4.000489999999999879e-01,-3.087520000000000108e-10
1.784255743026733398e+00,9.730699999999999905e-01,1.579399999999999995e-10,1.927071332931518555e+00,4.000449999999999839e-01,-3.726599999999999828e-10
2.068001985549926758e+00,1.135210000000000052e+00,4.314059999999999783e-10,2.206921100616455078e+00,4.000449999999999839e-01,-3.701090000000000193e-10
2.346861124038696289e+00,1.297390000000000043e+00,4.559759999999999772e-10,2.485996246337890625e+00,4.000480000000000147e-01,-4.793170000000000313e-10
2.628472328186035156e+00,1.459519999999999929e+00,9.549139999999999969e-10,2.767774820327758789e+00,4.000429999999999819e-01,-2.795459999999999981e-10
2.910238027572631836e+00,1.621639999999999970e+00,1.886050000000000120e-09,3.051308631896972656e+00,4.000400000000000067e-01,4.491330000000000040e-10
3.190995216369628906e+00,1.783819999999999961e+00,3.638459999999999862e-09,3.331716537475585938e+00,4.000360000000000027e-01,4.401089999999999843e-10
3.468852996826171875e+00,1.945959999999999912e+00,2.744950000000000122e-09,3.609644889831542969e+00,4.000400000000000067e-01,1.907349999999999946e-11
3.750235319137573242e+00,2.108270000000000088e+00,5.974080000000000116e-09,3.891926527023315430e+00,4.000369999999999759e-01,4.432199999999999956e-10
4.030509471893310547e+00,2.270719999999999850e+00,6.612979999999999636e-09,4.170310020446777344e+00,4.000389999999999779e-01,7.526870000000000138e-11
4.310403108596801758e+00,2.432850000000000179e+00,6.732130000000000409e-09,4.450742483139038086e+00,4.000330000000000275e-01,2.619030000000000209e-10
4.591980934143066406e+00,2.594990000000000130e+00,9.216450000000000780e-09,4.733844995498657227e+00,4.000330000000000275e-01,8.198260000000000184e-10
4.874394893646240234e+00,2.757060000000000066e+00,1.284749999999999973e-08,5.014914512634277344e+00,4.000299999999999967e-01,8.484719999999999834e-10
5.154315948486328125e+00,2.919550000000000090e+00,1.638679999999999887e-08,5.295973539352416992e+00,4.000310000000000255e-01,9.498239999999999659e-10
5.436688423156738281e+00,3.081669999999999909e+00,1.817270000000000033e-08,5.577554702758789062e+00,4.000290000000000235e-01,8.688450000000000122e-10
5.715187788009643555e+00,3.243669999999999831e+00,2.648609999999999786e-07,5.870716810226440430e+00,4.000429999999999819e-01,4.509760000000000276e-08
6.072255611419677734e+00,3.406089999999999840e+00,2.788369999999999868e-05,6.244453907012939453e+00,4.000349999999999739e-01,6.217580000000000278e-08
6.449618816375732422e+00,3.568229999999999791e+00,3.356220000000000199e-05,6.620402812957763672e+00,4.000330000000000275e-01,6.402470000000000288e-08
6.822112083435058594e+00,3.730430000000000135e+00,4.015919999999999999e-05,6.996062040328979492e+00,4.000349999999999739e-01,7.242659999999999555e-08
7.200334072113037109e+00,3.892479999999999940e+00,4.755019999999999749e-05,7.372105836868286133e+00,4.000349999999999739e-01,7.687840000000000369e-08
7.573002338409423828e+00,4.054879999999999818e+00,5.608949999999999890e-05,7.743505954742431641e+00,4.000279999999999947e-01,8.249730000000000379e-08
7.945773124694824219e+00,4.216969999999999885e+00,6.667920000000000357e-05,8.116918325424194336e+00,4.000299999999999967e-01,8.533010000000000253e-08
8.320342302322387695e+00,4.379179999999999851e+00,7.881060000000000062e-05,8.490784883499145508e+00,4.000360000000000027e-01,9.590519999999999510e-08
8.693310022354125977e+00,4.541599999999999859e+00,9.425490000000000452e-05,8.864421844482421875e+00,4.000380000000000047e-01,1.028670000000000039e-07
9.065004587173461914e+00,4.703820000000000334e+00,1.112689999999999946e-04,9.235376596450805664e+00,4.000219999999999887e-01,1.208580000000000093e-07
9.438692808151245117e+00,4.865960000000000285e+00,1.342469999999999905e-04,9.609281301498413086e+00,4.000279999999999947e-01,1.291999999999999922e-07
9.813301086425781250e+00,5.028080000000000105e+00,1.588910000000000073e-04,9.985345840454101562e+00,4.000059999999999727e-01,1.809840000000000012e-07
1.014012241363525391e+01,5.190599999999999881e+00,1.879290000000000095e-04,1.031505823135375977e+01,4.000130000000000075e-01,1.932160000000000011e-07
1.046834897994995117e+01,5.352710000000000079e+00,2.241169999999999957e-04,1.063884162902832031e+01,4.000049999999999994e-01,2.017979999999999916e-07
1.079580473899841309e+01,5.514750000000000263e+00,2.592860000000000108e-04,1.096795248985290527e+01,3.999980000000000202e-01,2.047649999999999942e-07
1.112526249885559082e+01,5.677229999999999777e+00,3.110650000000000177e-04,1.129768300056457520e+01,4.000009999999999954e-01,2.261499999999999968e-07
1.145377230644226074e+01,5.839360000000000106e+00,3.538230000000000173e-04,1.162549209594726562e+01,3.999969999999999914e-01,2.545339999999999947e-07
1.178251767158508301e+01,6.001520000000000188e+00,4.038889999999999950e-04,1.195340943336486816e+01,3.999949999999999894e-01,3.003080000000000180e-07
1.210896396636962891e+01,5.839439999999999742e+00,3.983090000000000111e-04,1.228166389465332031e+01,4.000020000000000242e-01,3.395789999999999996e-07
