# Tue Sep  5 19:03:24 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=6, Vmin=-5, Npos=75, Nneg=75, pw=0, cycles=1, hslV=0.4, T1 = 0, T2 = 0, nplc=0.5
1.199364662170410156e-02,-1.478200000000000094e-06,4.580019999999999865e-11,4.497361183166503906e-02,4.000619999999999732e-01,1.244840000000000015e-08
6.096553802490234375e-02,1.621620000000000006e-01,3.908779999999999813e-09,7.995295524597167969e-02,4.000619999999999732e-01,1.261579999999999939e-08
9.994196891784667969e-02,3.243420000000000192e-01,1.009069999999999949e-08,1.179320812225341797e-01,4.000540000000000207e-01,1.320110000000000066e-08
1.389200687408447266e-01,4.865740000000000065e-01,1.625989999999999924e-08,1.549105644226074219e-01,4.000589999999999979e-01,1.293009999999999943e-08
1.739003658294677734e-01,6.487429999999999586e-01,2.078679999999999857e-08,1.968870162963867188e-01,4.000549999999999939e-01,1.243650000000000022e-08
2.158756256103515625e-01,8.109260000000000357e-01,2.702089999999999879e-08,2.328655719757080078e-01,4.000509999999999899e-01,1.135049999999999963e-08
2.528891563415527344e-01,9.731090000000000018e-01,3.207839999999999957e-08,2.705159187316894531e-01,4.000589999999999979e-01,9.866059999999999739e-09
2.915062904357910156e-01,1.135270000000000001e+00,3.720540000000000306e-08,3.095016479492187500e-01,4.000549999999999939e-01,9.276900000000000504e-09
3.275265693664550781e-01,1.297430000000000083e+00,4.448539999999999943e-08,3.460893630981445312e-01,4.000600000000000267e-01,9.665860000000000368e-09
3.666527271270751953e-01,1.459589999999999943e+00,5.156789999999999684e-08,3.837313652038574219e-01,4.000609999999999999e-01,1.034909999999999934e-08
4.038565158843994141e-01,1.621720000000000050e+00,5.922369999999999847e-08,4.228589534759521484e-01,4.000560000000000227e-01,1.076589999999999981e-08
4.409294128417968750e-01,1.783900000000000041e+00,6.849230000000000511e-08,4.598896503448486328e-01,4.000520000000000187e-01,1.205549999999999999e-08
4.799237251281738281e-01,1.946039999999999992e+00,7.719479999999999982e-08,4.968576431274414062e-01,4.000520000000000187e-01,1.259869999999999952e-08
5.158491134643554688e-01,2.109080000000000066e+00,8.441709999999999958e-08,5.368263721466064453e-01,4.000560000000000227e-01,1.273569999999999935e-08
5.562431812286376953e-01,2.271560000000000024e+00,9.524589999999999925e-08,5.756347179412841797e-01,4.000540000000000207e-01,1.271569999999999984e-08
5.969252586364746094e-01,2.433100000000000041e+00,2.545909999999999866e-08,6.251156330108642578e-01,4.000449999999999839e-01,7.566810000000000260e-10
6.970229148864746094e-01,2.595260000000000122e+00,3.606569999999999717e-08,7.279875278472900391e-01,4.000449999999999839e-01,3.607749999999999768e-10
