# Tue Sep  5 16:56:45 2023
#  Tiempo [s], Voltaje [V], Corriente [A]
#   pw=0.1, T = 0.01, nplc=0.5
5.951714515686035156e-02,4.000340000000000007e-01,4.824380000000000217e-07
2.138788700103759766e-01,3.266329999999999947e-06,-6.726980000000000483e-11
4.156818389892578125e-01,4.000340000000000007e-01,4.808179999999999847e-07
5.718820095062255859e-01,1.200019999999999976e-01,5.347149999999999676e-08
7.771286964416503906e-01,4.000429999999999819e-01,4.978930000000000499e-07
9.325335025787353516e-01,2.400110000000000021e-01,1.717509999999999873e-07
1.076452732086181641e+00,4.000449999999999839e-01,5.091580000000000386e-07
1.216372966766357422e+00,3.600180000000000047e-01,3.951479999999999858e-07
1.357857227325439453e+00,4.000440000000000107e-01,5.195049999999999922e-07
1.498444795608520508e+00,4.800420000000000242e-01,7.921939999999999533e-07
1.638660907745361328e+00,4.000340000000000007e-01,5.029649999999999778e-07
1.780898094177246094e+00,6.000879999999999548e-01,1.346929999999999952e-06
1.935941934585571289e+00,4.000380000000000047e-01,5.134169999999999711e-07
2.090235233306884766e+00,7.200630000000000086e-01,2.220829999999999962e-06
2.247823476791381836e+00,4.000460000000000127e-01,5.103000000000000100e-07
2.404302358627319336e+00,8.400760000000000449e-01,3.369420000000000005e-06
2.562224388122558594e+00,4.000630000000000019e-01,5.241449999999999597e-07
2.721118927001953125e+00,9.600899999999999990e-01,4.846260000000000251e-06
2.879568815231323242e+00,4.000460000000000127e-01,5.171480000000000460e-07
3.050034046173095703e+00,1.080079999999999929e+00,6.783649999999999840e-06
3.207955121994018555e+00,4.000500000000000167e-01,5.542890000000000475e-07
3.363800525665283203e+00,1.200099999999999945e+00,9.114300000000000133e-06
3.520402908325195312e+00,4.000509999999999899e-01,5.414819999999999514e-07
3.675634860992431641e+00,1.320100000000000051e+00,1.191229999999999943e-05
3.833584308624267578e+00,4.000340000000000007e-01,5.423029999999999559e-07
3.990546464920043945e+00,1.440010000000000012e+00,1.524660000000000070e-05
4.147281408309936523e+00,4.000500000000000167e-01,5.465499999999999806e-07
4.303333997726440430e+00,1.560009999999999897e+00,1.918919999999999917e-05
4.459958791732788086e+00,4.000449999999999839e-01,5.398120000000000165e-07
4.615257978439331055e+00,1.680050000000000043e+00,2.360450000000000075e-05
4.773727416992187500e+00,4.000389999999999779e-01,5.636219999999999630e-07
4.933759927749633789e+00,1.800040000000000084e+00,2.871379999999999942e-05
5.093037128448486328e+00,4.000409999999999799e-01,5.377680000000000281e-07
5.252302169799804688e+00,1.920020000000000060e+00,3.453759999999999946e-05
5.408313512802124023e+00,4.000549999999999939e-01,5.474070000000000259e-07
5.565754652023315430e+00,2.040109999999999868e+00,4.160300000000000131e-05
5.756118774414062500e+00,4.000360000000000027e-01,5.861369999999999499e-07
5.912543773651123047e+00,2.160270000000000135e+00,4.952809999999999765e-05
6.067388772964477539e+00,4.000540000000000207e-01,6.141309999999999821e-07
6.225349187850952148e+00,2.280149999999999899e+00,5.799549999999999725e-05
6.384483098983764648e+00,4.000639999999999752e-01,6.009080000000000495e-07
6.541593313217163086e+00,2.400259999999999838e+00,6.757270000000000442e-05
6.695559978485107422e+00,4.000299999999999967e-01,6.375110000000000233e-07
6.869812250137329102e+00,2.520140000000000047e+00,7.850459999999999372e-05
7.027636528015136719e+00,4.000569999999999959e-01,6.594130000000000298e-07
7.185191392898559570e+00,2.640060000000000073e+00,9.058859999999999526e-05
7.356356382369995117e+00,4.000270000000000215e-01,6.530619999999999486e-07
7.512048244476318359e+00,2.760619999999999852e+00,1.029650000000000010e-04
7.684485912322998047e+00,4.000440000000000107e-01,6.667880000000000015e-07
7.841581344604492188e+00,2.880469999999999864e+00,1.173860000000000040e-04
8.016344070434570312e+00,4.000199999999999867e-01,7.077669999999999610e-07
8.173016786575317383e+00,3.000620000000000065e+00,1.340600000000000006e-04
8.346517801284790039e+00,4.000509999999999899e-01,7.189460000000000111e-07
8.502139329910278320e+00,3.120449999999999946e+00,1.510899999999999917e-04
8.676752090454101562e+00,4.000179999999999847e-01,7.343580000000000170e-07
8.833395719528198242e+00,3.240679999999999783e+00,1.707380000000000041e-04
9.007919311523437500e+00,4.000469999999999859e-01,7.786439999999999941e-07
9.167008638381958008e+00,3.360609999999999875e+00,1.921459999999999997e-04
9.340369224548339844e+00,4.000279999999999947e-01,8.260930000000000374e-07
9.497487306594848633e+00,3.480589999999999851e+00,2.163040000000000080e-04
9.667977809906005859e+00,4.000409999999999799e-01,8.636100000000000417e-07
9.826322078704833984e+00,3.600919999999999899e+00,2.409140000000000044e-04
9.999259233474731445e+00,4.000190000000000135e-01,9.009500000000000306e-07
1.015605497360229492e+01,3.720909999999999940e+00,2.692330000000000157e-04
1.032764005661010742e+01,4.000489999999999879e-01,1.002409999999999988e-06
1.048448085784912109e+01,3.841009999999999813e+00,2.916470000000000217e-04
1.064013051986694336e+01,4.000159999999999827e-01,1.079640000000000051e-06
1.079681944847106934e+01,3.960980000000000167e+00,3.204430000000000082e-04
1.095426726341247559e+01,4.000330000000000275e-01,1.019780000000000043e-06
1.112525916099548340e+01,4.080949999999999633e+00,3.446790000000000249e-04
1.128090524673461914e+01,4.000429999999999819e-01,1.023070000000000015e-06
1.143813991546630859e+01,4.200969999999999871e+00,3.826580000000000216e-04
1.159490537643432617e+01,4.000299999999999967e-01,1.094340000000000097e-06
1.175493860244750977e+01,4.320800000000000196e+00,4.157270000000000128e-04
1.192984008789062500e+01,4.000409999999999799e-01,9.981540000000000321e-07
1.208592867851257324e+01,4.440850000000000186e+00,4.503749999999999832e-04
1.225936055183410645e+01,4.000070000000000014e-01,9.473909999999999897e-07
1.241607141494750977e+01,4.561259999999999870e+00,4.739969999999999817e-04
1.258729553222656250e+01,4.000259999999999927e-01,9.327090000000000174e-07
1.274492383003234863e+01,4.681099999999999817e+00,5.203270000000000074e-04
1.291928672790527344e+01,4.000290000000000235e-01,1.000440000000000030e-06
1.308795881271362305e+01,4.801230000000000331e+00,5.619750000000000396e-04
1.325838541984558105e+01,4.000340000000000007e-01,1.030569999999999943e-06
1.344604134559631348e+01,4.921359999999999957e+00,6.087259999999999720e-04
1.360561227798461914e+01,4.000230000000000175e-01,9.580950000000000570e-07
1.379411363601684570e+01,5.041400000000000325e+00,6.472119999999999826e-04
1.396903204917907715e+01,4.000330000000000275e-01,9.644780000000000685e-07
1.412335443496704102e+01,5.161069999999999602e+00,6.986989999999999998e-04
1.429668402671813965e+01,4.000110000000000054e-01,1.058190000000000028e-06
1.445423793792724609e+01,5.281220000000000248e+00,7.376600000000000084e-04
1.461079764366149902e+01,4.000290000000000235e-01,9.359190000000000045e-07
1.476918244361877441e+01,5.401539999999999786e+00,7.743090000000000432e-04
1.493955492973327637e+01,3.999949999999999894e-01,7.772180000000000183e-07
1.509657573699951172e+01,5.521539999999999893e+00,8.099799999999999665e-04
1.528399181365966797e+01,4.000079999999999747e-01,8.834090000000000194e-07
1.543780493736267090e+01,5.641589999999999883e+00,8.619429999999999974e-04
1.560821247100830078e+01,4.000219999999999887e-01,8.585350000000000310e-07
1.576521849632263184e+01,5.761529999999999596e+00,9.024550000000000323e-04
1.593575382232666016e+01,4.000029999999999974e-01,8.371810000000000107e-07
1.609264516830444336e+01,5.881639999999999979e+00,9.397879999999999949e-04
