# Tue Sep  5 19:18:36 2023
#  Tiempo [s], Voltaje [V], Corriente [A]
#   pw=0, T = 0, nplc=0.5
1.999616622924804688e-03,4.000489999999999879e-01,4.406150000000000051e-07
4.297542572021484375e-02,-1.242159999999999979e-05,7.851720000000000055e-10
1.417458057403564453e-01,4.000349999999999739e-01,4.286779999999999956e-07
1.607332229614257812e-01,1.199920000000000014e-01,4.926200000000000132e-08
2.367568016052246094e-01,4.000310000000000255e-01,4.364920000000000151e-07
2.617659568786621094e-01,2.400110000000000021e-01,1.644640000000000094e-07
2.798354625701904297e-01,4.000440000000000107e-01,4.438819999999999774e-07
2.991428375244140625e-01,3.600229999999999819e-01,3.497549999999999975e-07
3.176932334899902344e-01,4.000420000000000087e-01,4.452030000000000195e-07
3.377935886383056641e-01,4.800459999999999727e-01,6.774879999999999584e-07
3.547868728637695312e-01,4.000380000000000047e-01,4.444399999999999748e-07
3.740785121917724609e-01,6.000739999999999963e-01,1.156600000000000073e-06
4.008855819702148438e-01,4.000360000000000027e-01,4.517640000000000211e-07
4.284765720367431641e-01,7.200649999999999551e-01,1.830950000000000020e-06
4.580969810485839844e-01,4.000429999999999819e-01,4.495689999999999938e-07
4.838511943817138672e-01,8.400619999999999754e-01,2.766820000000000049e-06
5.105876922607421875e-01,4.000440000000000107e-01,4.460810000000000092e-07
5.376200675964355469e-01,9.600760000000000405e-01,3.986140000000000091e-06
5.665707588195800781e-01,4.000409999999999799e-01,4.552459999999999990e-07
5.928804874420166016e-01,1.080089999999999995e+00,5.500359999999999630e-06
6.203057765960693359e-01,4.000440000000000107e-01,4.585169999999999758e-07
6.475133895874023438e-01,1.200099999999999945e+00,7.313769999999999772e-06
6.769618988037109375e-01,4.000480000000000147e-01,4.658500000000000058e-07
7.031400203704833984e-01,1.320100000000000051e+00,9.628189999999999714e-06
7.301673889160156250e-01,4.000469999999999859e-01,4.625520000000000248e-07
1.159924268722534180e+00,1.440029999999999921e+00,1.214690000000000054e-05
1.303843021392822266e+00,4.000460000000000127e-01,4.637440000000000000e-07
1.345818758010864258e+00,1.560019999999999962e+00,1.536009999999999885e-05
