Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1e-06,
Record Length,10000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH2
-2.4190e-03,0.03,0.14
-2.4180e-03,0.01,0.14
-2.4170e-03,0.03,0.12
-2.4160e-03,0.01,0.14
-2.4150e-03,0.01,0.12
-2.4140e-03,0.03,0.12
-2.4130e-03,-0.01,0.1
-2.4120e-03,0.03,0.12
-2.4110e-03,0.03,0.14
-2.4100e-03,-0.01,0.1
-2.4090e-03,0.01,0.1
-2.4080e-03,-0.03,0.08
-2.4070e-03,0.01,0.12
-2.4060e-03,0.01,0.14
-2.4050e-03,-0.01,0.14
-2.4040e-03,0.03,0.16
-2.4030e-03,0.01,0.14
-2.4020e-03,0.01,0.1
-2.4010e-03,0.03,0.14
-2.4000e-03,-0.01,0.14
-2.3990e-03,0.01,0.14
-2.3980e-03,0.03,0.14
-2.3970e-03,0.03,0.2
-2.3960e-03,0.05,0.16
-2.3950e-03,0.01,0.14
-2.3940e-03,-0.01,0.12
-2.3930e-03,0.05,0.12
-2.3920e-03,0.01,0.12
-2.3910e-03,0.03,0.16
-2.3900e-03,-0.01,0.12
-2.3890e-03,0.03,0.12
-2.3880e-03,0.01,0.12
-2.3870e-03,-0.01,0.08
-2.3860e-03,0.01,0.14
-2.3850e-03,0.03,0.12
-2.3840e-03,0.03,0.14
-2.3830e-03,0.03,0.1
-2.3820e-03,0.01,0.14
-2.3810e-03,0.03,0.14
-2.3800e-03,-0.01,0.14
-2.3790e-03,0.01,0.1
-2.3780e-03,0.01,0.1
-2.3770e-03,0.03,0.08
-2.3760e-03,0.01,0.14
-2.3750e-03,0.01,0.08
-2.3740e-03,0.01,0.1
-2.3730e-03,-0.03,0.1
-2.3720e-03,0.01,0.12
-2.3710e-03,0.01,0.14
-2.3700e-03,0.01,0.12
-2.3690e-03,0.03,0.14
-2.3680e-03,0.07,0.08
-2.3670e-03,0.03,0.16
-2.3660e-03,0.01,0.12
-2.3650e-03,-0.01,0.1
-2.3640e-03,0.01,0.12
-2.3630e-03,-0.03,0.12
-2.3620e-03,0.03,0.14
-2.3610e-03,0.01,0.14
-2.3600e-03,0.01,0.14
-2.3590e-03,0.03,0.12
-2.3580e-03,-0.01,0.12
-2.3570e-03,0.03,0.1
-2.3560e-03,-0.01,0.12
-2.3550e-03,-0.01,0.12
-2.3540e-03,0.01,0.12
-2.3530e-03,0.03,0.1
-2.3520e-03,0.03,0.12
-2.3510e-03,-0.01,0.08
-2.3500e-03,0.01,0.1
-2.3490e-03,-0.01,0.16
-2.3480e-03,0.03,0.08
-2.3470e-03,0.03,0.12
-2.3460e-03,0.01,0.14
-2.3450e-03,-0.01,0.12
-2.3440e-03,0.03,0.14
-2.3430e-03,-0.03,0.1
-2.3420e-03,0.01,0.02
-2.3410e-03,0.01,0.14
-2.3400e-03,-0.05,0.14
-2.3390e-03,0.01,0.1
-2.3380e-03,0.03,0.1
-2.3370e-03,-0.01,0.1
-2.3360e-03,0.01,0.12
-2.3350e-03,0.03,0.16
-2.3340e-03,0.01,0.16
-2.3330e-03,0.03,0.1
-2.3320e-03,-0.01,0.16
-2.3310e-03,0.01,0.14
-2.3300e-03,-0.01,0.14
-2.3290e-03,-0.01,0.12
-2.3280e-03,0.01,0.06
-2.3270e-03,0.03,0.14
-2.3260e-03,0.03,0.1
-2.3250e-03,0.01,0.14
-2.3240e-03,0.03,0.14
-2.3230e-03,0.01,0.12
-2.3220e-03,-0.01,0.14
-2.3210e-03,0.01,0.12
-2.3200e-03,0.03,0.16
-2.3190e-03,0.01,0.1
-2.3180e-03,-0.01,0.12
-2.3170e-03,0.03,0.16
-2.3160e-03,-0.01,0.12
-2.3150e-03,0.03,0.12
-2.3140e-03,0.01,0.16
-2.3130e-03,0.01,0.08
-2.3120e-03,0.03,0.12
-2.3110e-03,0.03,0.1
-2.3100e-03,-0.01,0.12
-2.3090e-03,0.01,0.1
-2.3080e-03,0.01,0.12
-2.3070e-03,0.01,0.12
-2.3060e-03,-0.03,0.12
-2.3050e-03,-0.01,0.1
-2.3040e-03,0.01,0.12
-2.3030e-03,0.01,0.1
-2.3020e-03,-0.01,0.1
-2.3010e-03,0.01,0.14
-2.3000e-03,0.01,0.12
-2.2990e-03,-0.01,0.12
-2.2980e-03,0.01,0.14
-2.2970e-03,0.03,0.1
-2.2960e-03,0.01,0.12
-2.2950e-03,0.03,0.12
-2.2940e-03,0.01,0.14
-2.2930e-03,0.03,0.1
-2.2920e-03,0.01,0.12
-2.2910e-03,0.01,0.06
-2.2900e-03,0.03,0.08
-2.2890e-03,0.03,0.14
-2.2880e-03,0.03,0.14
-2.2870e-03,0.01,0.1
-2.2860e-03,0.01,0.12
-2.2850e-03,0.01,0.14
-2.2840e-03,0.03,0.1
-2.2830e-03,0.01,0.14
-2.2820e-03,0.03,0.1
-2.2810e-03,0.01,0.1
-2.2800e-03,-0.01,0.04
-2.2790e-03,0.01,0.14
-2.2780e-03,0.03,0.12
-2.2770e-03,0.03,0.12
-2.2760e-03,-0.01,0.08
-2.2750e-03,-0.01,0.1
-2.2740e-03,-0.03,0.1
-2.2730e-03,0.01,0.14
-2.2720e-03,0.03,0.1
-2.2710e-03,0.01,0.12
-2.2700e-03,-0.01,0.12
-2.2690e-03,-0.01,0.1
-2.2680e-03,0.03,0.1
-2.2670e-03,0.01,0.12
-2.2660e-03,-0.01,0.12
-2.2650e-03,0.01,0.16
-2.2640e-03,0.01,0.12
-2.2630e-03,0.01,0.1
-2.2620e-03,0.03,0.08
-2.2610e-03,0.01,0.12
-2.2600e-03,-0.01,0.14
-2.2590e-03,0.03,0.1
-2.2580e-03,0.01,0.12
-2.2570e-03,0.03,0.12
-2.2560e-03,0.03,0.1
-2.2550e-03,-0.03,0.08
-2.2540e-03,0.03,0.12
-2.2530e-03,0.03,0.12
-2.2520e-03,0.01,0.08
-2.2510e-03,0.01,0.12
-2.2500e-03,0.01,0.12
-2.2490e-03,-0.03,0.06
-2.2480e-03,0.03,0.12
-2.2470e-03,0.01,0.14
-2.2460e-03,0.01,0.12
-2.2450e-03,0.03,0.06
-2.2440e-03,0.01,0.12
-2.2430e-03,0.01,0.1
-2.2420e-03,0.01,0.12
-2.2410e-03,-0.03,0.14
-2.2400e-03,-0.03,0.1
-2.2390e-03,0.03,0.14
-2.2380e-03,0.01,0.12
-2.2370e-03,0.01,0.12
-2.2360e-03,0.03,0.1
-2.2350e-03,0.03,0.08
-2.2340e-03,-0.01,0.12
-2.2330e-03,-0.01,0.12
-2.2320e-03,-0.01,0.14
-2.2310e-03,-0.01,0.1
-2.2300e-03,0.01,0.1
-2.2290e-03,0.07,0.12
-2.2280e-03,0.01,0.08
-2.2270e-03,-0.03,0.06
-2.2260e-03,0.01,0.1
-2.2250e-03,-0.01,0.1
-2.2240e-03,0.01,0.12
-2.2230e-03,-0.01,0.1
