Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,2e-06,
Record Length,10000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,,
TIME,CH1,CH2
-1.8200e-03,0.04,0.08
-1.8180e-03,0.16,0
-1.8160e-03,0.08,0
-1.8140e-03,0.04,0.08
-1.8120e-03,0.12,0
-1.8100e-03,0.04,0.08
-1.8080e-03,0.04,0.04
-1.8060e-03,0.04,0.04
-1.8040e-03,0,0.04
-1.8020e-03,0.04,0
-1.8000e-03,0.08,0.12
-1.7980e-03,0.08,0.08
-1.7960e-03,0.08,0
-1.7940e-03,0.08,0.04
-1.7920e-03,0.08,0
-1.7900e-03,0.04,0
-1.7880e-03,0.08,0.04
-1.7860e-03,0,0.04
-1.7840e-03,0.12,0.04
-1.7820e-03,0.12,-0.04
-1.7800e-03,0.04,0.04
-1.7780e-03,0.04,0.04
-1.7760e-03,-0.04,0.08
-1.7740e-03,0.08,0
-1.7720e-03,0.08,0.08
-1.7700e-03,0.08,-0.04
-1.7680e-03,0,0.08
-1.7660e-03,0.12,0.04
-1.7640e-03,0.08,0.04
-1.7620e-03,0.08,0
-1.7600e-03,0,0.12
-1.7580e-03,0.08,0
-1.7560e-03,0.08,0.08
-1.7540e-03,0.04,0.08
-1.7520e-03,0.16,0.04
-1.7500e-03,0.12,-0.04
-1.7480e-03,0.08,0.08
-1.7460e-03,0.08,0.08
-1.7440e-03,0.04,0.04
-1.7420e-03,0.08,0.04
-1.7400e-03,0.04,0.04
-1.7380e-03,0.12,0.04
-1.7360e-03,0.04,0
-1.7340e-03,0,0
-1.7320e-03,0.04,0.08
-1.7300e-03,0,0.12
-1.7280e-03,0,0.04
-1.7260e-03,0.08,0
-1.7240e-03,0.08,0.08
-1.7220e-03,0.04,0
-1.7200e-03,0.12,0
-1.7180e-03,0.04,0
-1.7160e-03,0.08,0.04
-1.7140e-03,0.08,0.04
-1.7120e-03,0.04,0.04
-1.7100e-03,0.08,0.08
-1.7080e-03,0.04,0
-1.7060e-03,0.08,0.08
-1.7040e-03,0,0
-1.7020e-03,0.08,0
-1.7000e-03,0.12,0
-1.6980e-03,0.08,0.04
-1.6960e-03,0.08,0.08
-1.6940e-03,0.12,0.08
-1.6920e-03,0.08,0.08
-1.6900e-03,0.08,0.04
-1.6880e-03,0.08,0.08
-1.6860e-03,0.04,0.16
-1.6840e-03,0.16,0.08
-1.6820e-03,0,0.04
-1.6800e-03,0,0.04
-1.6780e-03,0.08,0.04
-1.6760e-03,0.04,0.04
-1.6740e-03,0,0.04
-1.6720e-03,0,0
-1.6700e-03,0.04,0.04
-1.6680e-03,0.08,0
-1.6660e-03,0.08,0.04
-1.6640e-03,0.08,0.04
-1.6620e-03,0.04,0.08
-1.6600e-03,0.12,0.04
-1.6580e-03,0.2,0
-1.6560e-03,0.08,0
-1.6540e-03,0.04,0.04
-1.6520e-03,0.04,0
-1.6500e-03,0.04,0
-1.6480e-03,0.04,0.08
-1.6460e-03,0.04,0.04
-1.6440e-03,0,0.08
-1.6420e-03,0,0
-1.6400e-03,0.12,0.08
-1.6380e-03,0.08,0.04
-1.6360e-03,0.04,0.08
-1.6340e-03,0,0.08
-1.6320e-03,0.08,0.04
-1.6300e-03,0,0.04
-1.6280e-03,0,0.04
-1.6260e-03,0.08,0.12
-1.6240e-03,0.08,0.04
-1.6220e-03,0.08,0.04
-1.6200e-03,0.04,0.04
-1.6180e-03,0.08,0.08
-1.6160e-03,0.04,0.08
-1.6140e-03,-0.04,0
-1.6120e-03,0,0.08
-1.6100e-03,0.08,-0.04
-1.6080e-03,0.08,0.04
-1.6060e-03,0.04,0
-1.6040e-03,0.12,0
-1.6020e-03,0,0
-1.6000e-03,0,-0.04
-1.5980e-03,0.08,0
-1.5960e-03,0.08,0.04
-1.5940e-03,0.04,0.04
-1.5920e-03,0.08,0.04
-1.5900e-03,0,0.12
-1.5880e-03,0.12,0.04
-1.5860e-03,0.08,0
-1.5840e-03,0.08,0
-1.5820e-03,0.08,0.08
-1.5800e-03,0.08,0.04
-1.5780e-03,0.08,-0.04
-1.5760e-03,0.12,0
-1.5740e-03,0.04,0.04
-1.5720e-03,0.08,0
-1.5700e-03,0.04,0.08
-1.5680e-03,0,0.04
-1.5660e-03,0.08,0.04
-1.5640e-03,0.08,0
-1.5620e-03,0.08,0
-1.5600e-03,0.08,0.08
-1.5580e-03,0.12,0.08
-1.5560e-03,0.08,0.08
-1.5540e-03,0,-0.04
-1.5520e-03,0.08,0.04
-1.5500e-03,0.08,0.08
-1.5480e-03,0.04,0.08
-1.5460e-03,0.08,0.04
-1.5440e-03,0.12,0.08
-1.5420e-03,0.08,0.08
-1.5400e-03,0,0
-1.5380e-03,0.04,-0.04
-1.5360e-03,0.04,0.04
-1.5340e-03,0.08,-0.04
-1.5320e-03,0.08,0.04
-1.5300e-03,0.04,0.04
-1.5280e-03,0.04,0.04
-1.5260e-03,0.08,0.16
-1.5240e-03,0,0
-1.5220e-03,0.04,0.08
-1.5200e-03,0.04,0.08
-1.5180e-03,0.08,0
-1.5160e-03,0.12,0.04
-1.5140e-03,0.04,0.04
-1.5120e-03,0.04,0.08
-1.5100e-03,0.04,0.04
-1.5080e-03,0,0
-1.5060e-03,0.08,0
-1.5040e-03,0.04,0.08
-1.5020e-03,0,0.08
-1.5000e-03,0.04,0.04
-1.4980e-03,0.04,0.12
-1.4960e-03,0.08,0
-1.4940e-03,0,0.08
-1.4920e-03,0.04,-0.04
-1.4900e-03,0.04,0.04
-1.4880e-03,0.04,0
-1.4860e-03,-0.04,0.04
-1.4840e-03,0,0.08
-1.4820e-03,0.08,0
-1.4800e-03,0.08,0.08
-1.4780e-03,0.08,0.08
-1.4760e-03,0.04,0
-1.4740e-03,0,0.04
-1.4720e-03,0.08,0
-1.4700e-03,0.04,0.08
-1.4680e-03,0.04,0.04
-1.4660e-03,0.12,0.04
-1.4640e-03,0,0.04
-1.4620e-03,0.04,0.12
-1.4600e-03,0.12,0.08
-1.4580e-03,0.04,0.04
-1.4560e-03,0.04,0.04
-1.4540e-03,0.12,0
-1.4520e-03,0.04,0.08
-1.4500e-03,0,0.08
-1.4480e-03,0.04,0.04
-1.4460e-03,0.08,0.04
-1.4440e-03,0.08,0
-1.4420e-03,0.08,0.04
-1.4400e-03,0.08,0.08
-1.4380e-03,0.12,0.08
-1.4360e-03,0.16,0.04
-1.4340e-03,0.12,0.08
-1.4320e-03,0.04,0.04
-1.4300e-03,0.08,0.04
-1.4280e-03,0.08,0.04
-1.4260e-03,0.08,0
-1.4240e-03,0,0.04
-1.4220e-03,0.08,0.12
-1.4200e-03,0,0
-1.4180e-03,0.08,0
-1.4160e-03,0.04,0.08
-1.4140e-03,0.04,0.08
-1.4120e-03,0.04,0.04
-1.4100e-03,-0.04,-0.04
-1.4080e-03,0.08,0
-1.4060e-03,0,0
-1.4040e-03,0,0.04
-1.4020e-03,0.08,0.04
-1.4000e-03,0.08,0.12
-1.3980e-03,0.08,0.04
-1.3960e-03,0.08,0.04
-1.3940e-03,0.04,0.04
-1.3920e-03,0.04,0
-1.3900e-03,0,0.04
-1.3880e-03,0.08,0.04
-1.3860e-03,0,-0.04
-1.3840e-03,0.04,-0.04
-1.3820e-03,0.12,0
-1.3800e-03,0.08,0.04
-1.3780e-03,0.04,0.08
