# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,6.288850000000000364e+03,1.034780000000000033e+00
2.037209999999999965e+01,5.958770000000000437e+03,1.109240000000000004e+00
2.075120000000000076e+01,5.835560000000000400e+03,1.042019999999999946e+00
2.114020000000000010e+01,5.851119999999999891e+03,8.741470000000000073e-01
2.153320000000000078e+01,5.583260000000000218e+03,1.046079999999999899e+00
2.193299999999999983e+01,5.475140000000000327e+03,6.419019999999999726e-01
2.234140000000000015e+01,5.475010000000000218e+03,9.827019999999999644e-01
2.275829999999999842e+01,5.337829999999999927e+03,9.170040000000000413e-01
2.318029999999999902e+01,5.291789999999999964e+03,1.061460000000000070e+00
2.361280000000000001e+01,5.167909999999999854e+03,1.195410000000000084e+00
2.405000000000000071e+01,5.266920000000000073e+03,1.022590000000000110e+00
2.449980000000000047e+01,5.092260000000000218e+03,5.931370000000000253e-01
2.495429999999999993e+01,5.135159999999999854e+03,5.498990000000000267e-01
2.541939999999999955e+01,5.119539999999999964e+03,4.686690000000000023e-01
2.589110000000000156e+01,4.991220000000000255e+03,9.164419999999999789e-01
2.637590000000000146e+01,5.063260000000000218e+03,5.738180000000000502e-01
2.686730000000000018e+01,5.069199999999999818e+03,8.870700000000000252e-01
2.736730000000000018e+01,5.040479999999999563e+03,7.517200000000000548e-01
2.787330000000000041e+01,4.876869999999999891e+03,5.361470000000000402e-01
2.839560000000000173e+01,4.829390000000000327e+03,7.073469999999999480e-01
2.892119999999999891e+01,4.819229999999999563e+03,5.649800000000000377e-01
2.946379999999999910e+01,4.831470000000000255e+03,5.309639999999999915e-01
3.000600000000000023e+01,4.865079999999999927e+03,9.672180000000000222e-01
3.056859999999999999e+01,4.855100000000000364e+03,8.024959999999999871e-01
3.113329999999999842e+01,4.860779999999999745e+03,8.390800000000000480e-01
3.171249999999999858e+01,4.819439999999999600e+03,8.208630000000000093e-01
3.230319999999999681e+01,4.784010000000000218e+03,6.191659999999999942e-01
3.290919999999999845e+01,4.704119999999999891e+03,6.349930000000000296e-01
3.352329999999999899e+01,4.713729999999999563e+03,6.961979999999999835e-01
3.414130000000000109e+01,4.728100000000000364e+03,5.367389999999999661e-01
3.478260000000000218e+01,4.705060000000000400e+03,5.158099999999999907e-01
3.542329999999999757e+01,4.714210000000000036e+03,9.285959999999999770e-01
3.608809999999999718e+01,4.682289999999999964e+03,4.681750000000000078e-01
