# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,2.145760000000000218e+03,8.984469999999999956e-01
2.037209999999999965e+01,1.928630000000000109e+03,1.267959999999999976e+00
2.075120000000000076e+01,1.798819999999999936e+03,1.336759999999999948e+00
2.114020000000000010e+01,1.753220000000000027e+03,9.928559999999999608e-01
2.153320000000000078e+01,1.771740000000000009e+03,1.430940000000000101e+00
2.193299999999999983e+01,1.760650000000000091e+03,9.432300000000000129e-01
2.234140000000000015e+01,1.728269999999999982e+03,9.365890000000000049e-01
2.275829999999999842e+01,1.719299999999999955e+03,6.046380000000000088e-01
2.318029999999999902e+01,1.688309999999999945e+03,9.027870000000000061e-01
2.361280000000000001e+01,1.691369999999999891e+03,6.960319999999999840e-01
2.405000000000000071e+01,1.649980000000000018e+03,1.052799999999999958e+00
2.449980000000000047e+01,1.644000000000000000e+03,6.207890000000000352e-01
2.495429999999999993e+01,1.626390000000000100e+03,6.540580000000000283e-01
2.541939999999999955e+01,1.613569999999999936e+03,9.482909999999999950e-01
2.589110000000000156e+01,1.614019999999999982e+03,8.681349999999999900e-01
2.637590000000000146e+01,1.599039999999999964e+03,7.150379999999999514e-01
2.686730000000000018e+01,1.597150000000000091e+03,8.475890000000000368e-01
2.736730000000000018e+01,1.598369999999999891e+03,6.840450000000000141e-01
2.787330000000000041e+01,1.598200000000000045e+03,9.286360000000000170e-01
2.839560000000000173e+01,1.570859999999999900e+03,7.378289999999999571e-01
2.892119999999999891e+01,1.554910000000000082e+03,7.638289999999999802e-01
2.946379999999999910e+01,1.550390000000000100e+03,8.824279999999999902e-01
3.000600000000000023e+01,1.551059999999999945e+03,8.898810000000000331e-01
3.056859999999999999e+01,1.529509999999999991e+03,1.021390000000000020e+00
3.113329999999999842e+01,1.523650000000000091e+03,5.904880000000000129e-01
3.171249999999999858e+01,1.506750000000000000e+03,7.464610000000000412e-01
3.230319999999999681e+01,1.492349999999999909e+03,6.476220000000000310e-01
3.290919999999999845e+01,1.495099999999999909e+03,8.124679999999999680e-01
3.352329999999999899e+01,1.498230000000000018e+03,8.129779999999999784e-01
3.414130000000000109e+01,1.494210000000000036e+03,6.316629999999999745e-01
3.478260000000000218e+01,1.481250000000000000e+03,5.375469999999999970e-01
3.542329999999999757e+01,1.476170000000000073e+03,7.685279999999999889e-01
3.608809999999999718e+01,1.472779999999999973e+03,5.631249999999999867e-01
3.676019999999999754e+01,1.464779999999999973e+03,7.745239999999999903e-01
3.743919999999999959e+01,1.463329999999999927e+03,7.583440000000000181e-01
3.814370000000000260e+01,1.466710000000000036e+03,8.690130000000000354e-01
3.884499999999999886e+01,1.455799999999999955e+03,6.956609999999999738e-01
3.956739999999999924e+01,1.439970000000000027e+03,6.853310000000000235e-01
4.030630000000000024e+01,1.434329999999999927e+03,5.314689999999999692e-01
4.105649999999999977e+01,1.440109999999999900e+03,7.152699999999999614e-01
4.182350000000000279e+01,1.433190000000000055e+03,7.503090000000000037e-01
4.260150000000000148e+01,1.424509999999999991e+03,6.943920000000000092e-01
4.339020000000000010e+01,1.424910000000000082e+03,6.422409999999999508e-01
4.420219999999999771e+01,1.415279999999999973e+03,5.536919999999999620e-01
4.501800000000000068e+01,1.422430000000000064e+03,6.180510000000000170e-01
4.586449999999999960e+01,1.423039999999999964e+03,5.657569999999999544e-01
4.671439999999999770e+01,1.427859999999999900e+03,6.825280000000000236e-01
4.758129999999999882e+01,1.420319999999999936e+03,6.579049999999999621e-01
4.846529999999999916e+01,1.430099999999999909e+03,6.867579999999999796e-01
4.936650000000000205e+01,1.411490000000000009e+03,5.845150000000000068e-01
5.029339999999999833e+01,1.400740000000000009e+03,6.380259999999999820e-01
5.122950000000000159e+01,1.406880000000000109e+03,5.518570000000000420e-01
5.218299999999999983e+01,1.390349999999999909e+03,6.503809999999999869e-01
5.314439999999999742e+01,1.400160000000000082e+03,6.153769999999999518e-01
5.415160000000000196e+01,1.387769999999999982e+03,6.855259999999999687e-01
5.514710000000000178e+01,1.385890000000000100e+03,7.004510000000000458e-01
