# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,5.984930000000000291e+03,7.611240000000000228e-01
2.037209999999999965e+01,4.742489999999999782e+03,-8.653140000000000276e-01
2.075120000000000076e+01,4.095070000000000164e+03,-2.107420000000000126e-01
2.114020000000000010e+01,3.628900000000000091e+03,2.102719999999999936e-02
2.153320000000000078e+01,3.224650000000000091e+03,1.736600000000000088e-01
2.193299999999999983e+01,3.095250000000000000e+03,-6.414029999999999454e-01
2.234140000000000015e+01,2.914900000000000091e+03,2.514610000000000022e-03
2.275829999999999842e+01,2.806719999999999800e+03,5.635459999999999775e-02
2.318029999999999902e+01,2.720159999999999854e+03,-1.759560000000000013e-01
2.361280000000000001e+01,2.657699999999999818e+03,-3.122360000000000135e-01
2.405000000000000071e+01,2.561769999999999982e+03,-1.063680000000000042e-01
2.449980000000000047e+01,2.543320000000000164e+03,5.339150000000000285e-01
2.495429999999999993e+01,2.441039999999999964e+03,3.608219999999999761e-01
2.541939999999999955e+01,2.350320000000000164e+03,1.302010000000000112e-01
2.589110000000000156e+01,2.400809999999999945e+03,4.275169999999999665e-02
2.637590000000000146e+01,2.353179999999999836e+03,1.324349999999999972e-01
2.686730000000000018e+01,2.312650000000000091e+03,5.857440000000000424e-01
2.736730000000000018e+01,2.298070000000000164e+03,3.093670000000000031e-01
2.787330000000000041e+01,2.246630000000000109e+03,1.241310000000000052e-01
2.839560000000000173e+01,2.236389999999999873e+03,4.452489999999999920e-02
2.892119999999999891e+01,2.222860000000000127e+03,2.328089999999999882e-01
2.946379999999999910e+01,2.195809999999999945e+03,3.544419999999999793e-01
3.000600000000000023e+01,2.147349999999999909e+03,2.736520000000000064e-01
3.056859999999999999e+01,2.151000000000000000e+03,1.812750000000000125e-02
3.113329999999999842e+01,2.162820000000000164e+03,-7.536360000000000281e-02
3.171249999999999858e+01,2.134880000000000109e+03,2.707430000000000114e-01
3.230319999999999681e+01,2.115110000000000127e+03,4.330109999999999792e-01
3.290919999999999845e+01,2.114159999999999854e+03,-5.602159999999999779e-02
3.352329999999999899e+01,2.123039999999999964e+03,9.784679999999999767e-02
3.414130000000000109e+01,2.093730000000000018e+03,1.227499999999999980e-01
3.478260000000000218e+01,2.090480000000000018e+03,1.998020000000000074e-01
3.542329999999999757e+01,2.106510000000000218e+03,-1.601920000000000011e-01
3.608809999999999718e+01,2.076269999999999982e+03,4.248810000000000087e-02
3.676019999999999754e+01,2.077360000000000127e+03,3.955139999999999767e-01
3.743919999999999959e+01,2.087449999999999818e+03,1.052939999999999987e-01
3.814370000000000260e+01,2.093010000000000218e+03,-9.182869999999999922e-02
3.884499999999999886e+01,2.084650000000000091e+03,2.555180000000000229e-01
3.956739999999999924e+01,2.067440000000000055e+03,2.147149999999999892e-01
4.030630000000000024e+01,2.071110000000000127e+03,5.168140000000000234e-02
4.105649999999999977e+01,2.059480000000000018e+03,8.854190000000000671e-02
4.182350000000000279e+01,2.037700000000000045e+03,2.696930000000000160e-01
4.260150000000000148e+01,2.021299999999999955e+03,3.410830000000000251e-01
4.339020000000000010e+01,2.044240000000000009e+03,2.058540000000000092e-01
4.420219999999999771e+01,2.030380000000000109e+03,3.548810000000000020e-01
4.501800000000000068e+01,2.049949999999999818e+03,4.984270000000000089e-01
4.586449999999999960e+01,2.024500000000000000e+03,1.907560000000000089e-01
4.671439999999999770e+01,2.021470000000000027e+03,2.337269999999999903e-01
4.758129999999999882e+01,2.021539999999999964e+03,2.705400000000000027e-01
4.846529999999999916e+01,2.021130000000000109e+03,3.159600000000000186e-01
4.936650000000000205e+01,2.023170000000000073e+03,3.433370000000000033e-01
5.029339999999999833e+01,2.001819999999999936e+03,3.406440000000000023e-01
5.122950000000000159e+01,1.991349999999999909e+03,4.919049999999999812e-01
5.218299999999999983e+01,1.973599999999999909e+03,2.306989999999999874e-01
5.314439999999999742e+01,1.965950000000000045e+03,1.308600000000000041e-01
5.415160000000000196e+01,1.971650000000000091e+03,2.109459999999999946e-01
5.514710000000000178e+01,1.992210000000000036e+03,3.438700000000000090e-01
5.616929999999999978e+01,1.970759999999999991e+03,2.953459999999999974e-01
5.721920000000000073e+01,1.970799999999999955e+03,3.578749999999999987e-01
5.828640000000000043e+01,1.987009999999999991e+03,3.935429999999999762e-01
5.938239999999999696e+01,1.972839999999999918e+03,2.563349999999999795e-01
6.048389999999999844e+01,1.992130000000000109e+03,2.138469999999999954e-02
6.161430000000000007e+01,1.993690000000000055e+03,3.328780000000000072e-01
6.274839999999999662e+01,1.987690000000000055e+03,2.749630000000000130e-01
6.391140000000000043e+01,1.971650000000000091e+03,3.069470000000000254e-01
6.510420000000000584e+01,1.956109999999999900e+03,3.117369999999999863e-01
6.632769999999999300e+01,1.947480000000000018e+03,1.755859999999999921e-01
6.755240000000000578e+01,1.958089999999999918e+03,1.017369999999999941e-01
6.880729999999999791e+01,1.962470000000000027e+03,3.767570000000000086e-01
7.007710000000000150e+01,1.930859999999999900e+03,1.719620000000000037e-01
7.141160000000000707e+01,1.939240000000000009e+03,1.717930000000000013e-01
7.272729999999999961e+01,1.940160000000000082e+03,2.240189999999999959e-01
7.407410000000000139e+01,1.948710000000000036e+03,5.908919999999999728e-01
7.547169999999999845e+01,1.925150000000000091e+03,2.553449999999999886e-01
7.688370000000000459e+01,1.924329999999999927e+03,3.204319999999999946e-01
7.828810000000000002e+01,1.958890000000000100e+03,2.516619999999999968e-01
7.976600000000000534e+01,1.956230000000000018e+03,3.621139999999999914e-01
8.125679999999999836e+01,1.950779999999999973e+03,3.674870000000000081e-01
8.275860000000000127e+01,1.938000000000000000e+03,2.191529999999999867e-01
8.429330000000000211e+01,1.940299999999999955e+03,2.648499999999999743e-01
8.586150000000000659e+01,1.940930000000000064e+03,2.161180000000000045e-01
8.743810000000000571e+01,1.938670000000000073e+03,2.645939999999999959e-01
8.910009999999999764e+01,1.932470000000000027e+03,4.559469999999999912e-01
9.074410000000000309e+01,1.922319999999999936e+03,4.457840000000000136e-01
9.242140000000000555e+01,1.928190000000000055e+03,1.106670000000000015e-01
9.413240000000000407e+01,1.936390000000000100e+03,4.534790000000000210e-01
9.587730000000000530e+01,1.919829999999999927e+03,9.308120000000000283e-02
9.768800000000000239e+01,1.908059999999999945e+03,7.600200000000000011e-02
9.950249999999999773e+01,1.905220000000000027e+03,2.188450000000000117e-01
1.013509999999999991e+02,1.912410000000000082e+03,1.857999999999999929e-01
1.032699999999999960e+02,1.910450000000000045e+03,3.569629999999999748e-01
1.051520000000000010e+02,1.915380000000000109e+03,1.922599999999999865e-01
1.071430000000000007e+02,1.878089999999999918e+03,2.584380000000000011e-01
