# Frecuencia [Hz], Z [Ohm], Fase [°]
9.950249999999999773e+01,1.244050000000000000e+06,-1.961779999999999902e+01
1.013509999999999991e+02,1.530150000000000000e+06,-1.565249999999999986e+01
1.032699999999999960e+02,1.586420000000000000e+06,-1.961680000000000135e+01
1.051520000000000010e+02,1.569630000000000000e+06,-1.968509999999999849e+01
1.071430000000000007e+02,1.637060000000000000e+06,-2.111570000000000036e+01
1.091310000000000002e+02,1.529350000000000000e+06,-2.125250000000000128e+01
1.111520000000000010e+02,1.563090000000000000e+06,-1.896740000000000137e+01
1.132500000000000000e+02,1.643240000000000000e+06,-2.095390000000000086e+01
1.153400000000000034e+02,1.556650000000000000e+06,-2.173570000000000135e+01
1.175090000000000003e+02,1.491040000000000000e+06,-2.176020000000000110e+01
1.197129999999999939e+02,1.531510000000000000e+06,-2.284329999999999927e+01
1.218520000000000039e+02,1.599340000000000000e+06,-2.180559999999999832e+01
1.241719999999999970e+02,1.549960000000000000e+06,-2.230519999999999925e+01
1.265289999999999964e+02,1.562890000000000000e+06,-2.390380000000000038e+01
1.288660000000000139e+02,1.648140000000000000e+06,-2.321920000000000073e+01
1.311759999999999877e+02,1.548670000000000000e+06,-2.265309999999999846e+01
1.336299999999999955e+02,1.621690000000000000e+06,-2.181919999999999860e+01
1.361160000000000139e+02,1.622250000000000000e+06,-2.262480000000000047e+01
1.386959999999999980e+02,1.616210000000000000e+06,-2.442680000000000007e+01
1.413089999999999975e+02,1.652640000000000000e+06,-2.507349999999999923e+01
1.439540000000000077e+02,1.571140000000000000e+06,-2.425550000000000139e+01
1.466279999999999859e+02,1.613780000000000000e+06,-2.768080000000000140e+01
1.493280000000000030e+02,1.568560000000000000e+06,-2.633810000000000073e+01
1.521299999999999955e+02,1.677420000000000000e+06,-2.731350000000000122e+01
1.549590000000000032e+02,1.636940000000000000e+06,-2.751089999999999947e+01
1.578950000000000102e+02,1.643540000000000000e+06,-2.773529999999999873e+01
1.607719999999999914e+02,1.573560000000000000e+06,-2.849030000000000129e+01
1.636659999999999968e+02,1.643890000000000000e+06,-2.699840000000000018e+01
1.667589999999999861e+02,1.579460000000000000e+06,-2.869249999999999901e+01
1.698750000000000000e+02,1.653840000000000000e+06,-2.921379999999999910e+01
1.730099999999999909e+02,1.646650000000000000e+06,-2.914780000000000015e+01
1.762630000000000052e+02,1.603980000000000000e+06,-2.912109999999999843e+01
1.795329999999999870e+02,1.727540000000000000e+06,-3.189560000000000173e+01
1.828149999999999977e+02,1.662580000000000000e+06,-3.345450000000000301e+01
1.863350000000000080e+02,1.695480000000000000e+06,-3.313980000000000103e+01
1.897529999999999859e+02,1.612630000000000000e+06,-3.209490000000000265e+01
1.934240000000000066e+02,1.658470000000000000e+06,-2.891410000000000124e+01
1.968499999999999943e+02,1.639820000000000000e+06,-3.370259999999999678e+01
2.006690000000000111e+02,1.545170000000000000e+06,-3.132079999999999842e+01
2.043600000000000136e+02,1.525780000000000000e+06,-3.273960000000000292e+01
2.080440000000000111e+02,1.547700000000000000e+06,-3.155460000000000065e+01
2.118640000000000043e+02,1.499520000000000000e+06,-3.174569999999999936e+01
2.158269999999999982e+02,1.461480000000000000e+06,-3.427859999999999729e+01
2.199410000000000025e+02,1.479990000000000000e+06,-3.277960000000000207e+01
2.242150000000000034e+02,1.435500000000000000e+06,-3.285999999999999943e+01
2.283110000000000070e+02,1.476800000000000000e+06,-3.430749999999999744e+01
2.323779999999999859e+02,1.442360000000000000e+06,-3.423270000000000124e+01
2.369670000000000130e+02,1.479480000000000000e+06,-3.709490000000000265e+01
2.413520000000000039e+02,1.413300000000000000e+06,-3.671260000000000190e+01
2.456999999999999886e+02,1.481340000000000000e+06,-3.707399999999999807e+01
2.504170000000000016e+02,1.393420000000000000e+06,-3.711509999999999820e+01
2.548849999999999909e+02,1.392580000000000000e+06,-4.016830000000000211e+01
2.597400000000000091e+02,1.480930000000000000e+06,-3.929189999999999827e+01
2.645500000000000114e+02,1.381900000000000000e+06,-4.245210000000000150e+01
