# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,9.033719999999999345e+03,2.727740000000000026e-02
2.037349999999999994e+01,9.039379999999999200e+03,3.487699999999999828e-02
2.075260000000000105e+01,9.042959999999999127e+03,3.743719999999999687e-02
2.114020000000000010e+01,9.041709999999999127e+03,3.537549999999999722e-02
2.153320000000000078e+01,9.040510000000000218e+03,3.688099999999999712e-02
2.193459999999999965e+01,9.046069999999999709e+03,3.365130000000000204e-02
2.234299999999999997e+01,9.050149999999999636e+03,2.597280000000000075e-02
2.275829999999999842e+01,9.050659999999999854e+03,2.717380000000000143e-02
2.318209999999999837e+01,9.053579999999999927e+03,4.403390000000000082e-02
2.361459999999999937e+01,9.053780000000000655e+03,2.955609999999999835e-02
2.405580000000000140e+01,9.049729999999999563e+03,2.511460000000000081e-02
2.450379999999999825e+01,9.054360000000000582e+03,3.034519999999999926e-02
2.496049999999999969e+01,9.056379999999999200e+03,2.691570000000000074e-02
2.542589999999999861e+01,9.056930000000000291e+03,2.962619999999999837e-02
2.589780000000000015e+01,9.056770000000000437e+03,2.742110000000000034e-02
2.638060000000000116e+01,9.059440000000000509e+03,2.445469999999999935e-02
2.687209999999999965e+01,9.055559999999999491e+03,2.935259999999999952e-02
2.737229999999999919e+01,9.055420000000000073e+03,3.086689999999999920e-02
2.788360000000000127e+01,9.059049999999999272e+03,1.860660000000000092e-02
2.840099999999999980e+01,9.057620000000000800e+03,4.192320000000000074e-02
2.893240000000000123e+01,9.058329999999999927e+03,3.245680000000000093e-02
2.946950000000000003e+01,9.062149999999999636e+03,2.827239999999999961e-02
3.001800000000000068e+01,9.063469999999999345e+03,2.501180000000000070e-02
3.057789999999999964e+01,9.057879999999999200e+03,1.790790000000000090e-02
3.114939999999999998e+01,9.060790000000000873e+03,1.891179999999999944e-02
3.172919999999999874e+01,9.061250000000000000e+03,1.817600000000000118e-02
3.232059999999999889e+01,9.062370000000000800e+03,-1.386110000000000076e-03
3.292000000000000171e+01,9.066750000000000000e+03,2.096670000000000131e-02
3.353450000000000131e+01,9.063049999999999272e+03,4.107079999999999759e-02
3.416080000000000183e+01,9.066059999999999491e+03,1.824349999999999930e-02
3.479869999999999663e+01,9.063110000000000582e+03,2.341369999999999910e-02
3.544420000000000215e+01,9.066059999999999491e+03,1.061840000000000006e-02
