# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,2.301509999999999854e+04,3.748340000000000005e-02
2.018570000000000064e+01,2.301359999999999854e+04,3.180859999999999937e-02
2.037209999999999965e+01,2.301100000000000000e+04,3.031439999999999829e-02
2.056200000000000117e+01,2.301600000000000000e+04,3.142369999999999886e-02
2.075120000000000076e+01,2.301290000000000146e+04,3.160290000000000321e-02
2.094529999999999959e+01,2.301709999999999854e+04,3.296330000000000093e-02
2.113870000000000005e+01,2.301600000000000000e+04,3.272429999999999783e-02
2.133409999999999940e+01,2.301609999999999854e+04,3.130689999999999862e-02
2.153160000000000096e+01,2.301570000000000073e+04,2.764859999999999887e-02
2.173130000000000095e+01,2.301640000000000146e+04,3.252920000000000117e-02
2.193299999999999983e+01,2.301629999999999927e+04,2.832619999999999930e-02
2.213530000000000086e+01,2.301479999999999927e+04,3.109709999999999905e-02
2.234140000000000015e+01,2.301559999999999854e+04,3.080919999999999839e-02
2.254789999999999850e+01,2.301200000000000000e+04,2.711809999999999915e-02
2.275659999999999883e+01,2.301529999999999927e+04,2.565800000000000025e-02
2.296740000000000137e+01,2.301120000000000073e+04,2.801400000000000071e-02
2.318029999999999902e+01,2.301290000000000146e+04,2.739429999999999990e-02
2.339549999999999841e+01,2.301359999999999854e+04,2.580330000000000124e-02
2.361090000000000089e+01,2.300990000000000146e+04,2.442880000000000051e-02
2.383030000000000115e+01,2.301240000000000146e+04,2.566610000000000072e-02
2.405000000000000071e+01,2.301079999999999927e+04,2.431840000000000043e-02
2.427380000000000138e+01,2.301900000000000000e+04,2.541809999999999903e-02
2.449780000000000157e+01,2.301500000000000000e+04,2.512110000000000037e-02
2.472599999999999909e+01,2.301150000000000000e+04,2.346169999999999853e-02
2.495429999999999993e+01,2.301509999999999854e+04,2.511860000000000134e-02
2.518469999999999942e+01,2.301059999999999854e+04,2.274040000000000089e-02
2.541939999999999955e+01,2.301759999999999854e+04,2.119230000000000072e-02
2.565419999999999945e+01,2.301070000000000073e+04,2.148330000000000031e-02
2.589110000000000156e+01,2.301420000000000073e+04,2.221410000000000051e-02
2.613009999999999877e+01,2.301490000000000146e+04,1.951490000000000169e-02
2.637359999999999971e+01,2.301350000000000000e+04,2.181369999999999837e-02
2.661929999999999907e+01,2.301579999999999927e+04,2.048900000000000027e-02
2.686489999999999867e+01,2.301550000000000000e+04,1.931750000000000134e-02
2.711250000000000071e+01,2.301090000000000146e+04,2.134199999999999986e-02
2.736479999999999890e+01,2.301109999999999854e+04,1.945490000000000066e-02
2.761919999999999931e+01,2.301329999999999927e+04,1.898379999999999859e-02
2.787330000000000041e+01,2.301470000000000073e+04,2.082060000000000161e-02
2.813200000000000145e+01,2.300920000000000073e+04,1.510360000000000001e-02
2.839300000000000068e+01,2.301100000000000000e+04,2.113759999999999944e-02
2.865599999999999881e+01,2.301059999999999854e+04,1.580799999999999914e-02
2.892119999999999891e+01,2.300859999999999854e+04,1.647559999999999997e-02
2.918860000000000099e+01,2.301250000000000000e+04,1.828909999999999911e-02
2.946089999999999876e+01,2.300750000000000000e+04,1.897160000000000166e-02
2.973239999999999839e+01,2.301020000000000073e+04,1.895229999999999831e-02
3.000600000000000023e+01,2.301020000000000073e+04,1.500330000000000066e-02
3.028470000000000084e+01,2.300890000000000146e+04,1.627119999999999955e-02
3.056550000000000011e+01,2.301490000000000146e+04,1.703999999999999959e-02
3.084829999999999828e+01,2.301509999999999854e+04,1.635910000000000142e-02
3.113329999999999842e+01,2.301379999999999927e+04,1.706270000000000009e-02
3.142350000000000065e+01,2.301100000000000000e+04,1.498329999999999974e-02
3.171249999999999858e+01,2.301370000000000073e+04,1.149999999999999981e-02
3.200679999999999836e+01,2.301100000000000000e+04,1.410559999999999939e-02
3.230319999999999681e+01,2.301250000000000000e+04,8.604769999999999433e-03
3.260520000000000351e+01,2.301520000000000073e+04,1.393770000000000078e-02
3.290559999999999974e+01,2.301200000000000000e+04,1.660450000000000120e-02
3.321159999999999712e+01,2.301140000000000146e+04,9.366269999999999457e-03
3.351959999999999695e+01,2.301509999999999854e+04,1.611840000000000148e-02
3.382950000000000301e+01,2.301690000000000146e+04,8.182560000000000180e-03
3.414130000000000109e+01,2.301070000000000073e+04,1.561569999999999972e-02
3.445900000000000318e+01,2.300979999999999927e+04,1.309710000000000041e-02
3.477859999999999729e+01,2.300700000000000000e+04,5.175289999999999925e-03
3.510000000000000142e+01,2.300409999999999854e+04,1.416809999999999944e-02
3.542329999999999757e+01,2.300959999999999854e+04,1.671320000000000097e-02
3.575260000000000105e+01,2.300800000000000000e+04,1.192110000000000045e-02
3.608370000000000033e+01,2.300400000000000000e+04,8.165260000000000573e-03
3.641660000000000252e+01,2.300679999999999927e+04,1.087349999999999949e-02
3.675569999999999737e+01,2.300350000000000000e+04,7.849230000000000443e-03
3.709660000000000224e+01,2.300890000000000146e+04,1.280829999999999989e-02
3.743919999999999959e+01,2.300870000000000073e+04,1.133709999999999926e-02
3.778810000000000002e+01,2.300759999999999854e+04,6.595410000000000335e-03
3.813880000000000337e+01,2.300679999999999927e+04,6.751280000000000128e-03
3.849110000000000298e+01,2.300650000000000000e+04,4.864099999999999728e-06
3.884499999999999886e+01,2.300990000000000146e+04,7.158880000000000278e-03
3.920539999999999736e+01,2.301120000000000073e+04,-2.069249999999999909e-03
3.956739999999999924e+01,2.301109999999999854e+04,9.526869999999999783e-03
3.993610000000000326e+01,2.300840000000000146e+04,-1.164859999999999984e-03
4.030630000000000024e+01,2.301320000000000073e+04,1.050579999999999917e-02
4.067799999999999727e+01,2.301020000000000073e+04,9.507759999999999649e-04
4.105649999999999977e+01,2.301209999999999854e+04,9.893580000000000776e-03
4.143650000000000233e+01,2.300820000000000073e+04,-1.215930000000000049e-03
4.181770000000000209e+01,2.301490000000000146e+04,1.957089999999999871e-03
4.220600000000000307e+01,2.301259999999999854e+04,7.243160000000000223e-03
4.259550000000000125e+01,2.301100000000000000e+04,6.426630000000000016e-03
4.299230000000000018e+01,2.301320000000000073e+04,9.944190000000000754e-04
4.339020000000000010e+01,2.301309999999999854e+04,5.679649999999999629e-03
4.379560000000000031e+01,2.300879999999999927e+04,-9.897440000000000838e-04
4.419559999999999889e+01,2.301350000000000000e+04,5.774360000000000083e-03
4.460969999999999658e+01,2.301670000000000073e+04,2.195170000000000194e-03
4.501800000000000068e+01,2.301059999999999854e+04,2.249249999999999947e-03
4.544080000000000297e+01,2.301459999999999854e+04,7.874620000000000578e-03
4.585750000000000171e+01,2.301740000000000146e+04,7.178450000000000282e-03
4.628199999999999648e+01,2.301640000000000146e+04,5.474620000000000354e-03
