# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.697740000000000000e+05,-1.227830000000000032e-01
2.018570000000000064e+01,1.781630000000000000e+05,-1.566000000000000031e-02
2.037209999999999965e+01,1.783660000000000000e+05,-2.670980000000000021e-01
2.056200000000000117e+01,1.756450000000000000e+05,-3.081459999999999755e-01
2.075120000000000076e+01,1.807410000000000000e+05,-8.596759999999999957e-01
2.094529999999999959e+01,1.817170000000000000e+05,-4.411050000000000249e-01
2.113870000000000005e+01,1.752280000000000000e+05,-2.012690000000000035e-01
2.133409999999999940e+01,1.869810000000000000e+05,-5.751290000000000013e-01
2.153160000000000096e+01,1.809200000000000000e+05,-6.144249999999999989e-01
2.173130000000000095e+01,1.828800000000000000e+05,-4.328130000000000033e-01
2.193299999999999983e+01,1.784820000000000000e+05,-4.232600000000000251e-01
2.213530000000000086e+01,1.821710000000000000e+05,-5.446640000000000370e-01
2.234140000000000015e+01,1.698890000000000000e+05,-5.404200000000000115e-01
2.254789999999999850e+01,1.777350000000000000e+05,-1.350560000000000094e-01
2.275659999999999883e+01,1.748190000000000000e+05,-3.611019999999999786e-01
2.296740000000000137e+01,1.727600000000000000e+05,-5.438840000000000341e-01
2.318029999999999902e+01,1.663330000000000000e+05,-3.965489999999999848e-01
2.339549999999999841e+01,1.681120000000000000e+05,-3.816530000000000200e-01
2.361090000000000089e+01,1.710860000000000000e+05,-4.956280000000000130e-01
2.383030000000000115e+01,1.715250000000000000e+05,-4.755019999999999802e-01
2.405000000000000071e+01,1.727960000000000000e+05,-5.361280000000000490e-01
2.427380000000000138e+01,1.716540000000000000e+05,-4.428639999999999799e-01
2.449780000000000157e+01,1.652790000000000000e+05,-7.481959999999999722e-01
2.472599999999999909e+01,1.742160000000000000e+05,-6.929659999999999709e-01
2.495429999999999993e+01,1.641670000000000000e+05,-6.333440000000000181e-01
2.518469999999999942e+01,1.770320000000000000e+05,-5.151799999999999713e-01
2.541939999999999955e+01,1.762050000000000000e+05,-4.773780000000000245e-01
2.565419999999999945e+01,1.763580000000000000e+05,-5.014910000000000201e-01
2.589110000000000156e+01,1.763980000000000000e+05,-3.559149999999999814e-01
2.613009999999999877e+01,1.718770000000000000e+05,-5.651140000000000052e-01
2.637359999999999971e+01,1.659110000000000000e+05,-5.971119999999999761e-01
2.661929999999999907e+01,1.678410000000000000e+05,-4.319609999999999839e-01
2.686489999999999867e+01,1.623830000000000000e+05,-5.414700000000000069e-01
2.711250000000000071e+01,1.651500000000000000e+05,-4.055079999999999796e-01
2.736479999999999890e+01,1.738490000000000000e+05,-4.806279999999999997e-01
2.761919999999999931e+01,1.665710000000000000e+05,-4.660699999999999843e-01
2.787330000000000041e+01,1.668070000000000000e+05,-8.665240000000000442e-02
2.813200000000000145e+01,1.658800000000000000e+05,-1.418750000000000011e-01
2.839300000000000068e+01,1.655100000000000000e+05,2.815390000000000080e-03
2.865599999999999881e+01,1.595840000000000000e+05,-2.383419999999999983e-01
2.892119999999999891e+01,1.626090000000000000e+05,-9.520149999999999446e-02
2.918860000000000099e+01,1.663400000000000000e+05,4.111259999999999915e-01
2.946089999999999876e+01,1.734500000000000000e+05,-1.431230000000000002e-01
2.973239999999999839e+01,1.618450000000000000e+05,-2.272679999999999978e-01
3.000600000000000023e+01,1.686570000000000000e+05,-1.918529999999999958e-01
3.028470000000000084e+01,1.702760000000000000e+05,-5.947369999999999601e-01
3.056550000000000011e+01,1.618180000000000000e+05,-4.487360000000000237e-01
3.084829999999999828e+01,1.675750000000000000e+05,-3.002949999999999786e-01
3.113329999999999842e+01,1.688070000000000000e+05,-4.994379999999999931e-01
3.142350000000000065e+01,1.696880000000000000e+05,-4.293799999999999839e-01
3.171249999999999858e+01,1.811000000000000000e+05,-8.251389999999999558e-01
3.200679999999999836e+01,1.779330000000000000e+05,-6.580890000000000351e-01
3.230319999999999681e+01,1.800820000000000000e+05,-7.229590000000000183e-01
3.260520000000000351e+01,1.776990000000000000e+05,-8.704490000000000283e-01
3.290559999999999974e+01,1.816680000000000000e+05,-7.586779999999999635e-01
3.321159999999999712e+01,1.759520000000000000e+05,-9.358539999999999637e-01
3.351959999999999695e+01,1.717880000000000000e+05,-6.300710000000000477e-01
3.382950000000000301e+01,1.742330000000000000e+05,-6.988720000000000487e-01
3.414130000000000109e+01,1.674120000000000000e+05,-6.902549999999999519e-01
3.445900000000000318e+01,1.716950000000000000e+05,-7.168830000000000480e-01
3.477859999999999729e+01,1.731340000000000000e+05,-9.514089999999999492e-01
3.510000000000000142e+01,1.784230000000000000e+05,-7.277080000000000215e-01
3.542329999999999757e+01,1.748090000000000000e+05,-8.002000000000000224e-01
3.575260000000000105e+01,1.778360000000000000e+05,-8.199849999999999639e-01
3.608370000000000033e+01,1.797370000000000000e+05,-9.542899999999999716e-01
3.641660000000000252e+01,1.819630000000000000e+05,-8.351939999999999920e-01
3.675569999999999737e+01,1.792960000000000000e+05,-9.191909999999999803e-01
3.709660000000000224e+01,1.720950000000000000e+05,-7.552349999999999897e-01
3.743919999999999959e+01,1.756810000000000000e+05,-8.931919999999999860e-01
3.778810000000000002e+01,1.740930000000000000e+05,-8.672480000000000189e-01
3.813880000000000337e+01,1.701880000000000000e+05,-8.334409999999999874e-01
3.849110000000000298e+01,1.706070000000000000e+05,-8.315489999999999826e-01
3.884499999999999886e+01,1.727020000000000000e+05,-9.975490000000000190e-01
3.920539999999999736e+01,1.742720000000000000e+05,-1.013779999999999903e+00
3.956739999999999924e+01,1.819200000000000000e+05,-9.873699999999999699e-01
3.993610000000000326e+01,1.808140000000000000e+05,-9.226600000000000357e-01
4.030630000000000024e+01,1.812960000000000000e+05,-9.937169999999999614e-01
4.067799999999999727e+01,1.775710000000000000e+05,-9.976209999999999800e-01
4.105649999999999977e+01,1.787580000000000000e+05,-9.308509999999999840e-01
4.143650000000000233e+01,1.815920000000000000e+05,-8.763279999999999959e-01
4.181770000000000209e+01,1.800470000000000000e+05,-1.252229999999999954e+00
4.220600000000000307e+01,1.747970000000000000e+05,-1.038990000000000080e+00
4.259550000000000125e+01,1.731730000000000000e+05,-8.711010000000000142e-01
4.299230000000000018e+01,1.700130000000000000e+05,-1.035849999999999937e+00
4.339020000000000010e+01,1.838000000000000000e+05,-9.580859999999999932e-01
4.379560000000000031e+01,1.824500000000000000e+05,-1.062629999999999963e+00
4.419559999999999889e+01,1.935640000000000000e+05,-1.031870000000000065e+00
4.460969999999999658e+01,1.811330000000000000e+05,-8.969300000000000050e-01
4.501800000000000068e+01,1.782400000000000000e+05,-9.640589999999999993e-01
4.544080000000000297e+01,1.673190000000000000e+05,-8.909040000000000292e-01
4.585750000000000171e+01,1.805070000000000000e+05,-1.089839999999999920e+00
4.628199999999999648e+01,1.757680000000000000e+05,-1.054040000000000088e+00
