# Frecuencia [Hz], Z [Ohm], Fase []
2.000000000000000000e+01,4.812600000000000000e+06,-1.503560000000000052e+01
2.037209999999999965e+01,5.015880000000000000e+06,-1.154700000000000060e+01
2.075120000000000076e+01,5.611060000000000000e+06,-1.496260000000000012e+01
2.114020000000000010e+01,6.861690000000000000e+06,-1.535720000000000063e+01
2.153320000000000078e+01,6.886190000000000000e+06,-1.837460000000000093e+01
2.193299999999999983e+01,6.817840000000000000e+06,-1.899960000000000093e+01
2.234140000000000015e+01,6.311240000000000000e+06,-2.511410000000000053e+01
2.275829999999999842e+01,6.359860000000000000e+06,-2.256790000000000163e+01
2.318029999999999902e+01,6.627240000000000000e+06,-2.384669999999999845e+01
2.361280000000000001e+01,6.241060000000000000e+06,-2.740429999999999922e+01
2.405000000000000071e+01,6.387190000000000000e+06,-2.089160000000000039e+01
2.449980000000000047e+01,6.304360000000000000e+06,-2.794249999999999901e+01
2.495429999999999993e+01,6.919220000000000000e+06,-2.592360000000000042e+01
2.541939999999999955e+01,6.772840000000000000e+06,-3.117040000000000077e+01
2.589110000000000156e+01,6.856910000000000000e+06,-2.873720000000000141e+01
2.637590000000000146e+01,6.824760000000000000e+06,-3.339330000000000354e+01
2.686730000000000018e+01,6.067800000000000000e+06,-2.649289999999999878e+01
2.736730000000000018e+01,6.118010000000000000e+06,-2.985600000000000165e+01
2.787330000000000041e+01,6.779810000000000000e+06,-2.879210000000000136e+01
2.839560000000000173e+01,6.177840000000000000e+06,-2.855610000000000070e+01
2.892119999999999891e+01,6.120810000000000000e+06,-2.844129999999999825e+01
2.946379999999999910e+01,5.598640000000000000e+06,-2.692889999999999873e+01
3.000600000000000023e+01,6.129850000000000000e+06,-3.410229999999999961e+01
3.056859999999999999e+01,6.512640000000000000e+06,-3.280760000000000076e+01
3.113329999999999842e+01,6.270350000000000000e+06,-3.070289999999999964e+01
3.171249999999999858e+01,5.999570000000000000e+06,-3.189339999999999975e+01
3.230319999999999681e+01,6.393040000000000000e+06,-3.478280000000000172e+01
3.290919999999999845e+01,5.893990000000000000e+06,-2.647820000000000107e+01
3.352329999999999899e+01,6.249640000000000000e+06,-3.870250000000000057e+01
3.414130000000000109e+01,6.085590000000000000e+06,-3.364260000000000161e+01
3.478260000000000218e+01,5.816000000000000000e+06,-3.988980000000000103e+01
3.542329999999999757e+01,5.580430000000000000e+06,-3.214950000000000330e+01
3.608809999999999718e+01,5.655040000000000000e+06,-3.752069999999999794e+01
3.676019999999999754e+01,5.243940000000000000e+06,-3.140129999999999910e+01
3.743919999999999959e+01,6.462660000000000000e+06,-3.575959999999999894e+01
3.814370000000000260e+01,5.795130000000000000e+06,-3.801230000000000331e+01
3.884499999999999886e+01,5.967110000000000000e+06,-3.294850000000000279e+01
3.956739999999999924e+01,6.132570000000000000e+06,-3.991389999999999816e+01
4.030630000000000024e+01,5.200970000000000000e+06,-3.590400000000000347e+01
4.105649999999999977e+01,5.693690000000000000e+06,-2.802599999999999980e+01
4.182350000000000279e+01,5.784810000000000000e+06,-3.232829999999999870e+01
4.260150000000000148e+01,5.272750000000000000e+06,-4.273819999999999908e+01
4.339020000000000010e+01,4.996150000000000000e+06,-3.623850000000000193e+01
4.420219999999999771e+01,5.519580000000000000e+06,-3.939929999999999666e+01
4.501800000000000068e+01,4.941490000000000000e+06,-3.774210000000000065e+01
4.586449999999999960e+01,4.600190000000000000e+06,-4.075090000000000146e+01
4.671439999999999770e+01,6.100640000000000000e+06,-4.128009999999999735e+01
4.758129999999999882e+01,5.478650000000000000e+06,-4.614070000000000249e+01
4.846529999999999916e+01,5.934610000000000000e+06,-4.211760000000000304e+01
4.936650000000000205e+01,4.527420000000000000e+06,-5.012129999999999797e+01
5.029339999999999833e+01,5.018570000000000000e+06,-5.183140000000000214e+01
5.122950000000000159e+01,5.559250000000000000e+06,-5.493769999999999953e+01
5.218299999999999983e+01,5.773580000000000000e+06,-5.792889999999999873e+01
