# Frecuencia [Hz], Z [Ohm], Fase []
2.000000000000000000e+01,5.349810000000000000e+05,-5.113900000000000112e-01
2.037209999999999965e+01,5.718230000000000000e+05,-7.375779999999999559e-01
2.075120000000000076e+01,5.574490000000000000e+05,-9.451600000000000001e-01
2.114020000000000010e+01,5.558520000000000000e+05,-1.284680000000000044e+00
2.153320000000000078e+01,5.608370000000000000e+05,-1.182309999999999972e+00
2.193299999999999983e+01,5.678610000000000000e+05,-1.219119999999999981e+00
2.234140000000000015e+01,5.747250000000000000e+05,-1.121350000000000069e+00
2.275829999999999842e+01,5.670050000000000000e+05,-1.407610000000000028e+00
2.318029999999999902e+01,5.624940000000000000e+05,-1.510529999999999928e+00
2.361280000000000001e+01,5.738240000000000000e+05,-1.383380000000000054e+00
2.405000000000000071e+01,5.775800000000000000e+05,-1.328859999999999930e+00
2.449980000000000047e+01,5.482730000000000000e+05,-1.401980000000000004e+00
2.495429999999999993e+01,6.059910000000000000e+05,-1.348970000000000002e+00
2.541939999999999955e+01,5.533740000000000000e+05,-1.508680000000000021e+00
2.589110000000000156e+01,5.336720000000000000e+05,-1.690639999999999921e+00
2.637590000000000146e+01,5.839600000000000000e+05,-1.886810000000000098e+00
2.686730000000000018e+01,5.799730000000000000e+05,-1.993649999999999922e+00
2.736730000000000018e+01,5.659270000000000000e+05,-1.605580000000000007e+00
2.787330000000000041e+01,5.719890000000000000e+05,-1.583930000000000060e+00
2.839560000000000173e+01,5.804710000000000000e+05,-1.844160000000000021e+00
2.892119999999999891e+01,5.633990000000000000e+05,-1.773419999999999996e+00
2.946379999999999910e+01,5.733330000000000000e+05,-2.139330000000000176e+00
3.000600000000000023e+01,5.866580000000000000e+05,-2.419799999999999951e+00
3.056859999999999999e+01,5.687590000000000000e+05,-1.854419999999999957e+00
3.113329999999999842e+01,5.806160000000000000e+05,-1.649529999999999941e+00
3.171249999999999858e+01,5.714550000000000000e+05,-1.927480000000000082e+00
3.230319999999999681e+01,5.747430000000000000e+05,-1.512639999999999985e+00
3.290919999999999845e+01,5.619440000000000000e+05,-1.174309999999999965e+00
3.352329999999999899e+01,5.744410000000000000e+05,-1.436029999999999918e+00
3.414130000000000109e+01,5.746850000000000000e+05,-2.379039999999999822e+00
3.478260000000000218e+01,5.742900000000000000e+05,-1.864030000000000076e+00
3.542329999999999757e+01,5.796800000000000000e+05,-2.459150000000000169e+00
3.608809999999999718e+01,5.768060000000000000e+05,-2.144280000000000186e+00
3.676019999999999754e+01,5.754860000000000000e+05,-2.075699999999999878e+00
3.743919999999999959e+01,5.871780000000000000e+05,-2.492900000000000116e+00
3.814370000000000260e+01,5.726670000000000000e+05,-1.536380000000000079e+00
3.884499999999999886e+01,5.670340000000000000e+05,-1.951259999999999994e+00
3.956739999999999924e+01,5.509900000000000000e+05,-1.212709999999999955e+00
4.030630000000000024e+01,5.834470000000000000e+05,-2.763910000000000089e+00
4.105649999999999977e+01,5.798460000000000000e+05,-1.934600000000000097e+00
4.182350000000000279e+01,5.769040000000000000e+05,-2.971610000000000085e+00
4.260150000000000148e+01,5.666000000000000000e+05,-2.250659999999999883e+00
4.339020000000000010e+01,5.824680000000000000e+05,-2.666760000000000019e+00
4.420219999999999771e+01,5.738650000000000000e+05,-2.707520000000000149e+00
4.501800000000000068e+01,5.759010000000000000e+05,-2.968300000000000161e+00
4.586449999999999960e+01,5.913560000000000000e+05,-2.524929999999999897e+00
4.671439999999999770e+01,6.111630000000000000e+05,-3.374359999999999804e+00
4.758129999999999882e+01,6.257320000000000000e+05,-2.929790000000000116e+00
4.846529999999999916e+01,6.204480000000000000e+05,-3.082969999999999988e+00
