# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,2.610969999999999800e+03,4.575099999999999723e-01
2.037209999999999965e+01,2.444199999999999818e+03,7.696619999999999850e-02
2.075120000000000076e+01,2.346139999999999873e+03,-9.517209999999999559e-02
2.114020000000000010e+01,2.269039999999999964e+03,3.666519999999999779e-01
2.153320000000000078e+01,2.246409999999999854e+03,4.262339999999999879e-03
2.193299999999999983e+01,2.218000000000000000e+03,3.293280000000000096e-01
2.234140000000000015e+01,2.207510000000000218e+03,2.344160000000000132e-01
2.275829999999999842e+01,2.144199999999999818e+03,2.561950000000000061e-01
2.318029999999999902e+01,2.154679999999999836e+03,6.929959999999999454e-01
2.361280000000000001e+01,2.143050000000000182e+03,3.721510000000000096e-01
2.405000000000000071e+01,2.115579999999999927e+03,4.867920000000000025e-01
2.449980000000000047e+01,2.116409999999999854e+03,1.604069999999999940e-01
2.495429999999999993e+01,2.086360000000000127e+03,-1.145280000000000048e-01
2.541939999999999955e+01,2.040019999999999982e+03,2.675570000000000032e-02
2.589110000000000156e+01,2.056130000000000109e+03,-1.011119999999999935e-01
2.637590000000000146e+01,2.026079999999999927e+03,2.796399999999999997e-01
2.686730000000000018e+01,2.022430000000000064e+03,3.928470000000000018e-01
2.736730000000000018e+01,1.999170000000000073e+03,4.674119999999999941e-01
2.787330000000000041e+01,1.986910000000000082e+03,3.629879999999999773e-01
2.839560000000000173e+01,2.008390000000000100e+03,1.790869999999999962e-01
2.892119999999999891e+01,1.996099999999999909e+03,4.087520000000000042e-01
2.946379999999999910e+01,2.003859999999999900e+03,3.511719999999999842e-01
3.000600000000000023e+01,1.976809999999999945e+03,3.750260000000000260e-01
3.056859999999999999e+01,2.000759999999999991e+03,1.996610000000000051e-01
3.113329999999999842e+01,1.995029999999999973e+03,4.491569999999999729e-01
3.171249999999999858e+01,1.996490000000000009e+03,9.713689999999999825e-02
3.230319999999999681e+01,1.974220000000000027e+03,1.039629999999999999e-01
3.290919999999999845e+01,1.966019999999999982e+03,3.556759999999999922e-01
3.352329999999999899e+01,1.975119999999999891e+03,2.735009999999999941e-01
3.414130000000000109e+01,1.959359999999999900e+03,2.337019999999999931e-01
3.478260000000000218e+01,1.952950000000000045e+03,3.522379999999999955e-01
3.542329999999999757e+01,1.961480000000000018e+03,2.275119999999999920e-01
3.608809999999999718e+01,1.942430000000000064e+03,2.242989999999999984e-01
3.676019999999999754e+01,1.959430000000000064e+03,3.948160000000000003e-01
3.743919999999999959e+01,1.946700000000000045e+03,1.990149999999999975e-01
3.814370000000000260e+01,1.945529999999999973e+03,1.119980000000000003e-01
3.884499999999999886e+01,1.927460000000000036e+03,2.184230000000000060e-01
3.956739999999999924e+01,1.923039999999999964e+03,1.582210000000000005e-01
4.030630000000000024e+01,1.916250000000000000e+03,2.847790000000000044e-01
4.105649999999999977e+01,1.920549999999999955e+03,2.056469999999999965e-01
4.182350000000000279e+01,1.913670000000000073e+03,7.985230000000000106e-02
4.260150000000000148e+01,1.926730000000000018e+03,4.456570000000000253e-01
4.339020000000000010e+01,1.922589999999999918e+03,2.169959999999999944e-01
4.420219999999999771e+01,1.933519999999999982e+03,3.730680000000000107e-01
4.501800000000000068e+01,1.918809999999999945e+03,4.308190000000000075e-01
4.586449999999999960e+01,1.887910000000000082e+03,3.872140000000000304e-02
4.671439999999999770e+01,1.909890000000000100e+03,1.368689999999999907e-01
4.758129999999999882e+01,1.921140000000000100e+03,2.484939999999999927e-01
4.846529999999999916e+01,1.896640000000000100e+03,3.432740000000000236e-01
4.936650000000000205e+01,1.916519999999999982e+03,3.309610000000000052e-01
5.029339999999999833e+01,1.912420000000000073e+03,3.084350000000000147e-01
5.122950000000000159e+01,1.879940000000000055e+03,1.394610000000000016e-01
5.218299999999999983e+01,1.898859999999999900e+03,2.815480000000000205e-01
5.314439999999999742e+01,1.892769999999999982e+03,1.455470000000000097e-01
5.415160000000000196e+01,1.901329999999999927e+03,3.522190000000000043e-01
5.514710000000000178e+01,1.894750000000000000e+03,2.691660000000000164e-01
5.616929999999999978e+01,1.881559999999999945e+03,3.298099999999999921e-01
