# Frecuencia [Hz], Z [Ohm], Fase []
2.000000000000000000e+01,5.183710000000000000e+05,-9.796070000000000055e-01
2.037209999999999965e+01,5.451320000000000000e+05,-9.285109999999999753e-01
2.075120000000000076e+01,5.365910000000000000e+05,-9.765970000000000484e-01
2.114020000000000010e+01,5.323440000000000000e+05,-1.250089999999999923e+00
2.153320000000000078e+01,5.412240000000000000e+05,-1.070770000000000000e+00
2.193299999999999983e+01,5.362850000000000000e+05,-1.219950000000000090e+00
2.234140000000000015e+01,5.607410000000000000e+05,-1.563220000000000054e+00
2.275829999999999842e+01,5.702630000000000000e+05,-1.122670000000000057e+00
2.318029999999999902e+01,5.747630000000000000e+05,-1.431680000000000064e+00
2.361280000000000001e+01,5.596730000000000000e+05,-1.872789999999999955e+00
2.405000000000000071e+01,5.493960000000000000e+05,-1.860100000000000087e+00
2.449980000000000047e+01,5.709570000000000000e+05,-1.926830000000000043e+00
2.495429999999999993e+01,5.705980000000000000e+05,-1.464990000000000014e+00
2.541939999999999955e+01,5.751690000000000000e+05,-1.757570000000000077e+00
2.589110000000000156e+01,5.752620000000000000e+05,-1.449999999999999956e+00
2.637590000000000146e+01,5.592280000000000000e+05,-1.510820000000000052e+00
2.686730000000000018e+01,5.881260000000000000e+05,-1.652470000000000105e+00
2.736730000000000018e+01,5.590340000000000000e+05,-1.689680000000000071e+00
2.787330000000000041e+01,5.576570000000000000e+05,-1.542710000000000026e+00
2.839560000000000173e+01,5.446920000000000000e+05,-2.284650000000000070e+00
2.892119999999999891e+01,5.534860000000000000e+05,-2.055550000000000210e+00
2.946379999999999910e+01,5.424960000000000000e+05,-1.469160000000000021e+00
3.000600000000000023e+01,5.576850000000000000e+05,-1.715659999999999963e+00
3.056859999999999999e+01,5.666060000000000000e+05,-1.926970000000000072e+00
3.113329999999999842e+01,5.519120000000000000e+05,-1.927599999999999980e+00
3.171249999999999858e+01,5.578080000000000000e+05,-1.887539999999999996e+00
3.230319999999999681e+01,5.523980000000000000e+05,-1.426449999999999996e+00
3.290919999999999845e+01,5.492430000000000000e+05,-1.224250000000000060e+00
3.352329999999999899e+01,5.442600000000000000e+05,-1.293749999999999956e+00
3.414130000000000109e+01,5.482910000000000000e+05,-1.448339999999999961e+00
3.478260000000000218e+01,5.481960000000000000e+05,-1.592540000000000067e+00
3.542329999999999757e+01,5.534500000000000000e+05,-1.897729999999999917e+00
3.608809999999999718e+01,5.553580000000000000e+05,-2.121999999999999886e+00
3.676019999999999754e+01,5.559940000000000000e+05,-2.433040000000000092e+00
3.743919999999999959e+01,5.536060000000000000e+05,-2.404819999999999958e+00
3.814370000000000260e+01,5.481330000000000000e+05,-1.486339999999999995e+00
3.884499999999999886e+01,5.478860000000000000e+05,-2.744899999999999896e+00
3.956739999999999924e+01,5.511790000000000000e+05,-2.031239999999999934e+00
4.030630000000000024e+01,5.411190000000000000e+05,-2.372380000000000155e+00
4.105649999999999977e+01,5.653190000000000000e+05,-2.292310000000000070e+00
4.182350000000000279e+01,5.584860000000000000e+05,-1.562410000000000077e+00
4.260150000000000148e+01,5.580980000000000000e+05,-2.827059999999999906e+00
4.339020000000000010e+01,5.556490000000000000e+05,-1.980180000000000051e+00
4.420219999999999771e+01,5.540420000000000000e+05,-2.651149999999999896e+00
4.501800000000000068e+01,5.593080000000000000e+05,-2.704320000000000057e+00
4.586449999999999960e+01,5.612890000000000000e+05,-2.714840000000000142e+00
4.671439999999999770e+01,5.625930000000000000e+05,-3.266880000000000006e+00
4.758129999999999882e+01,5.706620000000000000e+05,-2.466219999999999857e+00
4.846529999999999916e+01,5.646380000000000000e+05,-3.300240000000000062e+00
4.936650000000000205e+01,5.747090000000000000e+05,-3.872660000000000213e+00
5.029339999999999833e+01,5.751410000000000000e+05,-2.992700000000000138e+00
5.122950000000000159e+01,5.701570000000000000e+05,-2.696120000000000072e+00
5.218299999999999983e+01,5.703900000000000000e+05,-3.476480000000000015e+00
5.314439999999999742e+01,5.638300000000000000e+05,-3.417889999999999873e+00
5.415160000000000196e+01,5.548060000000000000e+05,-3.297880000000000145e+00
5.514710000000000178e+01,5.571910000000000000e+05,-4.210580000000000211e+00
5.616929999999999978e+01,5.628580000000000000e+05,-3.771879999999999900e+00
5.721920000000000073e+01,5.724020000000000000e+05,-4.137080000000000091e+00
5.828640000000000043e+01,5.623790000000000000e+05,-3.864129999999999843e+00
5.938239999999999696e+01,5.616230000000000000e+05,-4.328109999999999680e+00
6.048389999999999844e+01,5.724440000000000000e+05,-4.671899999999999942e+00
6.161430000000000007e+01,5.788080000000000000e+05,-4.196049999999999613e+00
6.274839999999999662e+01,5.742480000000000000e+05,-3.649329999999999963e+00
6.391140000000000043e+01,5.933240000000000000e+05,-4.563710000000000377e+00
6.510420000000000584e+01,5.788660000000000000e+05,-4.282329999999999970e+00
6.632769999999999300e+01,5.804950000000000000e+05,-5.110879999999999868e+00
6.755240000000000578e+01,5.658910000000000000e+05,-4.426639999999999908e+00
6.880729999999999791e+01,5.616590000000000000e+05,-4.973880000000000301e+00
7.007710000000000150e+01,5.753670000000000000e+05,-3.775650000000000173e+00
