# Frecuencia [Hz], Z [Ohm], Fase []
9.950249999999999773e+01,5.030030000000000000e+06,-8.115550000000000352e+01
1.013509999999999991e+02,4.852710000000000000e+06,-7.648199999999999932e+01
1.032699999999999960e+02,4.519810000000000000e+06,-8.041280000000000427e+01
1.051520000000000010e+02,4.511400000000000000e+06,-7.986299999999999955e+01
1.071430000000000007e+02,4.521170000000000000e+06,-7.670269999999999300e+01
1.091310000000000002e+02,4.534110000000000000e+06,-7.652009999999999934e+01
1.111520000000000010e+02,4.934770000000000000e+06,-6.935920000000000130e+01
1.132500000000000000e+02,4.325560000000000000e+06,-6.547140000000000271e+01
1.153400000000000034e+02,4.003830000000000000e+06,-7.317109999999999559e+01
1.175090000000000003e+02,3.600990000000000000e+06,-7.061730000000000018e+01
1.197129999999999939e+02,4.002380000000000000e+06,-6.547910000000000252e+01
1.218520000000000039e+02,3.453950000000000000e+06,-7.323130000000000450e+01
1.241719999999999970e+02,3.792340000000000000e+06,-6.912649999999999295e+01
1.265289999999999964e+02,3.742820000000000000e+06,-6.458450000000000557e+01
1.288660000000000139e+02,3.556060000000000000e+06,-7.139770000000000039e+01
1.311759999999999877e+02,3.580690000000000000e+06,-7.021259999999999479e+01
1.336299999999999955e+02,3.580710000000000000e+06,-6.860649999999999693e+01
1.361160000000000139e+02,3.786320000000000000e+06,-6.409990000000000521e+01
1.386959999999999980e+02,3.867090000000000000e+06,-6.408769999999999811e+01
1.413089999999999975e+02,3.877170000000000000e+06,-6.542140000000000555e+01
1.439540000000000077e+02,3.510440000000000000e+06,-6.135240000000000293e+01
1.466279999999999859e+02,3.900290000000000000e+06,-6.914300000000000068e+01
1.493280000000000030e+02,3.512360000000000000e+06,-6.233359999999999701e+01
1.521299999999999955e+02,3.315390000000000000e+06,-6.717189999999999372e+01
1.549590000000000032e+02,3.305670000000000000e+06,-6.554030000000000200e+01
1.578950000000000102e+02,3.444050000000000000e+06,-6.513020000000000209e+01
1.607719999999999914e+02,3.523490000000000000e+06,-6.909050000000000580e+01
1.636659999999999968e+02,3.483760000000000000e+06,-6.595789999999999509e+01
1.667589999999999861e+02,3.437890000000000000e+06,-7.159029999999999916e+01
1.698750000000000000e+02,3.303260000000000000e+06,-6.563370000000000459e+01
1.730099999999999909e+02,3.141520000000000000e+06,-6.634340000000000259e+01
1.762630000000000052e+02,3.341870000000000000e+06,-7.056399999999999295e+01
1.795329999999999870e+02,3.122040000000000000e+06,-6.739239999999999498e+01
1.828149999999999977e+02,2.970360000000000000e+06,-6.601850000000000307e+01
1.863350000000000080e+02,3.332120000000000000e+06,-7.164969999999999573e+01
1.897529999999999859e+02,3.244270000000000000e+06,-7.545059999999999434e+01
1.934240000000000066e+02,2.956410000000000000e+06,-6.647889999999999588e+01
1.968499999999999943e+02,2.807520000000000000e+06,-6.735479999999999734e+01
2.006690000000000111e+02,3.108010000000000000e+06,-6.674379999999999313e+01
2.043600000000000136e+02,2.976330000000000000e+06,-7.066750000000000398e+01
2.080440000000000111e+02,2.796350000000000000e+06,-6.771280000000000143e+01
2.118640000000000043e+02,2.735270000000000000e+06,-6.926860000000000639e+01
2.158269999999999982e+02,2.751280000000000000e+06,-6.428619999999999379e+01
2.199410000000000025e+02,2.685940000000000000e+06,-6.620350000000000534e+01
2.242150000000000034e+02,2.641580000000000000e+06,-6.660150000000000148e+01
2.283110000000000070e+02,2.590810000000000000e+06,-6.305449999999999733e+01
2.323779999999999859e+02,2.552300000000000000e+06,-6.346770000000000067e+01
2.369670000000000130e+02,2.381550000000000000e+06,-6.457120000000000459e+01
2.413520000000000039e+02,2.363840000000000000e+06,-6.163329999999999842e+01
2.456999999999999886e+02,2.425480000000000000e+06,-6.305919999999999703e+01
2.504170000000000016e+02,2.280280000000000000e+06,-6.365480000000000160e+01
2.548849999999999909e+02,2.355180000000000000e+06,-6.352819999999999823e+01
2.597400000000000091e+02,2.353820000000000000e+06,-6.408119999999999550e+01
2.645500000000000114e+02,2.331420000000000000e+06,-6.502299999999999613e+01
2.695419999999999732e+02,2.148690000000000000e+06,-6.575939999999999941e+01
2.747250000000000227e+02,2.269980000000000000e+06,-6.476699999999999591e+01
2.798509999999999991e+02,2.340870000000000000e+06,-6.486039999999999850e+01
2.848999999999999773e+02,2.247110000000000000e+06,-6.753440000000000509e+01
2.901349999999999909e+02,2.229410000000000000e+06,-6.459959999999999525e+01
2.955659999999999741e+02,2.263840000000000000e+06,-6.402400000000000091e+01
3.012049999999999841e+02,2.113150000000000000e+06,-6.338719999999999999e+01
3.064350000000000023e+02,2.105540000000000000e+06,-6.561509999999999820e+01
3.125000000000000000e+02,2.151910000000000000e+06,-6.464629999999999654e+01
3.184710000000000036e+02,2.036720000000000000e+06,-6.676659999999999684e+01
3.239739999999999895e+02,1.943320000000000000e+06,-6.428140000000000498e+01
3.300330000000000155e+02,1.971110000000000000e+06,-6.205910000000000082e+01
3.359460000000000264e+02,1.989350000000000000e+06,-6.590430000000000632e+01
3.428570000000000277e+02,1.854340000000000000e+06,-6.546930000000000405e+01
3.488369999999999891e+02,1.939140000000000000e+06,-6.402070000000000505e+01
3.554499999999999886e+02,1.849110000000000000e+06,-6.193489999999999895e+01
3.623190000000000168e+02,1.862640000000000000e+06,-6.307840000000000202e+01
3.685500000000000114e+02,1.777980000000000000e+06,-6.100430000000000064e+01
3.754689999999999941e+02,1.826430000000000000e+06,-6.006539999999999679e+01
3.826530000000000200e+02,1.736180000000000000e+06,-6.045049999999999812e+01
3.896100000000000136e+02,1.731780000000000000e+06,-6.184850000000000136e+01
3.968249999999999886e+02,1.717010000000000000e+06,-6.258700000000000330e+01
4.048580000000000041e+02,1.665000000000000000e+06,-6.074629999999999797e+01
4.120880000000000223e+02,1.707790000000000000e+06,-6.067020000000000124e+01
4.195799999999999841e+02,1.661360000000000000e+06,-5.745530000000000115e+01
4.273500000000000227e+02,1.650070000000000000e+06,-6.043650000000000233e+01
4.360470000000000255e+02,1.610490000000000000e+06,-5.830100000000000193e+01
4.431309999999999718e+02,1.539720000000000000e+06,-5.991239999999999810e+01
4.518070000000000164e+02,1.539240000000000000e+06,-5.881340000000000146e+01
4.608290000000000077e+02,1.590340000000000000e+06,-5.776100000000000279e+01
4.687500000000000000e+02,1.505000000000000000e+06,-5.833319999999999794e+01
4.777069999999999936e+02,1.560740000000000000e+06,-5.733429999999999893e+01
4.870129999999999768e+02,1.506490000000000000e+06,-5.506569999999999965e+01
4.950489999999999782e+02,1.512890000000000000e+06,-5.412539999999999907e+01
5.050509999999999877e+02,1.494110000000000000e+06,-5.526019999999999754e+01
5.145800000000000409e+02,1.477990000000000000e+06,-5.381759999999999877e+01
5.235599999999999454e+02,1.442900000000000000e+06,-5.354579999999999984e+01
5.338079999999999927e+02,1.420840000000000000e+06,-5.472760000000000247e+01
5.434779999999999518e+02,1.400330000000000000e+06,-5.447760000000000247e+01
5.545289999999999964e+02,1.366470000000000000e+06,-5.343820000000000192e+01
5.649719999999999800e+02,1.361630000000000000e+06,-5.363759999999999906e+01
5.747129999999999654e+02,1.357990000000000000e+06,-5.513510000000000133e+01
5.847949999999999591e+02,1.319390000000000000e+06,-5.432630000000000337e+01
5.952380000000000564e+02,1.315720000000000000e+06,-5.291729999999999734e+01
6.072870000000000346e+02,1.262630000000000000e+06,-5.251760000000000161e+01
6.198350000000000364e+02,1.253840000000000000e+06,-5.090509999999999735e+01
6.302519999999999527e+02,1.241160000000000000e+06,-5.327009999999999934e+01
6.423980000000000246e+02,1.201480000000000000e+06,-5.098169999999999646e+01
6.550220000000000482e+02,1.215520000000000000e+06,-4.999799999999999756e+01
