# Frecuencia [Hz], Z [Ohm], Fase [°]
9.950249999999999773e+01,6.222909999999999854e+03,-9.822680000000000300e-01
1.013509999999999991e+02,6.621840000000000146e+03,4.887250000000000205e-01
1.032699999999999960e+02,6.553539999999999964e+03,1.164269999999999916e+00
1.051520000000000010e+02,6.305199999999999818e+03,8.981249999999999512e-01
1.071430000000000007e+02,6.049239999999999782e+03,7.664419999999999566e-01
1.091310000000000002e+02,6.055890000000000327e+03,8.572800000000000420e-01
1.111520000000000010e+02,5.915189999999999600e+03,7.277890000000000192e-01
1.132500000000000000e+02,5.739140000000000327e+03,5.237420000000000408e-01
1.153400000000000034e+02,5.720949999999999818e+03,8.211300000000000265e-01
1.175090000000000003e+02,5.640479999999999563e+03,6.680960000000000232e-01
1.197129999999999939e+02,5.612439999999999600e+03,1.029069999999999929e+00
1.218520000000000039e+02,5.537609999999999673e+03,2.306739999999999902e-01
1.241719999999999970e+02,5.472350000000000364e+03,4.526910000000000101e-01
1.265289999999999964e+02,5.338029999999999745e+03,9.893560000000000132e-01
1.288660000000000139e+02,5.415229999999999563e+03,5.517469999999999875e-01
1.311759999999999877e+02,5.345720000000000255e+03,4.405439999999999912e-01
1.336299999999999955e+02,5.317029999999999745e+03,7.541419999999999790e-01
1.361160000000000139e+02,5.304960000000000036e+03,6.240900000000000336e-01
1.386959999999999980e+02,5.188350000000000364e+03,7.509270000000000111e-01
1.413089999999999975e+02,5.312640000000000327e+03,6.006350000000000300e-01
1.439540000000000077e+02,5.205109999999999673e+03,7.694299999999999473e-01
1.466279999999999859e+02,5.279289999999999964e+03,8.098099999999999743e-02
1.493280000000000030e+02,5.329420000000000073e+03,4.405549999999999744e-01
1.521299999999999955e+02,5.232390000000000327e+03,3.927800000000000180e-01
1.549590000000000032e+02,5.224579999999999927e+03,1.964909999999999990e-01
1.578950000000000102e+02,5.335180000000000291e+03,3.926990000000000203e-01
1.607719999999999914e+02,5.206619999999999891e+03,5.635259999999999714e-01
1.636659999999999968e+02,5.201220000000000255e+03,3.632420000000000093e-01
1.667589999999999861e+02,5.200449999999999818e+03,4.315169999999999839e-01
1.698750000000000000e+02,5.125510000000000218e+03,3.994590000000000085e-01
1.730099999999999909e+02,5.103729999999999563e+03,7.852219999999999756e-01
1.762630000000000052e+02,5.241710000000000036e+03,5.245649999999999480e-01
1.795329999999999870e+02,5.222659999999999854e+03,9.366950000000000554e-01
1.828149999999999977e+02,5.160819999999999709e+03,8.529529999999999612e-01
1.863350000000000080e+02,5.056100000000000364e+03,6.648680000000000145e-01
1.897529999999999859e+02,5.029140000000000327e+03,6.417260000000000186e-01
1.934240000000000066e+02,5.071260000000000218e+03,4.768000000000000016e-01
1.968499999999999943e+02,5.030829999999999927e+03,6.627140000000000253e-01
2.006690000000000111e+02,5.015689999999999600e+03,4.700650000000000106e-01
2.043600000000000136e+02,4.921390000000000327e+03,5.187859999999999694e-01
2.080440000000000111e+02,4.965619999999999891e+03,6.506969999999999699e-01
2.118640000000000043e+02,4.997210000000000036e+03,4.335539999999999949e-01
2.158269999999999982e+02,4.969039999999999964e+03,3.198710000000000164e-01
2.199410000000000025e+02,4.930659999999999854e+03,3.286979999999999902e-01
2.242150000000000034e+02,4.926710000000000036e+03,3.167409999999999948e-01
2.283110000000000070e+02,5.026220000000000255e+03,3.681220000000000048e-01
2.323779999999999859e+02,4.932090000000000146e+03,2.766069999999999918e-01
2.369670000000000130e+02,4.901640000000000327e+03,3.043290000000000162e-01
2.413520000000000039e+02,4.961739999999999782e+03,4.563380000000000214e-01
2.456999999999999886e+02,4.969439999999999600e+03,3.947129999999999805e-01
2.504170000000000016e+02,4.950890000000000327e+03,3.834319999999999951e-01
2.548849999999999909e+02,4.984159999999999854e+03,3.795169999999999932e-01
2.597400000000000091e+02,4.922970000000000255e+03,2.491079999999999961e-01
2.645500000000000114e+02,4.962090000000000146e+03,5.162630000000000274e-01
2.695419999999999732e+02,4.972340000000000146e+03,3.236249999999999960e-01
2.747250000000000227e+02,4.984439999999999600e+03,2.230379999999999863e-01
2.798509999999999991e+02,4.973550000000000182e+03,2.720090000000000008e-01
2.848999999999999773e+02,4.970670000000000073e+03,4.549579999999999735e-01
2.901349999999999909e+02,4.906140000000000327e+03,3.690780000000000172e-01
2.955659999999999741e+02,4.927479999999999563e+03,3.764790000000000081e-01
3.012049999999999841e+02,4.957649999999999636e+03,1.834800000000000042e-01
3.064350000000000023e+02,4.920920000000000073e+03,4.061779999999999835e-01
3.125000000000000000e+02,4.911039999999999964e+03,5.135729999999999462e-01
3.184710000000000036e+02,4.904720000000000255e+03,3.456469999999999820e-01
3.239739999999999895e+02,4.872579999999999927e+03,5.079350000000000254e-01
3.300330000000000155e+02,4.928920000000000073e+03,3.998110000000000275e-01
3.359460000000000264e+02,4.883079999999999927e+03,3.989380000000000148e-01
3.428570000000000277e+02,4.903220000000000255e+03,3.034979999999999900e-01
3.488369999999999891e+02,4.909350000000000364e+03,3.481270000000000198e-01
3.554499999999999886e+02,4.883319999999999709e+03,1.617010000000000114e-01
3.623190000000000168e+02,4.888060000000000400e+03,4.125570000000000070e-01
3.685500000000000114e+02,4.898100000000000364e+03,3.066989999999999994e-01
3.754689999999999941e+02,4.894109999999999673e+03,4.249689999999999857e-01
3.826530000000000200e+02,4.844170000000000073e+03,3.924110000000000098e-01
3.896100000000000136e+02,4.896720000000000255e+03,4.405089999999999839e-01
3.968249999999999886e+02,4.896229999999999563e+03,2.273759999999999948e-01
4.048580000000000041e+02,4.813770000000000437e+03,3.896379999999999844e-01
4.120880000000000223e+02,4.791239999999999782e+03,5.340819999999999457e-01
4.195799999999999841e+02,4.771270000000000437e+03,3.590550000000000130e-01
4.273500000000000227e+02,4.751779999999999745e+03,3.669689999999999896e-01
4.360470000000000255e+02,4.728680000000000291e+03,3.284730000000000150e-01
4.431309999999999718e+02,4.704239999999999782e+03,2.931980000000000142e-01
4.518070000000000164e+02,4.746750000000000000e+03,3.736320000000000197e-01
4.608290000000000077e+02,4.778569999999999709e+03,4.009829999999999783e-01
4.687500000000000000e+02,4.755060000000000400e+03,3.522100000000000231e-01
4.777069999999999936e+02,4.772180000000000291e+03,1.210259999999999947e-01
4.870129999999999768e+02,4.730210000000000036e+03,3.730280000000000262e-01
4.950489999999999782e+02,4.726479999999999563e+03,2.316229999999999956e-01
5.050509999999999877e+02,4.728479999999999563e+03,2.878580000000000028e-01
5.145800000000000409e+02,4.801960000000000036e+03,2.199859999999999871e-01
5.235599999999999454e+02,4.800970000000000255e+03,1.902979999999999949e-01
5.338079999999999927e+02,4.799350000000000364e+03,2.187880000000000102e-01
5.434779999999999518e+02,4.731039999999999964e+03,1.841609999999999914e-01
5.545289999999999964e+02,4.734279999999999745e+03,2.166780000000000095e-01
5.649719999999999800e+02,4.742430000000000291e+03,1.709499999999999909e-01
5.747129999999999654e+02,4.747960000000000036e+03,2.444310000000000094e-01
5.847949999999999591e+02,4.747199999999999818e+03,2.885079999999999867e-01
5.952380000000000564e+02,4.727369999999999891e+03,9.022840000000000027e-02
6.072870000000000346e+02,4.705189999999999600e+03,1.611809999999999909e-01
6.198350000000000364e+02,4.710970000000000255e+03,1.688189999999999968e-01
6.302519999999999527e+02,4.737539999999999964e+03,1.545030000000000014e-01
6.423980000000000246e+02,4.713909999999999854e+03,1.194449999999999956e-01
6.550220000000000482e+02,4.717710000000000036e+03,1.676819999999999977e-01
6.651879999999999882e+02,4.698789999999999964e+03,1.783299999999999885e-01
6.787329999999999472e+02,4.704159999999999854e+03,2.576060000000000016e-01
6.896549999999999727e+02,4.729779999999999745e+03,1.047239999999999976e-01
7.025760000000000218e+02,4.712500000000000000e+03,1.496750000000000025e-01
7.159900000000000091e+02,4.749420000000000073e+03,1.162549999999999972e-01
7.299270000000000209e+02,4.681979999999999563e+03,1.641610000000000014e-01
7.425739999999999554e+02,4.655600000000000364e+03,8.015980000000000327e-02
7.594940000000000282e+02,4.647529999999999745e+03,1.959180000000000088e-01
7.712079999999999700e+02,4.685520000000000437e+03,7.341440000000000465e-02
7.853400000000000318e+02,4.662260000000000218e+03,2.957690000000000041e-01
8.000000000000000000e+02,4.629300000000000182e+03,6.029749999999999693e-02
8.152169999999999845e+02,4.620960000000000036e+03,2.603940000000000074e-02
8.333329999999999700e+02,4.557939999999999600e+03,8.066810000000000647e-02
8.450700000000000500e+02,4.579520000000000437e+03,2.167949999999999877e-01
8.620689999999999600e+02,4.555060000000000400e+03,1.654430000000000067e-01
8.771929999999999836e+02,4.530770000000000437e+03,2.539170000000000038e-01
8.928569999999999709e+02,4.537210000000000036e+03,1.585900000000000087e-01
9.118540000000000418e+02,4.590930000000000291e+03,4.872950000000000198e-02
9.316770000000000209e+02,4.546970000000000255e+03,2.745380000000000043e-01
9.463719999999999573e+02,4.526279999999999745e+03,1.462279999999999969e-01
9.615380000000000109e+02,4.505109999999999673e+03,1.957500000000000073e-01
9.803920000000000528e+02,4.518229999999999563e+03,1.440700000000000036e-01
1.000000000000000000e+03,4.546840000000000146e+03,8.593810000000000338e-02
1.020409999999999968e+03,4.524779999999999745e+03,9.505660000000000498e-02
1.038059999999999945e+03,4.549069999999999709e+03,1.136690000000000061e-01
1.060069999999999936e+03,4.576250000000000000e+03,1.531260000000000121e-01
1.079140000000000100e+03,4.595409999999999854e+03,1.417779999999999874e-01
1.094890000000000100e+03,4.596359999999999673e+03,1.058069999999999983e-01
1.115240000000000009e+03,4.613840000000000146e+03,4.086560000000000192e-02
1.136359999999999900e+03,4.588439999999999600e+03,1.234129999999999949e-01
1.158299999999999955e+03,4.627390000000000327e+03,4.466060000000000169e-02
1.181099999999999909e+03,4.598989999999999782e+03,8.130469999999999364e-02
1.200000000000000000e+03,4.625090000000000146e+03,7.388959999999999972e-02
1.229509999999999991e+03,4.610710000000000036e+03,6.460899999999999976e-02
1.244809999999999945e+03,4.629449999999999818e+03,3.008579999999999935e-02
1.276599999999999909e+03,4.623600000000000364e+03,4.684529999999999944e-02
1.293099999999999909e+03,4.605520000000000437e+03,6.194519999999999887e-02
1.321589999999999918e+03,4.547720000000000255e+03,5.922290000000000193e-02
1.345289999999999964e+03,4.519750000000000000e+03,8.696699999999999917e-03
1.369859999999999900e+03,4.569630000000000109e+03,-5.552580000000000016e-02
1.401869999999999891e+03,4.507760000000000218e+03,6.521870000000000445e-02
1.421799999999999955e+03,4.537050000000000182e+03,-1.573000000000000093e-02
1.449279999999999973e+03,4.537979999999999563e+03,7.843980000000000397e-02
1.477829999999999927e+03,4.546239999999999782e+03,4.627619999999999824e-03
