# Frecuencia [Hz], Z [Ohm], Fase [°]
9.950249999999999773e+01,2.924940000000000000e+06,-5.963069999999999737e+01
1.013509999999999991e+02,4.511690000000000000e+06,-7.373449999999999704e+01
1.032699999999999960e+02,4.822190000000000000e+06,-7.648420000000000130e+01
1.051520000000000010e+02,4.019100000000000000e+06,-8.717640000000000100e+01
1.071430000000000007e+02,3.802720000000000000e+06,-7.779479999999999507e+01
1.091310000000000002e+02,3.904450000000000000e+06,-7.511679999999999779e+01
1.111520000000000010e+02,4.018540000000000000e+06,-8.332970000000000255e+01
1.132500000000000000e+02,3.991310000000000000e+06,-8.031279999999999575e+01
1.153400000000000034e+02,3.806990000000000000e+06,-7.411069999999999425e+01
1.175090000000000003e+02,3.361140000000000000e+06,-7.936790000000000589e+01
1.197129999999999939e+02,3.683370000000000000e+06,-7.119549999999999557e+01
1.218520000000000039e+02,4.008130000000000000e+06,-7.059430000000000405e+01
1.241719999999999970e+02,3.525410000000000000e+06,-7.027370000000000516e+01
1.265289999999999964e+02,3.512910000000000000e+06,-7.214109999999999445e+01
1.288660000000000139e+02,3.475920000000000000e+06,-7.436499999999999488e+01
1.311759999999999877e+02,3.398270000000000000e+06,-7.346840000000000259e+01
1.336299999999999955e+02,3.859330000000000000e+06,-7.684560000000000457e+01
1.361160000000000139e+02,3.296770000000000000e+06,-7.217619999999999436e+01
1.386959999999999980e+02,3.772940000000000000e+06,-7.133820000000000050e+01
1.413089999999999975e+02,3.268470000000000000e+06,-7.167510000000000048e+01
1.439540000000000077e+02,3.424970000000000000e+06,-7.467759999999999820e+01
1.466279999999999859e+02,3.154620000000000000e+06,-7.396120000000000516e+01
1.493280000000000030e+02,3.577980000000000000e+06,-6.988939999999999486e+01
1.521299999999999955e+02,3.724460000000000000e+06,-7.178279999999999461e+01
1.549590000000000032e+02,3.215910000000000000e+06,-7.365260000000000673e+01
1.578950000000000102e+02,3.388000000000000000e+06,-8.070780000000000598e+01
1.607719999999999914e+02,3.206920000000000000e+06,-7.765160000000000196e+01
1.636659999999999968e+02,3.087420000000000000e+06,-7.602320000000000277e+01
1.667589999999999861e+02,3.266510000000000000e+06,-7.541750000000000398e+01
1.698750000000000000e+02,3.101140000000000000e+06,-7.019750000000000512e+01
1.730099999999999909e+02,2.846470000000000000e+06,-7.466190000000000282e+01
1.762630000000000052e+02,2.916030000000000000e+06,-7.862590000000000146e+01
1.795329999999999870e+02,2.932090000000000000e+06,-7.996269999999999811e+01
1.828149999999999977e+02,2.959070000000000000e+06,-7.722450000000000614e+01
1.863350000000000080e+02,3.091820000000000000e+06,-7.907470000000000709e+01
1.897529999999999859e+02,3.046400000000000000e+06,-7.999209999999999354e+01
1.934240000000000066e+02,2.972720000000000000e+06,-8.227320000000000277e+01
1.968499999999999943e+02,2.848130000000000000e+06,-7.880190000000000339e+01
2.006690000000000111e+02,2.717680000000000000e+06,-7.944759999999999422e+01
2.043600000000000136e+02,2.658900000000000000e+06,-8.146949999999999648e+01
2.080440000000000111e+02,2.639920000000000000e+06,-8.229319999999999879e+01
2.118640000000000043e+02,2.528440000000000000e+06,-7.990290000000000248e+01
2.158269999999999982e+02,2.509820000000000000e+06,-7.769780000000000086e+01
2.199410000000000025e+02,2.424310000000000000e+06,-7.725090000000000146e+01
2.242150000000000034e+02,2.379840000000000000e+06,-7.654410000000000025e+01
2.283110000000000070e+02,2.422380000000000000e+06,-8.112160000000000082e+01
2.323779999999999859e+02,2.461260000000000000e+06,-7.755289999999999395e+01
2.369670000000000130e+02,2.386850000000000000e+06,-7.961069999999999425e+01
2.413520000000000039e+02,2.224470000000000000e+06,-7.873999999999999488e+01
2.456999999999999886e+02,2.248080000000000000e+06,-7.765109999999999957e+01
2.504170000000000016e+02,2.151860000000000000e+06,-8.067740000000000578e+01
2.548849999999999909e+02,2.138710000000000000e+06,-7.642879999999999541e+01
2.597400000000000091e+02,2.082160000000000000e+06,-7.709050000000000580e+01
2.645500000000000114e+02,2.076280000000000000e+06,-7.872259999999999991e+01
2.695419999999999732e+02,2.098100000000000000e+06,-8.266549999999999443e+01
2.747250000000000227e+02,2.067090000000000000e+06,-8.012210000000000321e+01
2.798509999999999991e+02,2.105470000000000000e+06,-8.173539999999999850e+01
2.848999999999999773e+02,2.032610000000000000e+06,-8.313720000000000709e+01
2.901349999999999909e+02,2.012230000000000000e+06,-8.304980000000000473e+01
2.955659999999999741e+02,1.933570000000000000e+06,-8.193030000000000257e+01
3.012049999999999841e+02,1.986190000000000000e+06,-8.351760000000000161e+01
3.064350000000000023e+02,1.967650000000000000e+06,-8.358050000000000068e+01
3.125000000000000000e+02,1.872290000000000000e+06,-8.331029999999999802e+01
3.184710000000000036e+02,1.755370000000000000e+06,-8.169410000000000593e+01
3.239739999999999895e+02,1.815930000000000000e+06,-8.254640000000000555e+01
3.300330000000000155e+02,1.770140000000000000e+06,-8.338379999999999370e+01
3.359460000000000264e+02,1.716980000000000000e+06,-8.388020000000000209e+01
3.428570000000000277e+02,1.654830000000000000e+06,-8.384359999999999502e+01
3.488369999999999891e+02,1.704250000000000000e+06,-8.397599999999999909e+01
3.554499999999999886e+02,1.634970000000000000e+06,-8.359499999999999886e+01
3.623190000000000168e+02,1.640750000000000000e+06,-8.359120000000000061e+01
3.685500000000000114e+02,1.580520000000000000e+06,-8.470980000000000132e+01
3.754689999999999941e+02,1.542380000000000000e+06,-8.509170000000000300e+01
3.826530000000000200e+02,1.494050000000000000e+06,-8.497329999999999472e+01
3.896100000000000136e+02,1.495720000000000000e+06,-8.504279999999999973e+01
3.968249999999999886e+02,1.424110000000000000e+06,-8.508969999999999345e+01
4.048580000000000041e+02,1.433170000000000000e+06,-8.544289999999999452e+01
4.120880000000000223e+02,1.386690000000000000e+06,-8.443439999999999657e+01
4.195799999999999841e+02,1.373480000000000000e+06,-8.521649999999999636e+01
4.273500000000000227e+02,1.333840000000000000e+06,-8.529300000000000637e+01
4.360470000000000255e+02,1.314540000000000000e+06,-8.569299999999999784e+01
4.431309999999999718e+02,1.302120000000000000e+06,-8.500920000000000698e+01
4.518070000000000164e+02,1.299220000000000000e+06,-8.581239999999999668e+01
4.608290000000000077e+02,1.260720000000000000e+06,-8.524360000000000070e+01
4.687500000000000000e+02,1.257180000000000000e+06,-8.522709999999999297e+01
4.777069999999999936e+02,1.233590000000000000e+06,-8.491160000000000707e+01
4.870129999999999768e+02,1.195640000000000000e+06,-8.660989999999999611e+01
4.950489999999999782e+02,1.164620000000000000e+06,-8.499460000000000548e+01
5.050509999999999877e+02,1.152630000000000000e+06,-8.557070000000000221e+01
5.145800000000000409e+02,1.145250000000000000e+06,-8.546290000000000475e+01
