# Frecuencia [Hz], Z [Ohm], Fase []
2.000000000000000000e+01,4.724230000000000000e+05,-1.876009999999999900e-01
2.037209999999999965e+01,4.681890000000000000e+05,-1.455450000000000077e-01
2.075120000000000076e+01,4.796690000000000000e+05,-7.903480000000000505e-01
2.114020000000000010e+01,2.773070000000000000e+05,-2.051530000000000020e-01
2.153320000000000078e+01,2.742890000000000000e+05,-1.860809999999999964e-01
2.193299999999999983e+01,2.812860000000000000e+05,-3.304670000000000107e-01
2.234140000000000015e+01,2.893090000000000000e+05,-1.086209999999999953e-01
2.275829999999999842e+01,2.551180000000000000e+05,-1.048359999999999917e-02
2.318029999999999902e+01,2.433300000000000000e+05,-3.076349999999999918e-01
2.361280000000000001e+01,3.121520000000000000e+05,-5.680100000000000149e-01
2.405000000000000071e+01,2.960680000000000000e+05,-9.310389999999999500e-01
2.449980000000000047e+01,2.321530000000000000e+05,-7.548939999999999539e-01
2.495429999999999993e+01,2.773750000000000000e+05,-9.616890000000000160e-01
2.541939999999999955e+01,2.683370000000000000e+05,-5.617849999999999788e-01
2.589110000000000156e+01,1.071760000000000000e+05,-2.453750000000000098e-01
2.637590000000000146e+01,1.089600000000000000e+05,-1.240350000000000064e-01
2.686730000000000018e+01,1.088730000000000000e+05,-5.992669999999999941e-01
2.736730000000000018e+01,1.092290000000000000e+05,-2.483130000000000059e-01
2.787330000000000041e+01,1.131930000000000000e+05,-1.298910000000000065e-01
2.839560000000000173e+01,1.214550000000000000e+05,-7.386479999999999435e-02
2.892119999999999891e+01,1.228420000000000000e+05,-1.261410000000000031e-01
2.946379999999999910e+01,1.167030000000000000e+05,-5.961269999999999625e-01
3.000600000000000023e+01,1.475370000000000000e+05,-4.720650000000000124e-01
3.056859999999999999e+01,1.895230000000000000e+05,-3.756280000000000174e-01
3.113329999999999842e+01,2.109380000000000000e+05,-3.687090000000000090e-01
3.171249999999999858e+01,2.046490000000000000e+05,-6.086610000000000076e-01
3.230319999999999681e+01,2.201720000000000000e+05,-1.009710000000000107e+00
3.290919999999999845e+01,2.583910000000000000e+05,-1.528610000000000024e+00
3.352329999999999899e+01,2.784970000000000000e+05,-1.654239999999999933e+00
3.414130000000000109e+01,3.803320000000000000e+05,-3.262789999999999857e-01
3.478260000000000218e+01,3.967720000000000000e+05,-1.255309999999999926e+00
3.542329999999999757e+01,3.978850000000000000e+05,-1.007970000000000033e+00
3.608809999999999718e+01,4.292450000000000000e+05,-1.495780000000000109e+00
3.676019999999999754e+01,4.411020000000000000e+05,-1.538899999999999935e+00
3.743919999999999959e+01,4.707810000000000000e+05,-3.138750000000000151e-01
3.814370000000000260e+01,5.062140000000000000e+05,-2.411259999999999959e+00
3.884499999999999886e+01,4.936400000000000000e+05,-3.734859999999999847e+00
3.956739999999999924e+01,4.921560000000000000e+05,-3.495639999999999858e+00
4.030630000000000024e+01,4.933240000000000000e+05,2.252799999999999941e-02
4.105649999999999977e+01,4.922430000000000000e+05,-3.523330000000000073e+00
4.182350000000000279e+01,4.878830000000000000e+05,-2.890019999999999811e+00
4.260150000000000148e+01,5.000400000000000000e+05,-1.158819999999999961e+00
