# Mon Jun 26 19:09:06 2023
#  Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,9.581050000000000000e+06,-9.082299999999999329e+01
2.296740000000000137e+01,6.190170000000000000e+07,-1.291239999999999952e+02
2.637590000000000146e+01,8.316400000000000000e+06,-7.922899999999999920e+01
3.028770000000000095e+01,1.448750000000000000e+07,-7.781210000000000093e+01
3.478260000000000218e+01,5.573030000000000000e+06,-8.881550000000000011e+01
3.993610000000000326e+01,3.554930000000000000e+06,-7.431740000000000634e+01
4.586449999999999960e+01,5.095900000000000000e+06,-8.732500000000000284e+01
5.265930000000000177e+01,4.111560000000000000e+06,-1.255499999999999972e+02
6.048389999999999844e+01,8.823920000000000000e+06,-6.542249999999999943e+01
6.944440000000000168e+01,2.791210000000000000e+06,-8.793080000000000496e+01
7.976600000000000534e+01,2.567040000000000000e+06,-1.008979999999999961e+02
9.157510000000000616e+01,2.982410000000000000e+06,-9.359390000000000498e+01
1.051520000000000010e+02,3.203200000000000000e+06,-1.020639999999999930e+02
1.208220000000000027e+02,1.746310000000000000e+06,-1.193949999999999960e+02
1.386959999999999980e+02,1.439680000000000000e+06,-7.709550000000000125e+01
1.593199999999999932e+02,1.571670000000000000e+06,-1.055900000000000034e+02
1.828149999999999977e+02,1.517740000000000000e+06,-7.821639999999999304e+01
2.099370000000000118e+02,1.460780000000000000e+06,-9.997539999999999338e+01
2.413520000000000039e+02,9.717730000000000000e+05,-8.170640000000000214e+01
2.770079999999999814e+02,9.667080000000000000e+05,-8.767789999999999395e+01
3.184710000000000036e+02,8.655180000000000000e+05,-8.666779999999999973e+01
3.329630000000000223e+02,8.467080000000000000e+05,-8.735599999999999454e+01
3.488369999999999891e+02,8.323810000000000000e+05,-8.513209999999999411e+01
3.654080000000000155e+02,7.645180000000000000e+05,-8.997369999999999379e+01
3.826530000000000200e+02,6.997360000000000000e+05,-8.884820000000000562e+01
4.005339999999999918e+02,6.793850000000000000e+05,-9.304279999999999973e+01
4.195799999999999841e+02,6.310710000000000000e+05,-8.617390000000000327e+01
4.398829999999999814e+02,6.070820000000000000e+05,-8.662770000000000437e+01
4.608290000000000077e+02,5.643650000000000000e+05,-9.096710000000000207e+01
4.823149999999999977e+02,5.658160000000000000e+05,-8.819490000000000407e+01
5.050509999999999877e+02,5.378410000000000000e+05,-8.681100000000000705e+01
5.281689999999999827e+02,4.963210000000000000e+05,-8.784449999999999648e+01
5.545289999999999964e+02,4.761730000000000000e+05,-8.977410000000000423e+01
5.802709999999999582e+02,4.620250000000000000e+05,-8.791899999999999693e+01
6.072870000000000346e+02,4.498070000000000000e+05,-8.868880000000000052e+01
6.355929999999999609e+02,4.211410000000000000e+05,-8.817529999999999291e+01
6.651879999999999882e+02,4.058810000000000000e+05,-8.959799999999999898e+01
6.976739999999999782e+02,3.896370000000000000e+05,-8.817529999999999291e+01
7.299270000000000209e+02,3.641350000000000000e+05,-8.863949999999999818e+01
7.653060000000000400e+02,3.510140000000000000e+05,-8.697929999999999495e+01
8.000000000000000000e+02,3.430580000000000000e+05,-9.025109999999999388e+01
8.403360000000000127e+02,3.263440000000000000e+05,-8.773470000000000368e+01
8.771929999999999836e+02,3.020010000000000000e+05,-8.890850000000000364e+01
9.202450000000000045e+02,2.882210000000000000e+05,-8.767079999999999984e+01
9.615380000000000109e+02,2.786750000000000000e+05,-8.746139999999999759e+01
1.006710000000000036e+03,2.664520000000000000e+05,-8.734690000000000509e+01
1.060069999999999936e+03,2.529200000000000000e+05,-8.763150000000000261e+01
1.107009999999999991e+03,2.427950000000000000e+05,-8.763530000000000086e+01
1.158299999999999955e+03,2.319770000000000000e+05,-8.711520000000000152e+01
1.214569999999999936e+03,2.220850000000000000e+05,-8.739170000000000016e+01
1.276599999999999909e+03,2.123260000000000000e+05,-8.665980000000000416e+01
1.327430000000000064e+03,2.033620000000000000e+05,-8.679710000000000036e+01
1.401869999999999891e+03,1.907130000000000000e+05,-8.661209999999999809e+01
1.456309999999999945e+03,1.862400000000000000e+05,-8.644490000000000407e+01
1.530609999999999900e+03,1.786270000000000000e+05,-8.639149999999999352e+01
1.595740000000000009e+03,1.712440000000000000e+05,-8.752500000000000568e+01
1.685390000000000100e+03,1.626560000000000000e+05,-8.692700000000000671e+01
1.764710000000000036e+03,1.538230000000000000e+05,-8.617910000000000537e+01
1.840490000000000009e+03,1.471040000000000000e+05,-8.647159999999999513e+01
1.935480000000000018e+03,1.408180000000000000e+05,-8.553260000000000218e+01
2.013420000000000073e+03,1.344330000000000000e+05,-8.559210000000000207e+01
2.127659999999999854e+03,1.271780000000000000e+05,-8.585649999999999693e+01
2.205880000000000109e+03,1.235340000000000000e+05,-8.585009999999999764e+01
2.307690000000000055e+03,1.170720000000000000e+05,-8.555540000000000589e+01
2.419349999999999909e+03,1.128160000000000000e+05,-8.542959999999999354e+01
2.542369999999999891e+03,1.073220000000000000e+05,-8.537059999999999604e+01
2.678570000000000164e+03,1.018800000000000000e+05,-8.467589999999999861e+01
2.803739999999999782e+03,9.700410000000000582e+04,-8.469790000000000418e+01
2.912619999999999891e+03,9.383050000000000000e+04,-8.433939999999999770e+01
3.061219999999999800e+03,8.931750000000000000e+04,-8.440649999999999409e+01
3.260869999999999891e+03,8.412189999999999418e+04,-8.376970000000000027e+01
3.409090000000000146e+03,8.063319999999999709e+04,-8.366899999999999693e+01
3.658539999999999964e+03,7.492689999999999418e+04,-8.336090000000000089e+01
3.846150000000000091e+03,7.158350000000000000e+04,-8.307080000000000553e+01
4.166670000000000073e+03,6.624539999999999418e+04,-8.233209999999999695e+01
