# Mon Jun 26 19:00:05 2023
#  Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,2.415370000000000000e+07,-7.700109999999999566e+00
2.296740000000000137e+01,1.165390000000000000e+07,-1.759400000000000119e+01
2.637590000000000146e+01,1.927160000000000000e+07,-9.799309999999999832e+01
3.028770000000000095e+01,3.357490000000000000e+07,-1.033739999999999952e+02
3.478260000000000218e+01,1.168530000000000000e+07,-1.311440000000000055e+02
3.993610000000000326e+01,1.420470000000000000e+07,1.039849999999999994e+02
4.586449999999999960e+01,1.294700000000000000e+07,-1.130969999999999942e+02
5.265930000000000177e+01,7.090200000000000000e+06,-5.523780000000000001e+01
6.048389999999999844e+01,5.310240000000000000e+06,-9.253499999999999659e+01
6.944440000000000168e+01,9.172470000000000000e+06,1.568449999999999989e+02
7.976600000000000534e+01,4.808380000000000000e+06,-9.179890000000000327e+01
9.157510000000000616e+01,4.505790000000000000e+06,-8.050759999999999650e+01
1.051520000000000010e+02,3.933670000000000000e+06,-9.689199999999999591e+01
1.208220000000000027e+02,3.746570000000000000e+06,-3.086530000000000129e+01
1.386959999999999980e+02,9.957070000000000000e+06,-7.696750000000000114e+01
1.593199999999999932e+02,2.843040000000000000e+06,-1.215330000000000013e+02
1.828149999999999977e+02,3.043540000000000000e+06,-1.036800000000000068e+02
2.099370000000000118e+02,2.996330000000000000e+06,-1.174140000000000015e+02
2.413520000000000039e+02,4.839300000000000000e+06,-8.042050000000000409e+01
2.770079999999999814e+02,3.065030000000000000e+06,-9.172920000000000584e+01
3.184710000000000036e+02,3.444040000000000000e+06,-9.239570000000000505e+01
3.329630000000000223e+02,2.383990000000000000e+06,-1.014669999999999987e+02
3.488369999999999891e+02,2.416080000000000000e+06,-1.083340000000000032e+02
3.654080000000000155e+02,2.363060000000000000e+06,-9.160280000000000200e+01
3.826530000000000200e+02,2.144700000000000000e+06,-7.948560000000000514e+01
4.005339999999999918e+02,2.098500000000000000e+06,-8.847270000000000323e+01
4.195799999999999841e+02,1.812350000000000000e+06,-9.275589999999999691e+01
4.398829999999999814e+02,1.788000000000000000e+06,-8.233820000000000050e+01
4.608290000000000077e+02,2.071300000000000000e+06,-8.880329999999999302e+01
4.823149999999999977e+02,1.726050000000000000e+06,-9.398050000000000637e+01
5.050509999999999877e+02,2.203760000000000000e+06,-9.191939999999999600e+01
5.281689999999999827e+02,1.655510000000000000e+06,-8.721150000000000091e+01
5.545289999999999964e+02,1.578660000000000000e+06,-8.954789999999999850e+01
5.802709999999999582e+02,1.398440000000000000e+06,-8.821420000000000528e+01
6.072870000000000346e+02,1.371620000000000000e+06,-8.862099999999999511e+01
6.355929999999999609e+02,1.296080000000000000e+06,-8.940770000000000550e+01
6.651879999999999882e+02,1.281460000000000000e+06,-9.236719999999999686e+01
6.976739999999999782e+02,1.272450000000000000e+06,-8.985720000000000596e+01
7.299270000000000209e+02,1.116570000000000000e+06,-9.031220000000000425e+01
7.653060000000000400e+02,1.091340000000000000e+06,-8.475780000000000314e+01
8.000000000000000000e+02,1.095400000000000000e+06,-8.873189999999999600e+01
8.403360000000000127e+02,1.034490000000000000e+06,-8.772520000000000095e+01
8.771929999999999836e+02,9.528700000000000000e+05,-8.648399999999999466e+01
9.202450000000000045e+02,9.525210000000000000e+05,-9.281449999999999534e+01
9.615380000000000109e+02,9.169090000000000000e+05,-8.765340000000000487e+01
1.006710000000000036e+03,8.694970000000000000e+05,-8.790399999999999636e+01
1.060069999999999936e+03,8.356480000000000000e+05,-9.090949999999999420e+01
1.107009999999999991e+03,7.801760000000000000e+05,-8.749710000000000321e+01
1.158299999999999955e+03,7.585660000000000000e+05,-8.697960000000000491e+01
1.214569999999999936e+03,7.082450000000000000e+05,-8.901539999999999964e+01
1.276599999999999909e+03,6.762910000000000000e+05,-8.737770000000000437e+01
1.327430000000000064e+03,6.298750000000000000e+05,-8.846859999999999502e+01
1.401869999999999891e+03,6.166340000000000000e+05,-8.854919999999999902e+01
1.456309999999999945e+03,5.859080000000000000e+05,-8.749909999999999854e+01
1.530609999999999900e+03,5.763740000000000000e+05,-8.861920000000000641e+01
1.595740000000000009e+03,5.451300000000000000e+05,-8.838280000000000314e+01
1.685390000000000100e+03,5.164050000000000000e+05,-8.957580000000000098e+01
1.764710000000000036e+03,4.987570000000000000e+05,-8.878889999999999816e+01
1.840490000000000009e+03,4.747000000000000000e+05,-8.779210000000000491e+01
1.935480000000000018e+03,4.537520000000000000e+05,-8.970959999999999468e+01
2.013420000000000073e+03,4.183290000000000000e+05,-8.598040000000000305e+01
2.127659999999999854e+03,4.095930000000000000e+05,-8.917600000000000193e+01
2.205880000000000109e+03,3.961490000000000000e+05,-8.764490000000000691e+01
2.307690000000000055e+03,3.734280000000000000e+05,-8.854989999999999384e+01
2.419349999999999909e+03,3.662840000000000000e+05,-8.762860000000000582e+01
2.542369999999999891e+03,3.392290000000000000e+05,-8.761629999999999541e+01
2.678570000000000164e+03,3.293020000000000000e+05,-8.839270000000000493e+01
2.803739999999999782e+03,3.129400000000000000e+05,-8.763219999999999743e+01
2.912619999999999891e+03,2.949780000000000000e+05,-8.717870000000000630e+01
3.061219999999999800e+03,2.845590000000000000e+05,-8.676019999999999754e+01
3.260869999999999891e+03,2.684850000000000000e+05,-8.698850000000000193e+01
3.409090000000000146e+03,2.583850000000000000e+05,-8.763590000000000657e+01
3.658539999999999964e+03,2.387760000000000000e+05,-8.635859999999999559e+01
3.846150000000000091e+03,2.242550000000000000e+05,-8.640760000000000218e+01
4.166670000000000073e+03,2.115600000000000000e+05,-8.593179999999999552e+01
4.411760000000000218e+03,1.989260000000000000e+05,-8.588549999999999329e+01
4.761899999999999636e+03,1.846790000000000000e+05,-8.615250000000000341e+01
5.172409999999999854e+03,1.720160000000000000e+05,-8.622310000000000230e+01
5.769229999999999563e+03,1.533650000000000000e+05,-8.501489999999999725e+01
6.250000000000000000e+03,1.416630000000000000e+05,-8.479470000000000596e+01
6.976739999999999782e+03,1.279290000000000000e+05,-8.439069999999999538e+01
7.317069999999999709e+03,1.216240000000000000e+05,-8.453189999999999316e+01
7.317069999999999709e+03,1.216150000000000000e+05,-8.468680000000000518e+01
7.500000000000000000e+03,1.193500000000000000e+05,-8.389490000000000691e+01
7.894739999999999782e+03,1.130590000000000000e+05,-8.424920000000000186e+01
