# Mon Jun 26 20:18:28 2023
#  Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.056970000000000000e+07,-2.157320000000000071e-01
2.094529999999999959e+01,1.332910000000000000e+07,-1.438990000000000080e+01
2.193299999999999983e+01,7.765330000000000000e+06,6.796750000000000291e+00
2.296740000000000137e+01,7.392780000000000000e+06,-2.780989999999999895e+01
2.405000000000000071e+01,9.685900000000000000e+06,-6.563930000000000042e+00
2.518680000000000163e+01,8.509060000000000000e+06,-1.418469999999999942e+01
2.637590000000000146e+01,1.199170000000000000e+07,1.244469999999999921e+01
2.761919999999999931e+01,9.326880000000000000e+06,-6.171209999999999951e+01
2.892119999999999891e+01,1.315680000000000000e+07,2.970090000000000074e+01
3.028770000000000095e+01,7.938250000000000000e+06,-1.679439999999999955e+01
3.171249999999999858e+01,9.671250000000000000e+06,-1.143660000000000032e+01
3.321520000000000294e+01,4.846410000000000000e+06,-4.934709999999999752e+01
3.478260000000000218e+01,1.658010000000000000e+07,-1.919499999999999984e+00
3.642099999999999937e+01,1.085560000000000000e+07,-4.502470000000000283e+01
3.814370000000000260e+01,5.712000000000000000e+06,-8.246259999999999479e+01
3.993610000000000326e+01,3.247690000000000000e+07,5.620139999999999958e+01
4.182350000000000279e+01,6.398180000000000000e+06,-4.308910000000000196e+01
4.380199999999999960e+01,6.291610000000000000e+06,-3.501140000000000185e+01
4.586449999999999960e+01,1.493720000000000000e+07,-2.617749999999999844e+01
4.802309999999999945e+01,1.897790000000000000e+07,1.188569999999999993e+02
5.029339999999999833e+01,6.907390000000000000e+06,-1.283000000000000114e+02
5.265930000000000177e+01,4.666930000000000000e+06,-1.542769999999999975e+01
5.514710000000000178e+01,8.038010000000000000e+06,-9.327679999999999438e+01
5.775900000000000034e+01,5.570120000000000000e+06,-3.447409999999999997e+01
6.048389999999999844e+01,1.073680000000000000e+07,-5.049029999999999774e+01
6.333120000000000260e+01,6.336640000000000000e+06,-1.043289999999999935e+02
6.632769999999999300e+01,3.287790000000000000e+06,-5.080030000000000001e+01
6.944440000000000168e+01,3.698150000000000000e+06,-3.354440000000000310e+01
7.272729999999999961e+01,3.298440000000000000e+06,-5.665939999999999799e+01
7.614209999999999923e+01,1.078840000000000000e+07,1.404659999999999975e+01
7.976600000000000534e+01,6.434350000000000000e+06,-4.356049999999999756e+01
8.351890000000000214e+01,5.841410000000000000e+06,-6.778940000000000055e+01
8.743810000000000571e+01,2.673710000000000000e+06,-5.599849999999999994e+01
9.157510000000000616e+01,8.926160000000000000e+06,-1.113610000000000042e+02
9.587730000000000530e+01,3.596020000000000000e+06,-4.958970000000000056e+01
1.004350000000000023e+02,3.035210000000000000e+06,-6.092190000000000083e+01
1.051520000000000010e+02,4.792560000000000000e+06,-6.235840000000000316e+01
1.101320000000000050e+02,4.003020000000000000e+06,-9.475459999999999638e+01
1.153400000000000034e+02,3.786490000000000000e+06,-1.291330000000000098e+02
1.208220000000000027e+02,2.172750000000000000e+06,-4.170159999999999911e+01
1.265289999999999964e+02,7.993450000000000000e+06,4.961509999999999820e+01
1.324499999999999886e+02,4.541910000000000000e+06,-2.001980000000000004e+01
1.386959999999999980e+02,3.141670000000000000e+06,-5.342660000000000053e+01
1.452079999999999984e+02,9.581080000000000000e+06,-1.319310000000000116e+02
1.521299999999999955e+02,2.610780000000000000e+06,-8.666949999999999932e+01
1.593199999999999932e+02,2.834640000000000000e+06,-1.956490000000000151e+01
1.667589999999999861e+02,2.799290000000000000e+06,-4.791519999999999868e+01
1.747230000000000132e+02,3.286310000000000000e+06,-9.794620000000000459e+01
1.828149999999999977e+02,2.290420000000000000e+06,-5.851089999999999947e+01
1.915709999999999980e+02,4.542200000000000000e+06,-8.621339999999999293e+01
2.006690000000000111e+02,2.868900000000000000e+06,-7.916169999999999618e+01
2.099370000000000118e+02,4.351970000000000000e+06,-7.921920000000000073e+01
2.199410000000000025e+02,2.167430000000000000e+06,-5.927190000000000225e+01
2.304149999999999920e+02,2.340530000000000000e+06,-4.542309999999999803e+01
2.413520000000000039e+02,3.395480000000000000e+06,-1.043700000000000045e+02
2.525250000000000057e+02,2.359650000000000000e+06,-4.322789999999999822e+01
2.645500000000000114e+02,2.027210000000000000e+06,-7.164010000000000389e+01
2.770079999999999814e+02,1.972180000000000000e+06,-5.875710000000000122e+01
2.901349999999999909e+02,3.341150000000000000e+06,-5.723640000000000327e+01
3.039510000000000218e+02,2.268170000000000000e+06,-8.776309999999999434e+01
3.184710000000000036e+02,2.003960000000000000e+06,-7.628050000000000352e+01
