# Mon Jun 26 17:58:22 2023
#  Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.703680000000000000e+07,-5.317709999999999937e+00
2.037209999999999965e+01,2.274850000000000000e+07,2.017800000000000082e+01
2.075120000000000076e+01,1.333610000000000000e+07,-1.561699999999999875e+02
2.114020000000000010e+01,2.833530000000000000e+07,-2.970060000000000144e+01
2.153320000000000078e+01,1.458760000000000000e+07,-1.251350000000000051e+02
2.193299999999999983e+01,5.813900000000000000e+08,-1.755389999999999873e+02
2.234140000000000015e+01,2.992610000000000000e+07,1.514650000000000034e+02
2.275829999999999842e+01,2.015540000000000000e+07,2.061739999999999995e+01
2.318029999999999902e+01,5.206300000000000000e+07,6.256839999999999691e+01
2.361280000000000001e+01,1.458140000000000000e+08,7.730289999999999395e+01
2.405000000000000071e+01,1.847030000000000000e+07,-1.534859999999999900e+02
2.449980000000000047e+01,2.144140000000000000e+08,1.037439999999999998e+02
2.495429999999999993e+01,5.249680000000000000e+07,-1.316459999999999866e+02
2.541939999999999955e+01,2.315970000000000000e+07,1.549710000000000036e+02
2.589110000000000156e+01,4.393320000000000000e+07,-5.747449999999999903e+01
2.637590000000000146e+01,6.637370000000000000e+07,-8.271869999999999834e+01
2.686730000000000018e+01,1.707390000000000000e+07,-1.382849999999999966e+02
2.736730000000000018e+01,2.742030000000000000e+07,-4.783420000000000272e+01
2.787330000000000041e+01,3.773980000000000000e+07,1.182489999999999952e+02
2.839560000000000173e+01,1.634900000000000000e+07,3.089770000000000039e+01
2.892119999999999891e+01,1.301090000000000000e+07,-7.223160000000000025e+01
2.946379999999999910e+01,4.540460000000000000e+07,-1.472100000000000080e+02
3.000600000000000023e+01,1.229340000000000000e+07,1.454850000000000136e+02
3.056859999999999999e+01,3.601990000000000000e+07,7.122490000000000521e+01
3.113329999999999842e+01,2.863200000000000000e+07,-4.314320000000000377e+00
3.171249999999999858e+01,1.415840000000000000e+07,7.319719999999999516e+01
3.230319999999999681e+01,1.121490000000000000e+07,8.358960000000000434e+01
3.290919999999999845e+01,8.093710000000000000e+06,-4.388309999999999889e+01
3.352329999999999899e+01,9.495860000000000000e+06,-8.434470000000000312e+01
3.414130000000000109e+01,8.512980000000000000e+06,1.807029999999999914e+00
3.478260000000000218e+01,1.263920000000000000e+07,-1.665749999999999886e+02
3.542329999999999757e+01,3.880580000000000000e+07,-1.622659999999999911e+02
3.608809999999999718e+01,4.173880000000000000e+07,1.040720000000000027e+02
3.676019999999999754e+01,3.692680000000000000e+07,-1.031359999999999957e+02
3.743919999999999959e+01,3.244830000000000000e+07,-8.546490000000000009e+01
3.814370000000000260e+01,7.428490000000000000e+06,3.099780000000000157e+01
3.884499999999999886e+01,1.607790000000000000e+07,-5.911140000000000327e+01
3.956739999999999924e+01,7.322840000000000000e+06,-4.297639999999999816e+01
4.030630000000000024e+01,6.078480000000000000e+06,2.126490000000000080e+01
4.105649999999999977e+01,1.074580000000000000e+07,-1.413580000000000041e+02
4.182350000000000279e+01,1.167570000000000000e+07,1.161050000000000040e+02
4.260150000000000148e+01,1.036470000000000000e+07,-2.975039999999999907e+01
4.339020000000000010e+01,1.317350000000000000e+07,7.327479999999999905e+01
4.420219999999999771e+01,1.925030000000000000e+07,-5.261630000000000251e+01
4.501800000000000068e+01,1.043450000000000000e+07,-6.124269999999999925e+01
4.586449999999999960e+01,1.778390000000000000e+07,1.454060000000000059e+02
4.671439999999999770e+01,2.436090000000000000e+07,-1.649120000000000061e+02
4.758129999999999882e+01,1.113790000000000000e+07,1.018889999999999958e+02
4.846529999999999916e+01,9.000730000000000000e+06,-8.469899999999999807e+01
4.936650000000000205e+01,6.103490000000000000e+06,1.082729999999999961e+02
5.029339999999999833e+01,5.459530000000000000e+06,-1.326779999999999973e+02
5.122950000000000159e+01,4.500380000000000000e+06,-1.566879999999999882e+02
5.218299999999999983e+01,6.007180000000000000e+06,1.696040000000000134e+02
5.314439999999999742e+01,1.311930000000000000e+07,-8.050929999999999609e+01
5.415160000000000196e+01,1.027310000000000000e+07,1.672779999999999845e+01
5.514710000000000178e+01,9.248610000000000000e+06,-1.673810000000000002e+02
