# Mon Jun 26 18:18:12 2023
#  Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,4.533900000000000000e+07,-1.570360000000000014e+02
2.075120000000000076e+01,1.179700000000000000e+07,-7.013169999999999504e+01
2.153320000000000078e+01,7.547480000000000000e+06,-5.384239999999999782e+01
2.234140000000000015e+01,1.464730000000000000e+07,-1.260360000000000014e+02
2.318029999999999902e+01,1.033760000000000000e+07,-8.614759999999999707e+01
2.405000000000000071e+01,6.327790000000000000e+06,-9.819700000000000273e+01
2.495429999999999993e+01,7.247450000000000000e+06,-7.348930000000000007e+01
2.589110000000000156e+01,1.039940000000000000e+07,-9.044370000000000687e+01
2.686730000000000018e+01,9.704880000000000000e+06,-7.729340000000000543e+01
2.787330000000000041e+01,6.682660000000000000e+06,-1.014959999999999951e+02
2.892119999999999891e+01,4.617760000000000000e+06,-8.453130000000000166e+01
3.000600000000000023e+01,6.242280000000000000e+06,-7.767489999999999384e+01
3.113329999999999842e+01,9.880390000000000000e+06,-7.989079999999999870e+01
3.230319999999999681e+01,1.766500000000000000e+07,-6.277669999999999817e+01
3.352329999999999899e+01,4.850180000000000000e+06,-1.090409999999999968e+02
3.478260000000000218e+01,5.913950000000000000e+06,-6.881210000000000093e+01
3.608809999999999718e+01,6.690640000000000000e+06,-8.770780000000000598e+01
3.743919999999999959e+01,4.038030000000000000e+06,-9.873090000000000543e+01
3.884499999999999886e+01,3.216030000000000000e+06,-1.040229999999999961e+02
4.030630000000000024e+01,6.126730000000000000e+06,-1.348820000000000050e+02
4.182350000000000279e+01,5.695890000000000000e+06,-8.898180000000000689e+01
4.339020000000000010e+01,4.405150000000000000e+06,-7.951550000000000296e+01
4.501800000000000068e+01,4.255510000000000000e+06,-1.003139999999999930e+02
4.671439999999999770e+01,4.512490000000000000e+06,-7.793309999999999604e+01
4.846529999999999916e+01,1.402460000000000000e+07,-8.232009999999999650e+01
5.029339999999999833e+01,2.847580000000000000e+06,-8.956659999999999400e+01
5.218299999999999983e+01,3.598810000000000000e+06,-8.546139999999999759e+01
5.415160000000000196e+01,5.603680000000000000e+06,-6.152459999999999951e+01
5.616929999999999978e+01,3.791080000000000000e+06,-9.026390000000000668e+01
5.828640000000000043e+01,3.685310000000000000e+06,-7.733469999999999800e+01
6.048389999999999844e+01,3.303100000000000000e+06,-1.108179999999999978e+02
6.274839999999999662e+01,3.022130000000000000e+06,-1.096320000000000050e+02
6.510420000000000584e+01,2.784450000000000000e+06,-1.006310000000000002e+02
6.755240000000000578e+01,4.231780000000000000e+06,-4.435379999999999967e+01
7.007710000000000150e+01,2.668530000000000000e+06,-7.202729999999999677e+01
7.272729999999999961e+01,3.345520000000000000e+06,-9.645619999999999550e+01
7.547169999999999845e+01,2.721220000000000000e+06,-7.192379999999999995e+01
7.828810000000000002e+01,3.713490000000000000e+06,-8.898720000000000141e+01
8.125679999999999836e+01,3.529130000000000000e+06,-8.858790000000000475e+01
8.429330000000000211e+01,3.376470000000000000e+06,-9.629290000000000305e+01
8.743810000000000571e+01,4.171350000000000000e+06,-9.922249999999999659e+01
9.074410000000000309e+01,2.707030000000000000e+06,-8.852740000000000009e+01
9.413240000000000407e+01,1.774010000000000000e+06,-9.388580000000000325e+01
9.768800000000000239e+01,2.490410000000000000e+06,-1.203340000000000032e+02
1.013509999999999991e+02,2.138360000000000000e+06,-7.555849999999999511e+01
1.051520000000000010e+02,2.631740000000000000e+06,-7.295109999999999673e+01
1.091310000000000002e+02,1.943650000000000000e+06,-8.373239999999999839e+01
1.132500000000000000e+02,1.975930000000000000e+06,-8.847209999999999752e+01
1.175090000000000003e+02,1.678930000000000000e+06,-6.587030000000000030e+01
1.218520000000000039e+02,3.831230000000000000e+06,-1.107750000000000057e+02
1.265289999999999964e+02,1.326730000000000000e+06,-9.380719999999999459e+01
1.311759999999999877e+02,1.808740000000000000e+06,-7.566960000000000264e+01
1.361160000000000139e+02,1.572320000000000000e+06,-7.767369999999999663e+01
1.413089999999999975e+02,1.079160000000000000e+06,-8.418099999999999739e+01
1.466279999999999859e+02,2.078590000000000000e+06,-1.059689999999999941e+02
1.521299999999999955e+02,1.527790000000000000e+06,-8.485800000000000409e+01
1.578950000000000102e+02,1.536470000000000000e+06,-1.024479999999999933e+02
1.636659999999999968e+02,1.801840000000000000e+06,-6.749399999999999977e+01
1.698750000000000000e+02,1.206580000000000000e+06,-9.601250000000000284e+01
1.762630000000000052e+02,1.409490000000000000e+06,-7.970329999999999870e+01
1.828149999999999977e+02,1.299840000000000000e+06,-8.003489999999999327e+01
1.897529999999999859e+02,1.203210000000000000e+06,-7.242549999999999955e+01
1.968499999999999943e+02,9.996190000000000000e+05,-9.304250000000000398e+01
2.043600000000000136e+02,1.254290000000000000e+06,-7.802760000000000673e+01
2.118640000000000043e+02,1.041010000000000000e+06,-7.452089999999999748e+01
2.199410000000000025e+02,9.499210000000000000e+05,-7.878979999999999961e+01
2.283110000000000070e+02,1.157000000000000000e+06,-8.738779999999999859e+01
2.369670000000000130e+02,1.197380000000000000e+06,-7.705200000000000671e+01
2.456999999999999886e+02,1.089950000000000000e+06,-8.563779999999999859e+01
2.548849999999999909e+02,8.441180000000000000e+05,-8.286339999999999861e+01
2.645500000000000114e+02,9.690280000000000000e+05,-7.575069999999999482e+01
2.747250000000000227e+02,8.750850000000000000e+05,-7.916360000000000241e+01
2.848999999999999773e+02,7.827490000000000000e+05,-8.281399999999999295e+01
2.955659999999999741e+02,7.747210000000000000e+05,-8.019499999999999318e+01
3.064350000000000023e+02,8.520400000000000000e+05,-8.884290000000000020e+01
3.184710000000000036e+02,7.645580000000000000e+05,-7.889170000000000016e+01
3.300330000000000155e+02,8.020990000000000000e+05,-7.988299999999999557e+01
3.428570000000000277e+02,7.220660000000000000e+05,-8.025469999999999970e+01
3.554499999999999886e+02,7.512890000000000000e+05,-8.081889999999999930e+01
3.685500000000000114e+02,6.732430000000000000e+05,-8.192379999999999995e+01
3.826530000000000200e+02,6.553750000000000000e+05,-8.019870000000000232e+01
3.968249999999999886e+02,6.424660000000000000e+05,-7.706449999999999534e+01
4.120880000000000223e+02,6.160970000000000000e+05,-8.097180000000000177e+01
4.273500000000000227e+02,6.092540000000000000e+05,-8.031340000000000146e+01
4.431309999999999718e+02,6.313540000000000000e+05,-7.979009999999999536e+01
4.608290000000000077e+02,5.581790000000000000e+05,-8.226779999999999404e+01
4.777069999999999936e+02,5.312000000000000000e+05,-8.031480000000000530e+01
4.950489999999999782e+02,5.144980000000000000e+05,-8.265810000000000457e+01
5.145800000000000409e+02,5.002290000000000000e+05,-7.785710000000000264e+01
5.338079999999999927e+02,5.083510000000000000e+05,-7.752009999999999934e+01
5.545289999999999964e+02,4.749170000000000000e+05,-7.804510000000000502e+01
5.747129999999999654e+02,4.683300000000000000e+05,-7.888249999999999318e+01
5.952380000000000564e+02,4.747240000000000000e+05,-7.649179999999999779e+01
6.198350000000000364e+02,4.353350000000000000e+05,-7.852920000000000300e+01
6.423980000000000246e+02,4.169600000000000000e+05,-7.618760000000000332e+01
6.651879999999999882e+02,4.077690000000000000e+05,-7.897729999999999961e+01
6.896549999999999727e+02,4.070260000000000000e+05,-7.558159999999999457e+01
7.159900000000000091e+02,3.946920000000000000e+05,-7.804789999999999850e+01
7.425739999999999554e+02,3.790410000000000000e+05,-7.650820000000000221e+01
7.712079999999999700e+02,3.732860000000000000e+05,-7.701930000000000121e+01
8.000000000000000000e+02,3.515100000000000000e+05,-7.713909999999999911e+01
8.333329999999999700e+02,3.421560000000000000e+05,-7.685949999999999704e+01
8.620689999999999600e+02,3.392900000000000000e+05,-7.548510000000000275e+01
8.928569999999999709e+02,3.294050000000000000e+05,-7.485729999999999507e+01
9.316770000000000209e+02,3.103020000000000000e+05,-7.657200000000000273e+01
9.615380000000000109e+02,3.039400000000000000e+05,-7.708839999999999293e+01
1.000000000000000000e+03,2.935800000000000000e+05,-7.710750000000000171e+01
1.038059999999999945e+03,2.856380000000000000e+05,-7.653579999999999472e+01
1.079140000000000100e+03,2.759340000000000000e+05,-7.484669999999999845e+01
1.115240000000000009e+03,2.684690000000000000e+05,-7.526860000000000639e+01
