# Mon Jun 26 18:29:35 2023
#  Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.159180000000000000e+08,2.972360000000000113e+01
2.075120000000000076e+01,5.408530000000000000e+07,1.940220000000000056e+01
2.153320000000000078e+01,1.374570000000000000e+07,1.051209999999999951e+02
2.234140000000000015e+01,1.895140000000000000e+07,1.193529999999999944e+02
2.318029999999999902e+01,1.328240000000000000e+07,1.488600000000000136e+02
2.405000000000000071e+01,4.144080000000000000e+07,-3.235679999999999890e+00
2.495429999999999993e+01,3.380620000000000000e+07,-1.509230000000000018e+02
2.589110000000000156e+01,4.391190000000000000e+07,6.967409999999999570e+01
2.686730000000000018e+01,7.392110000000000000e+07,-1.740759999999999934e+02
2.787330000000000041e+01,4.700700000000000000e+07,-7.726580000000000226e+00
2.892119999999999891e+01,5.090360000000000000e+07,6.888979999999999393e+01
3.000600000000000023e+01,2.114510000000000000e+07,7.543259999999999366e+01
3.113329999999999842e+01,5.908750000000000000e+07,-2.397830000000000084e+01
3.230319999999999681e+01,2.352420000000000000e+07,-1.220400000000000063e+02
3.352329999999999899e+01,1.372080000000000000e+07,1.344950000000000045e+02
3.478260000000000218e+01,2.194530000000000000e+07,-1.114050000000000011e+02
3.608809999999999718e+01,6.365910000000000000e+07,1.259609999999999985e+02
3.743919999999999959e+01,2.882270000000000000e+07,-5.029340000000000366e+00
3.884499999999999886e+01,6.966090000000000000e+06,-1.006790000000000020e+02
4.030630000000000024e+01,6.598410000000000000e+06,-1.401469999999999914e+02
4.182350000000000279e+01,3.679150000000000000e+07,-9.104070000000000107e+01
4.339020000000000010e+01,2.377480000000000000e+07,9.933480000000000132e+01
4.501800000000000068e+01,1.955090000000000000e+07,-2.480799999999999983e+01
4.671439999999999770e+01,6.900670000000000000e+06,1.166440000000000055e+02
4.846529999999999916e+01,5.376480000000000000e+06,-1.741910000000000025e+02
5.029339999999999833e+01,5.326220000000000000e+06,5.171750000000000114e+01
5.218299999999999983e+01,6.061370000000000000e+06,7.293089999999999407e+01
5.415160000000000196e+01,1.166220000000000000e+07,2.908990000000000009e+01
5.616929999999999978e+01,1.370700000000000000e+07,-1.189560000000000031e+02
5.828640000000000043e+01,1.131580000000000000e+07,-1.327150000000000034e+02
6.048389999999999844e+01,1.386290000000000000e+07,-2.032799999999999940e+00
6.274839999999999662e+01,1.985950000000000000e+07,-1.685279999999999916e+02
6.510420000000000584e+01,6.600540000000000000e+06,-1.176509999999999962e+02
6.755240000000000578e+01,1.542750000000000000e+07,1.077980000000000018e+02
7.007710000000000150e+01,8.341490000000000000e+06,1.289180000000000064e+02
7.272729999999999961e+01,7.110040000000000000e+06,-8.936469999999999914e+00
7.547169999999999845e+01,2.952810000000000000e+07,2.301370000000000005e+01
7.828810000000000002e+01,1.050200000000000000e+07,-9.367390000000000327e+00
8.125679999999999836e+01,4.866480000000000000e+08,-6.505620000000000402e+01
8.429330000000000211e+01,8.677530000000000000e+06,8.876260000000000616e+01
8.743810000000000571e+01,1.501290000000000000e+07,1.374929999999999950e+02
9.074410000000000309e+01,3.079380000000000000e+08,1.336560000000000059e+02
9.413240000000000407e+01,1.565740000000000000e+07,-5.084089999999999776e+01
9.768800000000000239e+01,4.010000000000000000e+07,-1.800189999999999912e+01
1.013509999999999991e+02,2.895120000000000000e+06,1.781279999999999859e+02
1.051520000000000010e+02,6.850170000000000000e+06,5.407230000000000203e+00
1.091310000000000002e+02,1.320640000000000000e+07,-3.485490000000000066e+01
1.132500000000000000e+02,6.441850000000000000e+06,-1.759439999999999884e+02
1.175090000000000003e+02,8.571440000000000000e+06,5.460689999999999600e+00
1.218520000000000039e+02,5.260430000000000000e+06,2.924230000000000018e+01
1.265289999999999964e+02,5.515630000000000000e+06,9.912109999999999843e+01
1.311759999999999877e+02,7.342300000000000000e+06,-7.627700000000000102e+01
1.361160000000000139e+02,1.323490000000000000e+07,-1.246749999999999936e+01
1.413089999999999975e+02,5.477590000000000000e+06,-6.491110000000000468e+01
1.466279999999999859e+02,3.991160000000000000e+06,7.903000000000000114e+01
1.521299999999999955e+02,4.084760000000000000e+06,8.856050000000000466e+01
1.578950000000000102e+02,1.057720000000000000e+07,1.088730000000000047e+02
1.636659999999999968e+02,6.158250000000000000e+06,-9.843349999999999156e+00
1.698750000000000000e+02,5.894390000000000000e+06,-1.553340000000000032e+01
1.762630000000000052e+02,1.413080000000000000e+07,-1.090109999999999957e+02
1.828149999999999977e+02,3.182750000000000000e+06,-1.160210000000000008e+01
1.897529999999999859e+02,5.770680000000000000e+06,-1.540080000000000098e+02
1.968499999999999943e+02,6.892110000000000000e+06,-8.080330000000000013e+00
2.043600000000000136e+02,1.136980000000000000e+07,-3.790610000000000213e+01
2.118640000000000043e+02,6.337970000000000000e+06,6.581449999999999534e+01
2.199410000000000025e+02,4.897320000000000000e+06,1.463329999999999984e+02
2.283110000000000070e+02,1.438360000000000000e+07,6.060869999999999891e+01
2.369670000000000130e+02,6.157320000000000000e+06,1.228450000000000042e+00
2.456999999999999886e+02,1.086480000000000000e+07,-1.194920000000000044e+02
2.548849999999999909e+02,9.475100000000000000e+06,7.643340000000000600e+01
2.645500000000000114e+02,1.119030000000000000e+07,1.813179999999999836e+01
2.747250000000000227e+02,2.768170000000000000e+07,-6.850300000000000011e+01
2.848999999999999773e+02,2.934350000000000000e+07,1.690809999999999889e+02
2.955659999999999741e+02,8.367500000000000000e+06,-5.644380000000000308e+01
3.064350000000000023e+02,9.645880000000000000e+06,-1.744370000000000118e+02
3.184710000000000036e+02,4.375490000000000000e+07,-1.245069999999999943e+01
3.300330000000000155e+02,1.417950000000000000e+07,-8.092589999999999861e+01
3.428570000000000277e+02,4.864580000000000000e+07,-8.623749999999999716e+01
3.554499999999999886e+02,4.797230000000000000e+07,1.374900000000000091e+02
3.685500000000000114e+02,1.043910000000000000e+07,-1.464799999999999898e+02
3.826530000000000200e+02,1.929570000000000000e+07,-1.411800000000000068e+02
3.968249999999999886e+02,2.873790000000000000e+07,-8.376590000000000202e+01
4.120880000000000223e+02,1.234980000000000000e+07,4.074770000000000181e+01
4.273500000000000227e+02,3.416790000000000000e+07,-1.567390000000000043e+02
4.431309999999999718e+02,9.588090000000000000e+06,6.733719999999999573e+01
4.608290000000000077e+02,7.595240000000000000e+06,-2.197510000000000119e+01
4.777069999999999936e+02,2.323390000000000000e+07,-1.190419999999999945e+01
4.950489999999999782e+02,1.129000000000000000e+07,1.687589999999999861e+02
5.145800000000000409e+02,1.576480000000000000e+07,-1.209609999999999985e+02
5.338079999999999927e+02,2.753250000000000000e+07,-9.873009999999999309e+01
5.545289999999999964e+02,1.528810000000000000e+07,-1.173349999999999937e+02
5.747129999999999654e+02,1.734900000000000000e+07,-1.123840000000000003e+02
5.952380000000000564e+02,1.297570000000000000e+07,-8.721649999999999636e+01
6.198350000000000364e+02,1.485110000000000000e+07,-1.225960000000000036e+02
6.423980000000000246e+02,8.352730000000000000e+06,-7.088139999999999930e+01
6.651879999999999882e+02,1.466170000000000000e+07,-1.799310000000000116e+02
6.896549999999999727e+02,9.139430000000000000e+07,-3.621829999999999927e+01
7.159900000000000091e+02,3.287300000000000000e+07,-3.604610000000000269e+01
7.425739999999999554e+02,9.042940000000000000e+06,-1.400689999999999884e+02
7.712079999999999700e+02,1.055440000000000000e+07,-1.041209999999999951e+02
8.000000000000000000e+02,5.446200000000000000e+07,-1.238889999999999958e+02
8.333329999999999700e+02,8.865120000000000000e+06,-9.035179999999999723e+01
8.620689999999999600e+02,1.882160000000000000e+07,-6.291049999999999898e+01
8.928569999999999709e+02,1.344900000000000000e+07,1.224290000000000020e+02
9.316770000000000209e+02,2.478220000000000000e+07,-1.309439999999999884e+02
9.615380000000000109e+02,1.214140000000000000e+07,-8.920350000000000534e+01
1.000000000000000000e+03,1.410650000000000000e+07,-9.748850000000000193e+01
1.038059999999999945e+03,1.817350000000000000e+07,-1.372649999999999864e+02
1.079140000000000100e+03,4.255570000000000000e+07,2.305399999999999849e+01
1.115240000000000009e+03,1.481300000000000000e+07,-1.341160000000000139e+02
1.158299999999999955e+03,2.076920000000000000e+07,-1.340269999999999868e+02
1.200000000000000000e+03,7.978490000000000000e+06,-9.487770000000000437e+01
1.244809999999999945e+03,1.053580000000000000e+07,-6.852960000000000207e+01
1.293099999999999909e+03,1.673990000000000000e+07,-9.351879999999999882e+01
1.345289999999999964e+03,1.350050000000000000e+07,-1.121730000000000018e+02
1.401869999999999891e+03,6.732910000000000000e+06,-1.191290000000000049e+02
1.449279999999999973e+03,5.463840000000000000e+07,1.729290000000000020e+02
1.500000000000000000e+03,9.495000000000000000e+06,-1.165510000000000019e+02
1.554400000000000091e+03,2.604560000000000000e+07,-6.639900000000000091e+01
1.612900000000000091e+03,1.181740000000000000e+07,-7.248680000000000234e+01
1.685390000000000100e+03,1.080040000000000000e+07,-7.864600000000000080e+01
1.734099999999999909e+03,2.399120000000000000e+07,-8.411509999999999820e+01
1.818180000000000064e+03,9.059650000000000000e+06,-8.267069999999999652e+01
1.875000000000000000e+03,9.364980000000000000e+06,-7.989820000000000277e+01
1.948049999999999955e+03,8.752140000000000000e+06,-1.116640000000000015e+02
2.013420000000000073e+03,2.716370000000000000e+07,-9.802660000000000196e+01
2.097900000000000091e+03,6.860730000000000000e+06,-6.449590000000000600e+01
2.173909999999999854e+03,1.212990000000000000e+07,-1.183550000000000040e+02
2.272730000000000018e+03,2.303900000000000000e+07,-1.294219999999999970e+02
2.343750000000000000e+03,9.008740000000000000e+06,-9.686279999999999291e+01
2.419349999999999909e+03,1.036610000000000000e+07,-8.317719999999999914e+01
2.542369999999999891e+03,9.515360000000000000e+06,-1.040900000000000034e+02
2.631579999999999927e+03,8.533800000000000000e+06,-1.063719999999999999e+02
2.702699999999999818e+03,7.715030000000000000e+06,-9.474639999999999418e+01
2.830190000000000055e+03,7.746370000000000000e+06,-8.471169999999999334e+01
2.912619999999999891e+03,8.285420000000000000e+06,-9.173560000000000514e+01
3.030300000000000182e+03,6.434140000000000000e+06,-8.224580000000000268e+01
3.157889999999999873e+03,8.568010000000000000e+06,-7.780599999999999739e+01
3.296699999999999818e+03,6.603890000000000000e+06,-8.826519999999999300e+01
3.488369999999999891e+03,8.043610000000000000e+06,-1.019050000000000011e+02
3.658539999999999964e+03,4.455150000000000000e+06,-9.433660000000000423e+01
3.846150000000000091e+03,5.684890000000000000e+06,-8.079989999999999384e+01
4.000000000000000000e+03,5.656270000000000000e+06,-8.354749999999999943e+01
4.225350000000000364e+03,5.696000000000000000e+06,-1.130180000000000007e+02
4.477609999999999673e+03,5.412590000000000000e+06,-8.127469999999999573e+01
