# Wed Jun 28 18:33:26 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
2.000000000000000000e+01,1.118910000000000000e+07,-8.016320000000000334e+01
2.193299999999999983e+01,9.968130000000000000e+06,-8.039849999999999852e+01
2.405000000000000071e+01,9.317540000000000000e+06,-8.247169999999999845e+01
2.637590000000000146e+01,8.510840000000000000e+06,-8.302970000000000539e+01
2.892119999999999891e+01,7.823430000000000000e+06,-8.275620000000000687e+01
3.171249999999999858e+01,7.142500000000000000e+06,-8.388139999999999930e+01
3.478260000000000218e+01,6.384960000000000000e+06,-8.427490000000000236e+01
3.814370000000000260e+01,5.509970000000000000e+06,-7.504110000000000014e+01
4.182350000000000279e+01,5.269290000000000000e+06,-8.292050000000000409e+01
4.586449999999999960e+01,4.931670000000000000e+06,-8.373569999999999425e+01
5.029339999999999833e+01,4.613120000000000000e+06,-8.456470000000000198e+01
5.514710000000000178e+01,4.131540000000000000e+06,-8.593580000000000041e+01
6.048389999999999844e+01,3.791940000000000000e+06,-8.548879999999999768e+01
6.632769999999999300e+01,3.460780000000000000e+06,-8.555259999999999820e+01
7.272729999999999961e+01,3.173610000000000000e+06,-8.703969999999999629e+01
7.976600000000000534e+01,2.866320000000000000e+06,-8.689379999999999882e+01
8.743810000000000571e+01,2.599250000000000000e+06,-8.650069999999999482e+01
9.587730000000000530e+01,2.375090000000000000e+06,-8.631570000000000675e+01
1.051520000000000010e+02,2.172080000000000000e+06,-8.684199999999999875e+01
1.153400000000000034e+02,1.993460000000000000e+06,-8.723950000000000671e+01
1.265289999999999964e+02,1.814760000000000000e+06,-8.750350000000000250e+01
1.386959999999999980e+02,1.658100000000000000e+06,-8.746769999999999357e+01
1.521299999999999955e+02,1.517040000000000000e+06,-8.775629999999999598e+01
1.667589999999999861e+02,1.383450000000000000e+06,-8.764220000000000255e+01
1.828149999999999977e+02,1.265070000000000000e+06,-8.794589999999999463e+01
2.006690000000000111e+02,1.151260000000000000e+06,-8.791910000000000025e+01
2.199410000000000025e+02,1.047500000000000000e+06,-8.795839999999999748e+01
2.413520000000000039e+02,9.575350000000000000e+05,-8.789900000000000091e+01
2.645500000000000114e+02,8.765250000000000000e+05,-8.791809999999999548e+01
2.901349999999999909e+02,7.979150000000000000e+05,-8.784659999999999513e+01
3.184710000000000036e+02,7.278740000000000000e+05,-8.791610000000000014e+01
3.329630000000000223e+02,6.963440000000000000e+05,-8.788219999999999743e+01
3.488369999999999891e+02,6.650780000000000000e+05,-8.792050000000000409e+01
3.654080000000000155e+02,6.351520000000000000e+05,-8.784430000000000405e+01
3.826530000000000200e+02,6.074020000000000000e+05,-8.789619999999999322e+01
4.005339999999999918e+02,5.794700000000000000e+05,-8.787000000000000455e+01
4.195799999999999841e+02,5.544840000000000000e+05,-8.778979999999999961e+01
4.398829999999999814e+02,5.294340000000000000e+05,-8.774859999999999616e+01
4.608290000000000077e+02,5.052900000000000000e+05,-8.777280000000000371e+01
4.823149999999999977e+02,4.828960000000000000e+05,-8.766949999999999932e+01
5.050509999999999877e+02,4.612170000000000000e+05,-8.761849999999999739e+01
5.281689999999999827e+02,4.413840000000000000e+05,-8.758969999999999345e+01
5.545289999999999964e+02,4.205070000000000000e+05,-8.759560000000000457e+01
5.802709999999999582e+02,4.019400000000000000e+05,-8.754890000000000327e+01
6.072870000000000346e+02,3.845370000000000000e+05,-8.749790000000000134e+01
6.355929999999999609e+02,3.672230000000000000e+05,-8.742430000000000234e+01
6.651879999999999882e+02,3.514260000000000000e+05,-8.747239999999999327e+01
6.976739999999999782e+02,3.350420000000000000e+05,-8.726879999999999882e+01
7.299270000000000209e+02,3.205070000000000000e+05,-8.722599999999999909e+01
7.653060000000000400e+02,3.056440000000000000e+05,-8.714109999999999445e+01
8.000000000000000000e+02,2.928040000000000000e+05,-8.707810000000000628e+01
8.403360000000000127e+02,2.788730000000000000e+05,-8.700939999999999941e+01
8.771929999999999836e+02,2.670780000000000000e+05,-8.693210000000000548e+01
9.202450000000000045e+02,2.547830000000000000e+05,-8.682769999999999300e+01
9.615380000000000109e+02,2.440980000000000000e+05,-8.673319999999999652e+01
1.006710000000000036e+03,2.332220000000000000e+05,-8.660890000000000555e+01
1.060069999999999936e+03,2.216050000000000000e+05,-8.652100000000000080e+01
1.107009999999999991e+03,2.123000000000000000e+05,-8.637390000000000612e+01
1.158299999999999955e+03,2.029600000000000000e+05,-8.626109999999999900e+01
1.214569999999999936e+03,1.936530000000000000e+05,-8.615919999999999845e+01
1.276599999999999909e+03,1.844160000000000000e+05,-8.600719999999999743e+01
1.327430000000000064e+03,1.774260000000000000e+05,-8.590009999999999479e+01
1.401869999999999891e+03,1.681690000000000000e+05,-8.575839999999999463e+01
1.456309999999999945e+03,1.619860000000000000e+05,-8.555329999999999302e+01
1.530609999999999900e+03,1.542610000000000000e+05,-8.540279999999999916e+01
1.595740000000000009e+03,1.480930000000000000e+05,-8.527920000000000300e+01
1.685390000000000100e+03,1.403400000000000000e+05,-8.507240000000000180e+01
1.764710000000000036e+03,1.341150000000000000e+05,-8.491060000000000230e+01
1.840490000000000009e+03,1.287410000000000000e+05,-8.471970000000000312e+01
1.935480000000000018e+03,1.226280000000000000e+05,-8.450239999999999441e+01
2.013420000000000073e+03,1.178880000000000000e+05,-8.433839999999999293e+01
2.127659999999999854e+03,1.117190000000000000e+05,-8.408110000000000639e+01
2.205880000000000109e+03,1.078470000000000000e+05,-8.389900000000000091e+01
2.307690000000000055e+03,1.030950000000000000e+05,-8.370319999999999538e+01
2.419349999999999909e+03,9.857689999999999418e+04,-8.341079999999999472e+01
2.542369999999999891e+03,9.394369999999999709e+04,-8.314209999999999923e+01
2.678570000000000164e+03,8.932589999999999418e+04,-8.285550000000000637e+01
2.803739999999999782e+03,8.545180000000000291e+04,-8.259569999999999368e+01
2.912619999999999891e+03,8.239050000000000000e+04,-8.233249999999999602e+01
3.061219999999999800e+03,7.854439999999999418e+04,-8.201359999999999673e+01
3.260869999999999891e+03,7.389550000000000000e+04,-8.157200000000000273e+01
3.409090000000000146e+03,7.083589999999999418e+04,-8.124979999999999336e+01
3.658539999999999964e+03,6.621650000000000000e+04,-8.072259999999999991e+01
3.846150000000000091e+03,6.315840000000000146e+04,-8.031550000000000011e+01
4.166670000000000073e+03,5.855769999999999709e+04,-7.964669999999999561e+01
4.411760000000000218e+03,5.551509999999999854e+04,-7.908950000000000102e+01
4.761899999999999636e+03,5.170940000000000146e+04,-7.837529999999999575e+01
5.172409999999999854e+03,4.790340000000000146e+04,-7.755299999999999727e+01
5.769229999999999563e+03,4.335600000000000000e+04,-7.637640000000000384e+01
6.250000000000000000e+03,4.033009999999999854e+04,-7.547379999999999711e+01
6.976739999999999782e+03,3.656450000000000000e+04,-7.417849999999999966e+01
7.317069999999999709e+03,3.506959999999999854e+04,-7.359279999999999688e+01
7.317069999999999709e+03,3.507259999999999854e+04,-7.357410000000000139e+01
7.500000000000000000e+03,3.431090000000000146e+04,-7.331449999999999534e+01
7.894739999999999782e+03,3.281890000000000146e+04,-7.265819999999999368e+01
8.108109999999999673e+03,3.206490000000000146e+04,-7.236879999999999313e+01
8.333329999999999927e+03,3.131870000000000073e+04,-7.201250000000000284e+01
8.333329999999999927e+03,3.131950000000000000e+04,-7.203579999999999472e+01
8.823530000000000655e+03,2.983150000000000000e+04,-7.126829999999999643e+01
9.090909999999999854e+03,2.909329999999999927e+04,-7.083559999999999945e+01
9.375000000000000000e+03,2.834779999999999927e+04,-7.041299999999999670e+01
9.375000000000000000e+03,2.835209999999999854e+04,-7.038819999999999766e+01
1.000000000000000000e+04,2.691320000000000073e+04,-6.939039999999999964e+01
1.000000000000000000e+04,2.692540000000000146e+04,-6.922079999999999700e+01
1.034479999999999927e+04,2.617909999999999854e+04,-6.879749999999999943e+01
1.111110000000000036e+04,2.473370000000000073e+04,-6.763620000000000232e+01
1.111110000000000036e+04,2.471350000000000000e+04,-6.775950000000000273e+01
1.200000000000000000e+04,2.326659999999999854e+04,-6.653400000000000603e+01
1.200000000000000000e+04,2.326759999999999854e+04,-6.652630000000000621e+01
1.250000000000000000e+04,2.255279999999999927e+04,-6.586199999999999477e+01
1.363639999999999964e+04,2.110900000000000000e+04,-6.449469999999999459e+01
1.428570000000000073e+04,2.039270000000000073e+04,-6.373669999999999902e+01
1.428570000000000073e+04,2.039570000000000073e+04,-6.373460000000000036e+01
1.500000000000000000e+04,1.968809999999999854e+04,-6.290189999999999770e+01
1.666670000000000073e+04,1.827340000000000146e+04,-6.116029999999999944e+01
1.764709999999999854e+04,1.757009999999999854e+04,-6.019339999999999691e+01
1.875000000000000000e+04,1.687300000000000000e+04,-5.915930000000000177e+01
1.875000000000000000e+04,1.687159999999999854e+04,-5.917589999999999861e+01
2.000000000000000000e+04,1.614039999999999964e+04,-5.824750000000000227e+01
2.307690000000000146e+04,1.484920000000000073e+04,-5.540409999999999968e+01
2.307690000000000146e+04,1.482920000000000073e+04,-5.546779999999999688e+01
2.500000000000000000e+04,1.414170000000000073e+04,-5.415550000000000352e+01
2.727270000000000073e+04,1.345160000000000036e+04,-5.275130000000000052e+01
2.727270000000000073e+04,1.343039999999999964e+04,-5.284989999999999810e+01
2.857140000000000146e+04,1.308029999999999927e+04,-5.213779999999999859e+01
3.000000000000000000e+04,1.273379999999999927e+04,-5.137369999999999948e+01
3.157890000000000146e+04,1.239239999999999964e+04,-5.056900000000000261e+01
3.333330000000000291e+04,1.204560000000000036e+04,-4.974909999999999854e+01
3.529409999999999854e+04,1.169729999999999927e+04,-4.890509999999999735e+01
3.750000000000000000e+04,1.137160000000000036e+04,-4.791250000000000142e+01
4.000000000000000000e+04,1.104100000000000000e+04,-4.689869999999999806e+01
4.285709999999999854e+04,1.075210000000000036e+04,-4.568930000000000291e+01
4.615380000000000291e+04,1.040579999999999927e+04,-4.467920000000000158e+01
5.000000000000000000e+04,1.003770000000000073e+04,-4.371790000000000020e+01
5.217390000000000146e+04,9.858120000000000800e+03,-4.320230000000000103e+01
5.714290000000000146e+04,9.542920000000000073e+03,-4.211740000000000350e+01
6.000000000000000000e+04,9.353370000000000800e+03,-4.161749999999999972e+01
6.000000000000000000e+04,9.316190000000000509e+03,-4.178430000000000177e+01
6.666669999999999709e+04,8.956139999999999418e+03,-4.065290000000000248e+01
7.058819999999999709e+04,8.760379999999999200e+03,-4.015019999999999811e+01
7.058819999999999709e+04,8.754020000000000437e+03,-4.017990000000000350e+01
7.500000000000000000e+04,8.565469999999999345e+03,-3.960810000000000031e+01
8.000000000000000000e+04,8.363200000000000728e+03,-3.908590000000000231e+01
9.230769999999999709e+04,7.947960000000000036e+03,-3.803399999999999892e+01
