# Wed Jun 28 18:42:25 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
2.000000000000000000e+01,6.233180000000000000e+05,-2.198129999999999917e+00
2.193299999999999983e+01,6.100030000000000000e+05,-2.452650000000000219e+00
2.405000000000000071e+01,5.762360000000000000e+05,-2.756170000000000009e+00
2.637590000000000146e+01,5.728430000000000000e+05,-3.185540000000000038e+00
2.892119999999999891e+01,5.653900000000000000e+05,-3.547660000000000036e+00
3.171249999999999858e+01,5.483690000000000000e+05,-3.820539999999999825e+00
3.478260000000000218e+01,5.450790000000000000e+05,-4.247620000000000395e+00
3.814370000000000260e+01,5.522510000000000000e+05,-4.752399999999999736e+00
4.182350000000000279e+01,5.450830000000000000e+05,-5.217649999999999899e+00
4.586449999999999960e+01,5.490860000000000000e+05,-5.541830000000000034e+00
5.029339999999999833e+01,5.570820000000000000e+05,-6.286069999999999602e+00
5.514710000000000178e+01,5.420960000000000000e+05,-6.578359999999999985e+00
6.048389999999999844e+01,5.394390000000000000e+05,-7.173490000000000144e+00
6.632769999999999300e+01,5.401350000000000000e+05,-7.777219999999999800e+00
7.272729999999999961e+01,5.339710000000000000e+05,-8.605919999999999348e+00
7.976600000000000534e+01,5.309810000000000000e+05,-9.239929999999999310e+00
8.743810000000000571e+01,5.237370000000000000e+05,-9.937350000000000350e+00
9.587730000000000530e+01,5.302780000000000000e+05,-1.045880000000000010e+01
1.051520000000000010e+02,5.963930000000000000e+05,-1.177250000000000085e+01
1.153400000000000034e+02,5.644480000000000000e+05,-1.287800000000000011e+01
1.265289999999999964e+02,5.729110000000000000e+05,-1.395129999999999981e+01
1.386959999999999980e+02,5.663440000000000000e+05,-1.512800000000000011e+01
1.521299999999999955e+02,5.477390000000000000e+05,-1.764410000000000167e+01
1.667589999999999861e+02,5.608580000000000000e+05,-1.809199999999999875e+01
1.828149999999999977e+02,5.515640000000000000e+05,-1.917940000000000111e+01
