# Wed Jun 28 16:00:46 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
2.000000000000000000e+01,5.523490000000000000e+06,-1.110479999999999912e+01
2.193299999999999983e+01,5.497390000000000000e+06,-1.147180000000000000e+01
2.405000000000000071e+01,5.595950000000000000e+06,-1.331390000000000029e+01
2.637590000000000146e+01,5.438450000000000000e+06,-1.407850000000000001e+01
2.892119999999999891e+01,5.680610000000000000e+06,-1.634850000000000136e+01
3.171249999999999858e+01,5.585510000000000000e+06,-1.768209999999999837e+01
3.478260000000000218e+01,5.210050000000000000e+06,-1.769259999999999877e+01
3.814370000000000260e+01,5.350980000000000000e+06,-1.964059999999999917e+01
4.182350000000000279e+01,5.313210000000000000e+06,-2.209019999999999939e+01
4.586449999999999960e+01,5.109470000000000000e+06,-2.245579999999999998e+01
5.029339999999999833e+01,4.941080000000000000e+06,-2.394819999999999993e+01
5.514710000000000178e+01,4.933150000000000000e+06,-2.639290000000000092e+01
6.048389999999999844e+01,4.779480000000000000e+06,-2.806319999999999837e+01
6.632769999999999300e+01,4.652960000000000000e+06,-3.081899999999999906e+01
7.272729999999999961e+01,4.636040000000000000e+06,-3.276680000000000348e+01
7.976600000000000534e+01,4.346310000000000000e+06,-3.555129999999999768e+01
8.743810000000000571e+01,4.190170000000000000e+06,-3.688400000000000034e+01
9.587730000000000530e+01,3.937880000000000000e+06,-3.875110000000000099e+01
1.051520000000000010e+02,3.898440000000000000e+06,-4.206640000000000157e+01
1.153400000000000034e+02,3.703020000000000000e+06,-4.347769999999999868e+01
1.265289999999999964e+02,3.591450000000000000e+06,-4.719819999999999993e+01
1.386959999999999980e+02,3.431590000000000000e+06,-5.028649999999999665e+01
1.521299999999999955e+02,3.252650000000000000e+06,-5.290930000000000177e+01
1.667589999999999861e+02,3.046010000000000000e+06,-5.443359999999999843e+01
1.828149999999999977e+02,2.844980000000000000e+06,-5.679429999999999978e+01
2.006690000000000111e+02,2.710890000000000000e+06,-5.931750000000000256e+01
2.199410000000000025e+02,2.538590000000000000e+06,-6.094299999999999784e+01
2.413520000000000039e+02,2.352460000000000000e+06,-6.355199999999999960e+01
2.645500000000000114e+02,2.163190000000000000e+06,-6.532810000000000628e+01
2.901349999999999909e+02,2.020480000000000000e+06,-6.712189999999999657e+01
3.184710000000000036e+02,1.864530000000000000e+06,-6.837529999999999575e+01
3.329630000000000223e+02,1.792270000000000000e+06,-6.924060000000000059e+01
3.488369999999999891e+02,1.712650000000000000e+06,-6.999049999999999727e+01
3.654080000000000155e+02,1.657150000000000000e+06,-7.112810000000000343e+01
3.826530000000000200e+02,1.576520000000000000e+06,-7.198709999999999809e+01
4.005339999999999918e+02,1.524180000000000000e+06,-7.185179999999999723e+01
4.195799999999999841e+02,1.452660000000000000e+06,-7.189180000000000348e+01
4.398829999999999814e+02,1.400050000000000000e+06,-7.293370000000000175e+01
4.608290000000000077e+02,1.338500000000000000e+06,-7.332869999999999777e+01
4.823149999999999977e+02,1.294910000000000000e+06,-7.492329999999999757e+01
5.050509999999999877e+02,1.237220000000000000e+06,-7.564170000000000016e+01
5.281689999999999827e+02,1.182280000000000000e+06,-7.541070000000000562e+01
5.545289999999999964e+02,1.132470000000000000e+06,-7.592940000000000111e+01
5.802709999999999582e+02,1.091740000000000000e+06,-7.589319999999999311e+01
6.072870000000000346e+02,1.039370000000000000e+06,-7.695399999999999352e+01
6.355929999999999609e+02,1.001170000000000000e+06,-7.727349999999999852e+01
6.651879999999999882e+02,9.572060000000000000e+05,-7.748180000000000689e+01
6.976739999999999782e+02,9.129970000000000000e+05,-7.794929999999999382e+01
7.299270000000000209e+02,8.818060000000000000e+05,-7.847830000000000439e+01
