# Wed Jun 28 19:53:44 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
2.000000000000000000e+01,2.996080000000000000e+06,-1.206630000000000003e+01
2.193299999999999983e+01,3.053340000000000000e+06,-1.370870000000000033e+01
2.405000000000000071e+01,3.021370000000000000e+06,-1.453480000000000061e+01
2.637590000000000146e+01,2.928460000000000000e+06,-1.555940000000000012e+01
2.892119999999999891e+01,2.989330000000000000e+06,-1.725369999999999848e+01
3.171249999999999858e+01,2.923110000000000000e+06,-1.829129999999999967e+01
3.478260000000000218e+01,2.969200000000000000e+06,-2.119050000000000011e+01
3.814370000000000260e+01,2.901130000000000000e+06,-2.235350000000000037e+01
4.182350000000000279e+01,2.879750000000000000e+06,-2.354090000000000060e+01
4.586449999999999960e+01,2.716720000000000000e+06,-2.484280000000000044e+01
5.029339999999999833e+01,2.725950000000000000e+06,-2.716029999999999944e+01
5.514710000000000178e+01,2.658710000000000000e+06,-3.004779999999999873e+01
6.048389999999999844e+01,2.572390000000000000e+06,-3.155799999999999983e+01
6.632769999999999300e+01,2.440170000000000000e+06,-3.316320000000000334e+01
7.272729999999999961e+01,2.428980000000000000e+06,-3.607600000000000051e+01
7.976600000000000534e+01,2.318910000000000000e+06,-3.852759999999999962e+01
8.743810000000000571e+01,2.240480000000000000e+06,-4.128759999999999764e+01
9.587730000000000530e+01,2.122530000000000000e+06,-4.332670000000000243e+01
1.051520000000000010e+02,2.036970000000000000e+06,-4.625110000000000099e+01
1.153400000000000034e+02,1.973340000000000000e+06,-4.995790000000000219e+01
1.265289999999999964e+02,1.843620000000000000e+06,-5.166660000000000252e+01
1.386959999999999980e+02,1.750400000000000000e+06,-5.405299999999999727e+01
1.521299999999999955e+02,1.636000000000000000e+06,-5.597399999999999665e+01
1.667589999999999861e+02,1.549310000000000000e+06,-5.923830000000000240e+01
1.828149999999999977e+02,1.427360000000000000e+06,-6.063689999999999714e+01
2.006690000000000111e+02,1.328700000000000000e+06,-6.249750000000000227e+01
2.199410000000000025e+02,1.243470000000000000e+06,-6.452299999999999613e+01
2.413520000000000039e+02,1.146960000000000000e+06,-6.633069999999999311e+01
2.645500000000000114e+02,1.064660000000000000e+06,-6.828060000000000684e+01
2.901349999999999909e+02,9.828000000000000000e+05,-7.020390000000000441e+01
3.184710000000000036e+02,9.080580000000000000e+05,-7.181570000000000675e+01
3.329630000000000223e+02,8.693420000000000000e+05,-7.201000000000000512e+01
3.488369999999999891e+02,8.351520000000000000e+05,-7.308589999999999520e+01
3.654080000000000155e+02,7.998120000000000000e+05,-7.343229999999999791e+01
3.826530000000000200e+02,7.664930000000000000e+05,-7.402309999999999945e+01
4.005339999999999918e+02,7.364770000000000000e+05,-7.472950000000000159e+01
4.195799999999999841e+02,7.055430000000000000e+05,-7.546630000000000393e+01
4.398829999999999814e+02,6.736660000000000000e+05,-7.599710000000000321e+01
4.608290000000000077e+02,6.456820000000000000e+05,-7.659520000000000550e+01
