# Wed Jun 28 19:20:37 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
2.000000000000000000e+01,1.845200000000000045e+03,5.710090000000000304e-02
2.193299999999999983e+01,1.837289999999999964e+03,4.867500000000000299e-02
2.405000000000000071e+01,1.829829999999999927e+03,5.145160000000000011e-02
2.637590000000000146e+01,1.830740000000000009e+03,4.077299999999999675e-02
2.892119999999999891e+01,1.840599999999999909e+03,4.571870000000000100e-02
3.171249999999999858e+01,1.854710000000000036e+03,3.603560000000000096e-02
3.478260000000000218e+01,1.868900000000000091e+03,4.092289999999999817e-02
3.814370000000000260e+01,1.874559999999999945e+03,3.377929999999999822e-02
4.182350000000000279e+01,1.899380000000000109e+03,2.892820000000000114e-02
4.586449999999999960e+01,1.956299999999999955e+03,-4.129320000000000234e-04
5.029339999999999833e+01,2.127500000000000000e+03,5.013080000000000314e-02
5.514710000000000178e+01,2.116130000000000109e+03,4.508870000000000239e-02
6.048389999999999844e+01,2.120449999999999818e+03,3.072470000000000062e-02
6.632769999999999300e+01,2.111530000000000200e+03,2.856560000000000002e-02
7.272729999999999961e+01,2.111760000000000218e+03,2.531339999999999979e-02
7.976600000000000534e+01,2.126409999999999854e+03,2.206380000000000147e-02
8.743810000000000571e+01,2.116369999999999891e+03,1.362559999999999986e-02
9.587730000000000530e+01,2.145800000000000182e+03,2.418189999999999923e-02
1.051520000000000010e+02,2.148409999999999854e+03,-1.653129999999999877e-02
1.153400000000000034e+02,2.209269999999999982e+03,-1.687690000000000023e-02
1.265289999999999964e+02,2.265960000000000036e+03,-2.151979999999999865e-02
1.386959999999999980e+02,2.384489999999999782e+03,-8.104039999999999855e-02
1.521299999999999955e+02,2.717070000000000164e+03,1.204540000000000055e-01
1.667589999999999861e+02,1.275540000000000000e+07,-2.548039999999999949e+01
1.828149999999999977e+02,1.480960000000000000e+07,-2.546089999999999876e+01
2.006690000000000111e+02,1.246500000000000000e+07,-2.665469999999999828e+01
2.199410000000000025e+02,1.781920000000000000e+07,-4.254769999999999897e+01
2.413520000000000039e+02,1.909970000000000000e+07,-5.424049999999999727e+01
2.645500000000000114e+02,1.712450000000000000e+07,-5.049629999999999797e+01
2.901349999999999909e+02,1.783550000000000000e+07,-6.311869999999999692e+01
3.184710000000000036e+02,1.464090000000000000e+07,-5.368289999999999651e+01
3.329630000000000223e+02,8.146750000000000000e+06,-2.737529999999999930e+01
3.488369999999999891e+02,9.224220000000000000e+06,-3.429079999999999728e+01
3.654080000000000155e+02,8.524220000000000000e+06,-3.214000000000000057e+01
3.826530000000000200e+02,9.267980000000000000e+06,-3.836509999999999820e+01
4.005339999999999918e+02,8.128830000000000000e+06,-3.348799999999999955e+01
4.195799999999999841e+02,5.885600000000000000e+06,-2.602100000000000080e+01
4.398829999999999814e+02,4.551950000000000000e+06,-1.988609999999999900e+01
4.608290000000000077e+02,3.946600000000000000e+06,-1.801650000000000063e+01
4.823149999999999977e+02,3.916440000000000000e+06,-1.874210000000000065e+01
5.050509999999999877e+02,3.285770000000000000e+06,-1.576730000000000054e+01
5.281689999999999827e+02,3.553470000000000000e+06,-1.826950000000000074e+01
5.545289999999999964e+02,3.684400000000000000e+06,-1.996969999999999956e+01
5.802709999999999582e+02,3.535080000000000000e+06,-2.026330000000000098e+01
6.072870000000000346e+02,2.973420000000000000e+06,-1.759489999999999910e+01
6.355929999999999609e+02,3.189270000000000000e+06,-1.972449999999999903e+01
6.651879999999999882e+02,2.929930000000000000e+06,-1.965220000000000056e+01
6.976739999999999782e+02,2.711990000000000000e+06,-1.847670000000000101e+01
7.299270000000000209e+02,2.178170000000000000e+06,-1.456550000000000011e+01
7.653060000000000400e+02,2.430300000000000000e+06,-1.775459999999999994e+01
8.000000000000000000e+02,2.418310000000000000e+06,-1.822019999999999840e+01
8.403360000000000127e+02,2.361050000000000000e+06,-1.933439999999999870e+01
8.771929999999999836e+02,2.528450000000000000e+06,-2.208109999999999928e+01
9.202450000000000045e+02,1.337730000000000000e+06,-1.208029999999999937e+01
9.615380000000000109e+02,1.573760000000000000e+06,-1.428860000000000063e+01
1.006710000000000036e+03,2.114400000000000000e+06,-2.013109999999999999e+01
1.060069999999999936e+03,1.687610000000000000e+06,-1.668410000000000082e+01
1.107009999999999991e+03,1.854090000000000000e+06,-2.012620000000000076e+01
1.158299999999999955e+03,1.797410000000000000e+06,-2.026920000000000144e+01
1.214569999999999936e+03,1.849300000000000000e+06,-2.161230000000000118e+01
1.276599999999999909e+03,1.932410000000000000e+06,-2.346069999999999922e+01
1.327430000000000064e+03,1.917440000000000000e+06,-2.448999999999999844e+01
1.401869999999999891e+03,2.153460000000000000e+06,-2.912450000000000117e+01
1.456309999999999945e+03,2.434620000000000000e+06,-3.495060000000000144e+01
1.530609999999999900e+03,2.081900000000000000e+06,-3.131149999999999878e+01
1.595740000000000009e+03,2.310430000000000000e+06,-3.655550000000000210e+01
1.685390000000000100e+03,2.160740000000000000e+06,-3.572039999999999793e+01
1.764710000000000036e+03,2.342320000000000000e+06,-4.147270000000000323e+01
1.840490000000000009e+03,2.226060000000000000e+06,-4.050560000000000116e+01
1.935480000000000018e+03,2.041550000000000000e+06,-3.733500000000000085e+01
2.013420000000000073e+03,1.835470000000000000e+06,-3.617790000000000106e+01
2.127659999999999854e+03,1.697930000000000000e+06,-3.509599999999999653e+01
2.205880000000000109e+03,1.695570000000000000e+06,-3.667170000000000130e+01
2.307690000000000055e+03,1.965160000000000000e+06,-4.612539999999999907e+01
2.419349999999999909e+03,1.896100000000000000e+06,-4.668820000000000192e+01
2.542369999999999891e+03,1.863990000000000000e+06,-4.777360000000000184e+01
