# Wed Jun 28 16:54:38 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
2.000000000000000000e+01,1.081750000000000000e+08,-9.516030000000000655e+01
2.193299999999999983e+01,2.193060000000000000e+08,-5.109429999999999694e+01
2.405000000000000071e+01,1.814520000000000000e+08,-8.606829999999999359e+01
2.637590000000000146e+01,1.908080000000000000e+08,-8.998189999999999600e+01
2.892119999999999891e+01,3.221690000000000000e+08,1.195360000000000014e+02
3.171249999999999858e+01,3.834490000000000000e+08,1.366339999999999861e+02
3.478260000000000218e+01,1.792850000000000000e+08,-1.289449999999999932e+02
3.814370000000000260e+01,8.319130000000000000e+07,9.391770000000000396e-01
4.182350000000000279e+01,9.054180000000000000e+07,1.707030000000000030e+02
4.586449999999999960e+01,5.050320000000000000e+07,-7.073909999999999343e+01
5.029339999999999833e+01,5.117620000000000000e+07,-1.622750000000000057e+02
5.514710000000000178e+01,6.766510000000000000e+07,-1.075810000000000031e+02
6.048389999999999844e+01,4.269700000000000000e+07,-1.206530000000000058e+02
6.632769999999999300e+01,3.573380000000000000e+07,-1.337400000000000091e+02
7.272729999999999961e+01,3.841740000000000000e+07,-7.812919999999999732e+01
7.976600000000000534e+01,6.055640000000000000e+07,-8.706560000000000343e+01
8.743810000000000571e+01,8.753210000000000000e+07,-1.185759999999999934e+02
9.587730000000000530e+01,5.376810000000000000e+07,-1.225649999999999977e+02
1.051520000000000010e+02,5.196880000000000000e+07,-9.633329999999999416e+01
1.153400000000000034e+02,3.575490000000000000e+07,-1.180060000000000002e+02
1.265289999999999964e+02,4.153700000000000000e+07,-8.543850000000000477e+01
1.386959999999999980e+02,3.699780000000000000e+07,-8.266630000000000678e+01
1.521299999999999955e+02,3.022580000000000000e+07,-9.561809999999999832e+01
1.667589999999999861e+02,2.911120000000000000e+07,-7.436939999999999884e+01
1.828149999999999977e+02,3.280590000000000000e+07,-1.029530000000000030e+02
2.006690000000000111e+02,2.647530000000000000e+07,-8.649269999999999925e+01
2.199410000000000025e+02,2.424250000000000000e+07,-9.132599999999999341e+01
2.413520000000000039e+02,2.203380000000000000e+07,-7.827290000000000703e+01
2.645500000000000114e+02,1.966350000000000000e+07,-8.218850000000000477e+01
2.901349999999999909e+02,1.968130000000000000e+07,-9.328159999999999741e+01
3.184710000000000036e+02,1.726110000000000000e+07,-8.448699999999999477e+01
3.329630000000000223e+02,1.535410000000000000e+07,-8.885200000000000387e+01
3.488369999999999891e+02,1.610470000000000000e+07,-9.452549999999999386e+01
3.654080000000000155e+02,1.359340000000000000e+07,-8.596410000000000196e+01
3.826530000000000200e+02,1.227000000000000000e+07,-8.884409999999999741e+01
4.005339999999999918e+02,1.367980000000000000e+07,-9.087829999999999586e+01
4.195799999999999841e+02,1.255050000000000000e+07,-8.612860000000000582e+01
4.398829999999999814e+02,1.243200000000000000e+07,-9.011350000000000193e+01
4.608290000000000077e+02,1.124880000000000000e+07,-8.641700000000000159e+01
4.823149999999999977e+02,1.092420000000000000e+07,-8.864279999999999404e+01
5.050509999999999877e+02,1.036540000000000000e+07,-8.794530000000000314e+01
5.281689999999999827e+02,1.028360000000000000e+07,-8.649779999999999802e+01
5.545289999999999964e+02,9.482100000000000000e+06,-8.890080000000000382e+01
5.802709999999999582e+02,9.329980000000000000e+06,-8.857280000000000086e+01
6.072870000000000346e+02,8.733910000000000000e+06,-8.683299999999999841e+01
6.355929999999999609e+02,8.295060000000000000e+06,-8.540200000000000102e+01
6.651879999999999882e+02,8.434650000000000000e+06,-8.795829999999999416e+01
6.976739999999999782e+02,7.832230000000000000e+06,-8.440999999999999659e+01
7.299270000000000209e+02,7.340430000000000000e+06,-8.652320000000000277e+01
7.653060000000000400e+02,7.087830000000000000e+06,-8.700400000000000489e+01
8.000000000000000000e+02,6.753970000000000000e+06,-8.681390000000000384e+01
8.403360000000000127e+02,6.639660000000000000e+06,-8.807059999999999889e+01
8.771929999999999836e+02,6.149450000000000000e+06,-8.804989999999999384e+01
9.202450000000000045e+02,5.901830000000000000e+06,-8.540500000000000114e+01
9.615380000000000109e+02,5.802300000000000000e+06,-8.895969999999999800e+01
1.006710000000000036e+03,5.477070000000000000e+06,-8.707200000000000273e+01
1.060069999999999936e+03,5.217210000000000000e+06,-8.647480000000000189e+01
1.107009999999999991e+03,4.985580000000000000e+06,-8.768420000000000414e+01
1.158299999999999955e+03,4.860910000000000000e+06,-8.744339999999999691e+01
1.214569999999999936e+03,4.549730000000000000e+06,-8.851390000000000668e+01
1.276599999999999909e+03,4.343590000000000000e+06,-8.758700000000000330e+01
1.327430000000000064e+03,4.208100000000000000e+06,-8.721819999999999595e+01
1.401869999999999891e+03,3.992920000000000000e+06,-8.763880000000000337e+01
1.456309999999999945e+03,3.860860000000000000e+06,-8.771880000000000166e+01
1.530609999999999900e+03,3.693650000000000000e+06,-8.605150000000000432e+01
1.595740000000000009e+03,3.544130000000000000e+06,-8.788960000000000150e+01
1.685390000000000100e+03,3.359190000000000000e+06,-8.603329999999999700e+01
1.764710000000000036e+03,3.201080000000000000e+06,-8.710970000000000368e+01
1.840490000000000009e+03,3.063400000000000000e+06,-8.705910000000000082e+01
1.935480000000000018e+03,2.474390000000000000e+06,-8.797950000000000159e+01
2.013420000000000073e+03,2.799180000000000000e+06,-8.767449999999999477e+01
2.127659999999999854e+03,2.656520000000000000e+06,-8.774299999999999500e+01
