# Wed Jun 28 17:10:52 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
2.000000000000000000e+01,1.279580000000000000e+07,-8.563160000000000593e+01
2.193299999999999983e+01,1.050120000000000000e+07,-8.849349999999999739e+01
2.405000000000000071e+01,9.821180000000000000e+06,-8.704749999999999943e+01
2.637590000000000146e+01,8.723200000000000000e+06,-8.704850000000000421e+01
2.892119999999999891e+01,7.662710000000000000e+06,-8.539390000000000214e+01
3.171249999999999858e+01,6.938750000000000000e+06,-8.650950000000000273e+01
3.478260000000000218e+01,6.524180000000000000e+06,-8.549779999999999802e+01
3.814370000000000260e+01,6.029140000000000000e+06,-9.093439999999999657e+01
4.182350000000000279e+01,5.152820000000000000e+06,-8.660009999999999764e+01
4.586449999999999960e+01,4.918590000000000000e+06,-8.463259999999999650e+01
5.029339999999999833e+01,4.412390000000000000e+06,-9.099200000000000443e+01
5.514710000000000178e+01,4.262490000000000000e+06,-8.601869999999999550e+01
6.048389999999999844e+01,3.922220000000000000e+06,-8.902949999999999875e+01
6.632769999999999300e+01,3.773930000000000000e+06,-8.947709999999999297e+01
7.272729999999999961e+01,3.238820000000000000e+06,-8.355070000000000618e+01
7.976600000000000534e+01,3.003270000000000000e+06,-8.518240000000000123e+01
8.743810000000000571e+01,2.704040000000000000e+06,-8.504959999999999809e+01
9.587730000000000530e+01,2.632060000000000000e+06,-8.609170000000000300e+01
1.051520000000000010e+02,2.266210000000000000e+06,-8.239050000000000296e+01
1.153400000000000034e+02,2.097290000000000000e+06,-8.197910000000000252e+01
1.265289999999999964e+02,1.915350000000000000e+06,-8.340959999999999752e+01
1.386959999999999980e+02,1.803110000000000000e+06,-8.364860000000000184e+01
1.521299999999999955e+02,1.658920000000000000e+06,-8.242950000000000443e+01
1.667589999999999861e+02,1.485890000000000000e+06,-8.292489999999999384e+01
1.828149999999999977e+02,1.358470000000000000e+06,-8.200199999999999534e+01
2.006690000000000111e+02,1.260710000000000000e+06,-8.207429999999999382e+01
2.199410000000000025e+02,1.151570000000000000e+06,-8.215689999999999316e+01
2.413520000000000039e+02,1.068690000000000000e+06,-8.135169999999999391e+01
2.645500000000000114e+02,9.881960000000000000e+05,-8.186209999999999809e+01
2.901349999999999909e+02,9.064540000000000000e+05,-8.133259999999999934e+01
3.184710000000000036e+02,8.352730000000000000e+05,-8.067659999999999343e+01
3.329630000000000223e+02,8.035430000000000000e+05,-8.064690000000000225e+01
