# Wed Jun 28 17:42:32 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
2.000000000000000000e+01,1.829940000000000000e+08,-9.489570000000000505e+01
2.193299999999999983e+01,4.593630000000000000e+08,-6.601409999999999911e+01
2.405000000000000071e+01,2.124440000000000000e+08,-8.405649999999999977e+01
2.637590000000000146e+01,1.669660000000000000e+08,-8.469530000000000314e+01
2.892119999999999891e+01,1.711310000000000000e+08,-6.661369999999999436e+01
3.171249999999999858e+01,1.681750000000000000e+08,-1.034060000000000059e+02
3.478260000000000218e+01,8.096530000000000000e+07,-1.097039999999999935e+02
3.814370000000000260e+01,8.606540000000000000e+07,-8.151080000000000325e+01
4.182350000000000279e+01,2.374240000000000000e+08,-5.378699999999999903e+01
4.586449999999999960e+01,1.705330000000000000e+08,-1.167259999999999991e+02
5.029339999999999833e+01,1.167260000000000000e+08,-1.167609999999999992e+01
5.514710000000000178e+01,1.022220000000000000e+08,-5.627329999999999899e+01
6.048389999999999844e+01,7.883200000000000000e+07,-1.089020000000000010e+02
6.632769999999999300e+01,1.420400000000000000e+08,-1.252540000000000049e+02
7.272729999999999961e+01,5.055330000000000000e+07,-7.065040000000000475e+01
7.976600000000000534e+01,6.314320000000000000e+07,-8.858639999999999759e+01
8.743810000000000571e+01,4.216650000000000000e+07,-7.236140000000000327e+01
9.587730000000000530e+01,5.611040000000000000e+07,-1.175259999999999962e+02
1.051520000000000010e+02,5.667820000000000000e+07,-9.195409999999999684e+01
1.153400000000000034e+02,4.817390000000000000e+07,-9.753789999999999338e+01
1.265289999999999964e+02,3.793280000000000000e+07,-8.862550000000000239e+01
1.386959999999999980e+02,4.699240000000000000e+07,-8.822079999999999700e+01
1.521299999999999955e+02,3.267920000000000000e+07,-8.922629999999999484e+01
1.667589999999999861e+02,2.903600000000000000e+07,-7.897079999999999700e+01
1.828149999999999977e+02,2.980780000000000000e+07,-9.167359999999999332e+01
2.006690000000000111e+02,2.610410000000000000e+07,-8.988800000000000523e+01
2.199410000000000025e+02,2.192260000000000000e+07,-9.493410000000000082e+01
2.413520000000000039e+02,2.132480000000000000e+07,-8.313930000000000575e+01
2.645500000000000114e+02,2.002360000000000000e+07,-8.528300000000000125e+01
2.901349999999999909e+02,1.767460000000000000e+07,-8.163979999999999393e+01
3.184710000000000036e+02,1.621400000000000000e+07,-8.520839999999999748e+01
3.329630000000000223e+02,1.540760000000000000e+07,-8.543699999999999761e+01
3.488369999999999891e+02,1.439810000000000000e+07,-9.009890000000000043e+01
3.654080000000000155e+02,1.455500000000000000e+07,-8.883979999999999677e+01
3.826530000000000200e+02,1.495560000000000000e+07,-8.896139999999999759e+01
4.005339999999999918e+02,1.290380000000000000e+07,-8.856489999999999441e+01
4.195799999999999841e+02,1.255770000000000000e+07,-8.477630000000000621e+01
4.398829999999999814e+02,1.234810000000000000e+07,-8.742119999999999891e+01
4.608290000000000077e+02,1.159000000000000000e+07,-8.836279999999999291e+01
4.823149999999999977e+02,1.088540000000000000e+07,-8.773590000000000089e+01
5.050509999999999877e+02,1.092220000000000000e+07,-8.849909999999999854e+01
5.281689999999999827e+02,1.000480000000000000e+07,-8.701590000000000202e+01
5.545289999999999964e+02,9.778160000000000000e+06,-8.583259999999999934e+01
5.802709999999999582e+02,9.216810000000000000e+06,-8.680280000000000484e+01
6.072870000000000346e+02,9.086210000000000000e+06,-8.756140000000000612e+01
6.355929999999999609e+02,8.436280000000000000e+06,-8.745789999999999509e+01
6.651879999999999882e+02,7.928150000000000000e+06,-8.903799999999999670e+01
6.976739999999999782e+02,8.299270000000000000e+06,-8.730809999999999604e+01
7.299270000000000209e+02,7.525740000000000000e+06,-8.738460000000000605e+01
7.653060000000000400e+02,7.192480000000000000e+06,-8.746030000000000371e+01
8.000000000000000000e+02,6.741120000000000000e+06,-8.623730000000000473e+01
8.403360000000000127e+02,6.425930000000000000e+06,-8.698109999999999786e+01
8.771929999999999836e+02,6.347760000000000000e+06,-8.621850000000000591e+01
9.202450000000000045e+02,5.970920000000000000e+06,-8.610320000000000107e+01
9.615380000000000109e+02,5.585310000000000000e+06,-8.257880000000000109e+01
1.006710000000000036e+03,5.496660000000000000e+06,-8.640470000000000539e+01
1.060069999999999936e+03,5.258290000000000000e+06,-8.696160000000000423e+01
1.107009999999999991e+03,5.105290000000000000e+06,-8.743059999999999832e+01
1.158299999999999955e+03,4.769710000000000000e+06,-8.634120000000000061e+01
1.214569999999999936e+03,4.560010000000000000e+06,-8.690089999999999293e+01
1.276599999999999909e+03,4.311680000000000000e+06,-8.743779999999999575e+01
1.327430000000000064e+03,4.216220000000000000e+06,-8.669129999999999825e+01
1.401869999999999891e+03,4.083940000000000000e+06,-8.754110000000000014e+01
1.456309999999999945e+03,3.858830000000000000e+06,-8.694970000000000709e+01
1.530609999999999900e+03,3.685070000000000000e+06,-8.749609999999999843e+01
1.595740000000000009e+03,3.527040000000000000e+06,-8.708320000000000505e+01
1.685390000000000100e+03,3.355880000000000000e+06,-8.639230000000000587e+01
1.764710000000000036e+03,3.214180000000000000e+06,-8.753000000000000114e+01
1.840490000000000009e+03,3.076590000000000000e+06,-8.815170000000000528e+01
1.935480000000000018e+03,2.970050000000000000e+06,-8.432999999999999829e+01
2.013420000000000073e+03,2.819250000000000000e+06,-8.719710000000000605e+01
2.127659999999999854e+03,2.676200000000000000e+06,-8.748369999999999891e+01
2.205880000000000109e+03,2.590980000000000000e+06,-8.701009999999999422e+01
2.307690000000000055e+03,2.441740000000000000e+06,-8.563930000000000575e+01
2.419349999999999909e+03,2.357570000000000000e+06,-8.759640000000000271e+01
2.542369999999999891e+03,2.247050000000000000e+06,-8.780159999999999343e+01
2.678570000000000164e+03,2.141720000000000000e+06,-8.817879999999999541e+01
2.803739999999999782e+03,2.151200000000000000e+06,-8.224880000000000280e+01
2.912619999999999891e+03,1.951690000000000000e+06,-8.876879999999999882e+01
3.061219999999999800e+03,1.891730000000000000e+06,-8.799850000000000705e+01
3.260869999999999891e+03,1.766960000000000000e+06,-8.778910000000000480e+01
3.409090000000000146e+03,1.693180000000000000e+06,-8.788190000000000168e+01
3.658539999999999964e+03,1.589480000000000000e+06,-8.769639999999999702e+01
3.846150000000000091e+03,1.508310000000000000e+06,-8.836939999999999884e+01
4.166670000000000073e+03,1.355670000000000000e+06,-8.908509999999999707e+01
4.411760000000000218e+03,1.325090000000000000e+06,-8.772709999999999297e+01
4.761899999999999636e+03,1.221430000000000000e+06,-8.818789999999999907e+01
5.172409999999999854e+03,1.134200000000000000e+06,-8.852899999999999636e+01
5.769229999999999563e+03,1.017820000000000000e+06,-8.831680000000000064e+01
6.250000000000000000e+03,9.441520000000000000e+05,-8.897650000000000148e+01
6.976739999999999782e+03,8.477150000000000000e+05,-8.876420000000000243e+01
7.317069999999999709e+03,8.153180000000000000e+05,-8.899590000000000600e+01
7.317069999999999709e+03,8.097820000000000000e+05,-8.892100000000000648e+01
7.500000000000000000e+03,7.961800000000000000e+05,-8.879030000000000200e+01
7.894739999999999782e+03,7.622590000000000000e+05,-8.851819999999999311e+01
8.108109999999999673e+03,7.322440000000000000e+05,-8.918980000000000530e+01
8.333329999999999927e+03,7.066330000000000000e+05,-8.913509999999999422e+01
8.333329999999999927e+03,7.159940000000000000e+05,-8.941819999999999879e+01
8.823530000000000655e+03,6.761840000000000000e+05,-8.969799999999999329e+01
9.090909999999999854e+03,6.523040000000000000e+05,-8.939589999999999748e+01
9.375000000000000000e+03,6.339530000000000000e+05,-8.928040000000000020e+01
9.375000000000000000e+03,6.372000000000000000e+05,-8.946659999999999968e+01
1.000000000000000000e+04,5.913950000000000000e+05,-8.661039999999999850e+01
1.000000000000000000e+04,6.292400000000000000e+05,-9.261759999999999593e+01
1.034479999999999927e+04,5.778510000000000000e+05,-9.004609999999999559e+01
1.111110000000000036e+04,5.420630000000000000e+05,-9.002030000000000598e+01
1.111110000000000036e+04,5.411810000000000000e+05,-9.010880000000000223e+01
1.200000000000000000e+04,5.023620000000000000e+05,-9.045610000000000639e+01
1.200000000000000000e+04,5.014880000000000000e+05,-9.027429999999999666e+01
1.250000000000000000e+04,4.817330000000000000e+05,-9.060209999999999297e+01
1.363639999999999964e+04,4.442060000000000000e+05,-9.092319999999999425e+01
1.428570000000000073e+04,4.225040000000000000e+05,-9.095399999999999352e+01
1.428570000000000073e+04,4.217340000000000000e+05,-9.130710000000000548e+01
1.500000000000000000e+04,4.007320000000000000e+05,-9.156589999999999918e+01
1.666670000000000073e+04,3.628430000000000000e+05,-9.158570000000000277e+01
1.764709999999999854e+04,3.443080000000000000e+05,-9.240359999999999729e+01
1.875000000000000000e+04,3.235040000000000000e+05,-9.242369999999999663e+01
1.875000000000000000e+04,3.231990000000000000e+05,-9.271250000000000568e+01
2.000000000000000000e+04,3.042590000000000000e+05,-9.298139999999999361e+01
2.307690000000000146e+04,2.630060000000000000e+05,-9.404579999999999984e+01
2.307690000000000146e+04,2.642310000000000000e+05,-9.400060000000000571e+01
2.500000000000000000e+04,2.421100000000000000e+05,-9.435670000000000357e+01
2.727270000000000073e+04,2.247270000000000000e+05,-9.512170000000000414e+01
2.727270000000000073e+04,2.249310000000000000e+05,-9.517300000000000182e+01
2.857140000000000146e+04,2.140810000000000000e+05,-9.549580000000000268e+01
3.000000000000000000e+04,2.041670000000000000e+05,-9.601919999999999789e+01
3.157890000000000146e+04,1.938960000000000000e+05,-9.619169999999999732e+01
3.333330000000000291e+04,1.838720000000000000e+05,-9.684600000000000364e+01
3.529409999999999854e+04,1.731260000000000000e+05,-9.738530000000000086e+01
3.750000000000000000e+04,1.627930000000000000e+05,-9.796710000000000207e+01
4.000000000000000000e+04,1.524690000000000000e+05,-9.867459999999999809e+01
4.285709999999999854e+04,1.418480000000000000e+05,-9.950050000000000239e+01
4.615380000000000291e+04,1.318220000000000000e+05,-1.003739999999999952e+02
5.000000000000000000e+04,1.210180000000000000e+05,-1.014120000000000061e+02
5.217390000000000146e+04,1.157060000000000000e+05,-1.020010000000000048e+02
5.714290000000000146e+04,1.047870000000000000e+05,-1.033919999999999959e+02
6.000000000000000000e+04,9.941639999999999418e+04,-1.040990000000000038e+02
6.000000000000000000e+04,9.945380000000000291e+04,-1.041329999999999956e+02
6.666669999999999709e+04,8.858010000000000582e+04,-1.056860000000000070e+02
7.058819999999999709e+04,8.290169999999999709e+04,-1.067240000000000038e+02
7.058819999999999709e+04,8.290669999999999709e+04,-1.066599999999999966e+02
7.500000000000000000e+04,7.747910000000000582e+04,-1.077309999999999945e+02
8.000000000000000000e+04,7.188380000000000291e+04,-1.090120000000000005e+02
9.230769999999999709e+04,6.048459999999999854e+04,-1.117789999999999964e+02
1.000000000000000000e+05,5.478350000000000000e+04,-1.134620000000000033e+02
1.000000000000000000e+05,5.472650000000000000e+04,-1.134959999999999951e+02
1.090910000000000000e+05,4.897409999999999854e+04,-1.153229999999999933e+02
1.142860000000000000e+05,4.606730000000000291e+04,-1.163110000000000070e+02
1.200000000000000000e+05,4.310759999999999854e+04,-1.172660000000000053e+02
1.200000000000000000e+05,4.313409999999999854e+04,-1.172540000000000049e+02
1.333330000000000000e+05,3.736169999999999709e+04,-1.191949999999999932e+02
1.333330000000000000e+05,3.733990000000000146e+04,-1.193580000000000041e+02
1.411760000000000000e+05,3.450040000000000146e+04,-1.204849999999999994e+02
1.500000000000000000e+05,3.166820000000000073e+04,-1.219120000000000061e+02
1.600000000000000000e+05,2.884070000000000073e+04,-1.234000000000000057e+02
1.846150000000000000e+05,2.306809999999999854e+04,-1.266310000000000002e+02
1.846150000000000000e+05,2.306400000000000000e+04,-1.266449999999999960e+02
2.000000000000000000e+05,2.016259999999999854e+04,-1.283619999999999948e+02
