# {time.ctime()}
#  Frecuencia [Hz], Z [Ohm], Fase [°]
9.950249999999999773e+01,2.890970000000000073e+04,-6.271019999999999373e-02
1.013509999999999991e+02,2.893479999999999927e+04,-2.773400000000000171e-02
1.032699999999999960e+02,2.891340000000000146e+04,-6.589710000000000012e-02
1.051520000000000010e+02,2.889470000000000073e+04,-1.024530000000000024e-01
1.071430000000000007e+02,2.890200000000000000e+04,-6.968080000000000107e-02
1.091310000000000002e+02,2.889559999999999854e+04,-7.861519999999999619e-02
1.111520000000000010e+02,2.890120000000000073e+04,-1.226399999999999990e-01
1.132500000000000000e+02,2.889090000000000146e+04,-8.859820000000000195e-02
1.153400000000000034e+02,2.891459999999999854e+04,-7.381079999999999586e-02
1.175090000000000003e+02,2.890609999999999854e+04,-1.109200000000000047e-01
1.197129999999999939e+02,2.891850000000000000e+04,-6.960239999999999483e-02
1.218520000000000039e+02,2.892100000000000000e+04,-1.041870000000000018e-01
1.241719999999999970e+02,2.890779999999999927e+04,-1.036569999999999991e-01
1.265289999999999964e+02,2.892990000000000146e+04,-8.469939999999999414e-02
1.288660000000000139e+02,2.890279999999999927e+04,-6.174169999999999658e-02
1.311759999999999877e+02,2.889590000000000146e+04,-8.002979999999999816e-02
1.336299999999999955e+02,2.891650000000000000e+04,-1.091000000000000025e-01
1.361160000000000139e+02,2.892790000000000146e+04,-8.702250000000000263e-02
1.386959999999999980e+02,2.892370000000000073e+04,-8.388959999999999473e-02
1.413089999999999975e+02,2.892009999999999854e+04,-5.917599999999999943e-02
1.439540000000000077e+02,2.891850000000000000e+04,-7.815429999999999600e-02
1.466279999999999859e+02,2.891100000000000000e+04,-5.078160000000000313e-02
1.493280000000000030e+02,2.894140000000000146e+04,-3.103559999999999999e-02
1.521299999999999955e+02,2.894400000000000000e+04,3.800560000000000136e-03
1.549590000000000032e+02,2.892790000000000146e+04,-7.125090000000000590e-02
1.578950000000000102e+02,2.894640000000000146e+04,-3.347540000000000238e-02
1.607719999999999914e+02,2.893179999999999927e+04,-6.093139999999999668e-02
1.636659999999999968e+02,2.894890000000000146e+04,-6.818970000000000586e-02
1.667589999999999861e+02,2.894729999999999927e+04,-6.062030000000000196e-02
1.698750000000000000e+02,2.895029999999999927e+04,-3.582880000000000092e-02
1.730099999999999909e+02,2.892800000000000000e+04,-3.238069999999999837e-02
1.762630000000000052e+02,2.893540000000000146e+04,-3.392710000000000170e-02
1.795329999999999870e+02,2.891779999999999927e+04,-1.803520000000000123e-02
1.828149999999999977e+02,2.893840000000000146e+04,-2.935269999999999893e-02
1.863350000000000080e+02,2.896290000000000146e+04,2.990560000000000180e-03
1.897529999999999859e+02,2.897920000000000073e+04,-5.320110000000000117e-02
1.934240000000000066e+02,2.900200000000000000e+04,-1.615190000000000028e-02
1.968499999999999943e+02,2.899079999999999927e+04,2.044280000000000055e-02
2.006690000000000111e+02,2.896800000000000000e+04,-5.702499999999999930e-02
2.043600000000000136e+02,2.897600000000000000e+04,-3.981729999999999992e-02
2.080440000000000111e+02,2.895750000000000000e+04,-2.903769999999999962e-02
2.118640000000000043e+02,2.897429999999999927e+04,-3.129769999999999774e-02
2.158269999999999982e+02,2.899640000000000146e+04,-5.964939999999999826e-02
2.199410000000000025e+02,2.897929999999999927e+04,-3.047170000000000087e-02
2.242150000000000034e+02,2.895540000000000146e+04,-7.867889999999999606e-02
2.283110000000000070e+02,2.895329999999999927e+04,-5.639090000000000075e-02
2.323779999999999859e+02,2.896370000000000073e+04,-6.612450000000000272e-02
2.369670000000000130e+02,2.897529999999999927e+04,-4.546680000000000166e-02
2.413520000000000039e+02,2.895659999999999854e+04,-4.776260000000000228e-02
2.456999999999999886e+02,2.896370000000000073e+04,-3.240830000000000100e-02
2.504170000000000016e+02,2.895090000000000146e+04,-7.322739999999999805e-02
2.548849999999999909e+02,2.895920000000000073e+04,-3.940769999999999690e-02
2.597400000000000091e+02,2.897650000000000000e+04,-4.464800000000000019e-02
2.645500000000000114e+02,2.895470000000000073e+04,-9.719730000000000036e-02
2.695419999999999732e+02,2.896190000000000146e+04,-5.799119999999999969e-02
2.747250000000000227e+02,2.897579999999999927e+04,-5.526190000000000269e-02
2.798509999999999991e+02,2.898379999999999927e+04,-5.485480000000000217e-02
2.848999999999999773e+02,2.899179999999999927e+04,-4.533859999999999973e-02
2.901349999999999909e+02,2.897679999999999927e+04,-1.005449999999999920e-02
2.955659999999999741e+02,2.898400000000000000e+04,-9.010899999999999466e-02
3.012049999999999841e+02,2.900200000000000000e+04,-3.030129999999999976e-02
3.064350000000000023e+02,2.900270000000000073e+04,-5.266989999999999866e-02
3.125000000000000000e+02,2.900920000000000073e+04,-1.710839999999999930e-03
3.184710000000000036e+02,2.900150000000000000e+04,-4.827139999999999903e-02
3.239739999999999895e+02,2.900859999999999854e+04,-3.191650000000000043e-02
3.300330000000000155e+02,2.900650000000000000e+04,-4.640729999999999855e-02
3.359460000000000264e+02,2.900440000000000146e+04,-9.516330000000000622e-02
3.428570000000000277e+02,2.902240000000000146e+04,-4.278640000000000221e-02
3.488369999999999891e+02,2.900540000000000146e+04,-3.646490000000000148e-02
3.554499999999999886e+02,2.898420000000000073e+04,-4.162260000000000265e-02
3.623190000000000168e+02,2.901140000000000146e+04,-5.871790000000000342e-02
3.685500000000000114e+02,2.900559999999999854e+04,-7.839409999999999434e-02
3.754689999999999941e+02,2.900670000000000073e+04,-1.008499999999999952e-01
3.826530000000000200e+02,2.901379999999999927e+04,-6.441170000000000229e-02
3.896100000000000136e+02,2.899900000000000000e+04,-1.022219999999999934e-01
3.968249999999999886e+02,2.902059999999999854e+04,-1.172369999999999940e-01
4.048580000000000041e+02,2.902620000000000073e+04,-8.355089999999999739e-02
4.120880000000000223e+02,2.901350000000000000e+04,-7.854250000000000120e-02
4.195799999999999841e+02,2.901950000000000000e+04,-1.015690000000000065e-01
4.273500000000000227e+02,2.898859999999999854e+04,-9.120259999999999478e-02
4.360470000000000255e+02,2.902620000000000073e+04,-5.774920000000000053e-02
4.431309999999999718e+02,2.903140000000000146e+04,-7.688860000000000139e-02
4.518070000000000164e+02,2.900790000000000146e+04,-7.435650000000000592e-02
4.608290000000000077e+02,2.901029999999999927e+04,-5.377869999999999873e-02
4.687500000000000000e+02,2.900940000000000146e+04,-5.728690000000000171e-02
4.777069999999999936e+02,2.901779999999999927e+04,-7.228919999999999790e-02
4.870129999999999768e+02,2.903370000000000073e+04,-7.803509999999999613e-02
4.950489999999999782e+02,2.903140000000000146e+04,-8.549619999999999442e-02
5.050509999999999877e+02,2.903100000000000000e+04,-8.832489999999999786e-02
5.145800000000000409e+02,2.901209999999999854e+04,-9.858649999999999358e-02
5.235599999999999454e+02,2.902679999999999927e+04,-8.634060000000000346e-02
5.338079999999999927e+02,2.901559999999999854e+04,-4.555000000000000021e-02
5.434779999999999518e+02,2.901859999999999854e+04,-9.094230000000000369e-02
5.545289999999999964e+02,2.903209999999999854e+04,-8.533219999999999694e-02
5.649719999999999800e+02,2.903870000000000073e+04,-1.233800000000000036e-01
5.747129999999999654e+02,2.904600000000000000e+04,-9.817080000000000251e-02
5.847949999999999591e+02,2.903650000000000000e+04,-1.125440000000000051e-01
5.952380000000000564e+02,2.900990000000000146e+04,-1.274889999999999912e-01
6.072870000000000346e+02,2.902129999999999927e+04,-1.257880000000000109e-01
6.198350000000000364e+02,2.901209999999999854e+04,-1.079149999999999970e-01
6.302519999999999527e+02,2.900920000000000073e+04,-1.015690000000000065e-01
6.423980000000000246e+02,2.900859999999999854e+04,-1.381400000000000128e-01
6.550220000000000482e+02,2.900729999999999927e+04,-1.289520000000000111e-01
6.651879999999999882e+02,2.901079999999999927e+04,-1.124760000000000065e-01
