# {time.ctime()}
#  Frecuencia [Hz], Z [Ohm], Fase []
9.950249999999999773e+01,2.903600000000000000e+04,-6.131389999999999757e-02
1.013509999999999991e+02,2.902109999999999854e+04,-1.078139999999999932e-01
1.032699999999999960e+02,2.901079999999999927e+04,-1.021090000000000053e-01
1.051520000000000010e+02,2.904440000000000146e+04,-6.873429999999999818e-02
1.071430000000000007e+02,2.899300000000000000e+04,-7.046170000000000211e-02
1.091310000000000002e+02,2.900559999999999854e+04,-9.405800000000000272e-02
1.111520000000000010e+02,2.899290000000000146e+04,-9.495399999999999674e-02
1.132500000000000000e+02,2.897770000000000073e+04,-7.411159999999999970e-02
1.153400000000000034e+02,2.899770000000000073e+04,-9.038459999999999550e-02
1.175090000000000003e+02,2.898250000000000000e+04,-9.288960000000000272e-02
1.197129999999999939e+02,2.900009999999999854e+04,-7.508460000000000134e-02
1.218520000000000039e+02,2.898779999999999927e+04,-1.028749999999999942e-01
1.241719999999999970e+02,2.900250000000000000e+04,-1.035080000000000028e-01
1.265289999999999964e+02,2.897809999999999854e+04,-9.641210000000000058e-02
1.288660000000000139e+02,2.899529999999999927e+04,-6.062990000000000046e-02
1.311759999999999877e+02,2.897329999999999927e+04,-1.249519999999999936e-01
1.336299999999999955e+02,2.902020000000000073e+04,-8.904399999999999815e-02
1.361160000000000139e+02,2.898479999999999927e+04,-6.228700000000000209e-02
1.386959999999999980e+02,2.899720000000000073e+04,-6.475720000000000087e-02
1.413089999999999975e+02,2.900020000000000073e+04,-7.739980000000000471e-02
1.439540000000000077e+02,2.903029999999999927e+04,-5.184689999999999611e-03
1.466279999999999859e+02,2.902570000000000073e+04,-3.065820000000000004e-02
1.493280000000000030e+02,2.902809999999999854e+04,-4.943569999999999909e-02
1.521299999999999955e+02,2.902040000000000146e+04,-1.500800000000000051e-02
1.549590000000000032e+02,2.901350000000000000e+04,-7.940469999999999473e-02
1.578950000000000102e+02,2.901900000000000000e+04,-6.793829999999999314e-02
1.607719999999999914e+02,2.898779999999999927e+04,-3.389280000000000070e-02
1.636659999999999968e+02,2.899109999999999854e+04,-2.784800000000000123e-02
1.667589999999999861e+02,2.901179999999999927e+04,-3.715890000000000165e-02
1.698750000000000000e+02,2.902100000000000000e+04,-4.976980000000000293e-02
1.730099999999999909e+02,2.902290000000000146e+04,-7.842839999999999534e-02
1.762630000000000052e+02,2.903570000000000073e+04,-6.378490000000000115e-04
1.795329999999999870e+02,2.902590000000000146e+04,-3.662030000000000146e-02
1.828149999999999977e+02,2.902259999999999854e+04,-7.358629999999999338e-02
1.863350000000000080e+02,2.903009999999999854e+04,-1.853780000000000011e-02
1.897529999999999859e+02,2.900770000000000073e+04,-6.196009999999999712e-02
1.934240000000000066e+02,2.904020000000000073e+04,3.513789999999999969e-02
1.968499999999999943e+02,2.904229999999999927e+04,-5.531849999999999962e-02
2.006690000000000111e+02,2.903109999999999854e+04,-6.040689999999999948e-02
2.043600000000000136e+02,2.902790000000000146e+04,-4.862450000000000105e-02
2.080440000000000111e+02,2.902570000000000073e+04,-4.686440000000000050e-02
2.118640000000000043e+02,2.900150000000000000e+04,-4.701740000000000086e-02
2.158269999999999982e+02,2.901509999999999854e+04,-5.376779999999999754e-02
2.199410000000000025e+02,2.902179999999999927e+04,-6.516520000000000645e-02
2.242150000000000034e+02,2.905050000000000000e+04,-3.955929999999999863e-02
2.283110000000000070e+02,2.901859999999999854e+04,-5.634310000000000013e-02
2.323779999999999859e+02,2.901770000000000073e+04,-7.420419999999999794e-02
2.369670000000000130e+02,2.899479999999999927e+04,-5.736979999999999857e-02
2.413520000000000039e+02,2.901740000000000146e+04,-4.228090000000000320e-02
2.456999999999999886e+02,2.902840000000000146e+04,-4.963370000000000282e-02
2.504170000000000016e+02,2.902829999999999927e+04,-7.053030000000000410e-02
2.548849999999999909e+02,2.899720000000000073e+04,-5.209720000000000323e-02
2.597400000000000091e+02,2.900629999999999927e+04,-6.402900000000000258e-02
2.645500000000000114e+02,2.899929999999999927e+04,-7.244530000000000414e-02
2.695419999999999732e+02,2.900450000000000000e+04,-7.310750000000000581e-02
2.747250000000000227e+02,2.901640000000000146e+04,-2.814389999999999947e-02
2.798509999999999991e+02,2.899459999999999854e+04,-1.703019999999999881e-02
2.848999999999999773e+02,2.900929999999999927e+04,-3.584470000000000017e-02
2.901349999999999909e+02,2.899659999999999854e+04,-8.399330000000000684e-02
2.955659999999999741e+02,2.899890000000000146e+04,-5.120840000000000114e-02
3.012049999999999841e+02,2.901829999999999927e+04,-3.333660000000000095e-02
3.064350000000000023e+02,2.900979999999999927e+04,-1.965209999999999874e-02
3.125000000000000000e+02,2.903759999999999854e+04,-1.650980000000000156e-02
3.184710000000000036e+02,2.904800000000000000e+04,-9.116819999999999438e-03
3.239739999999999895e+02,2.906140000000000146e+04,1.663490000000000107e-03
3.300330000000000155e+02,2.903529999999999927e+04,-6.579569999999999863e-02
3.359460000000000264e+02,2.901409999999999854e+04,-4.447829999999999839e-02
3.428570000000000277e+02,2.901659999999999854e+04,-3.910609999999999781e-02
3.488369999999999891e+02,2.902690000000000146e+04,-7.315900000000000181e-02
3.554499999999999886e+02,2.900300000000000000e+04,-6.172509999999999802e-02
3.623190000000000168e+02,2.902740000000000146e+04,-7.609749999999999848e-02
3.685500000000000114e+02,2.902329999999999927e+04,-4.961940000000000101e-02
3.754689999999999941e+02,2.903759999999999854e+04,-5.643730000000000274e-02
3.826530000000000200e+02,2.903090000000000146e+04,-8.507939999999999947e-02
3.896100000000000136e+02,2.900570000000000073e+04,-9.408099999999999796e-02
3.968249999999999886e+02,2.902490000000000146e+04,-7.405860000000000221e-02
4.048580000000000041e+02,2.902920000000000073e+04,-6.000019999999999659e-02
