# Tue Sep  5 16:08:18 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
2.000000000000000000e+01,1.432560000000000000e+07,-9.717669999999999675e+01
2.018710000000000093e+01,8.665460000000000000e+06,-1.617369999999999948e+02
2.037209999999999965e+01,1.992810000000000000e+06,2.566150000000000020e+01
2.056200000000000117e+01,3.506500000000000000e+06,-3.847769999999999868e+01
2.075120000000000076e+01,6.641340000000000000e+05,-1.404130000000000109e+02
2.094529999999999959e+01,1.880330000000000000e+06,-6.831839999999999691e+00
2.114020000000000010e+01,2.624880000000000000e+06,-1.286200000000000045e+02
2.133409999999999940e+01,6.468140000000000000e+05,2.521229999999999905e+01
2.153320000000000078e+01,1.246160000000000000e+06,-1.010199999999999960e+02
2.173130000000000095e+01,9.412820000000000000e+05,1.418640000000000043e+02
2.193299999999999983e+01,3.638720000000000000e+06,1.059669999999999987e+02
2.213530000000000086e+01,5.113560000000000000e+05,-8.632139999999999702e+01
2.234140000000000015e+01,3.419470000000000000e+06,1.365180000000000007e+02
2.254960000000000164e+01,3.164370000000000000e+06,8.732099999999999795e+01
2.275829999999999842e+01,9.214800000000000000e+05,5.218659999999999854e+01
2.296740000000000137e+01,1.065160000000000000e+06,7.714780000000000371e+01
2.318029999999999902e+01,1.867580000000000000e+06,1.784209999999999923e+02
2.339730000000000132e+01,2.303020000000000000e+06,4.012550000000000239e+01
2.361280000000000001e+01,2.738780000000000000e+06,1.516040000000000134e+02
2.383030000000000115e+01,5.199950000000000000e+05,1.156740000000000066e+02
2.405000000000000071e+01,2.497790000000000000e+06,7.862040000000000362e+00
2.427580000000000027e+01,1.007420000000000000e+06,-1.278760000000000048e+02
2.449980000000000047e+01,5.605480000000000000e+06,-1.712510000000000048e+02
2.472800000000000153e+01,2.750660000000000000e+06,1.489089999999999918e+02
2.495429999999999993e+01,1.078640000000000000e+06,9.984680000000000177e+01
2.518680000000000163e+01,3.613260000000000000e+06,1.752669999999999959e+02
2.541939999999999955e+01,2.825450000000000000e+06,-1.018889999999999958e+02
2.565419999999999945e+01,2.608210000000000000e+07,-2.397459999999999880e+01
2.589110000000000156e+01,9.440920000000000000e+05,9.773869999999999436e+01
2.613009999999999877e+01,5.965610000000000000e+05,-9.493040000000000589e+01
2.637590000000000146e+01,9.052170000000000000e+05,1.284989999999999952e+02
2.661929999999999907e+01,3.744800000000000000e+05,9.506220000000000425e+01
2.686730000000000018e+01,4.432930000000000000e+05,-7.003919999999999391e+01
2.711250000000000071e+01,6.445700000000000000e+05,-1.678880000000000052e+02
2.736730000000000018e+01,6.627480000000000000e+05,1.499480000000000075e+02
2.761919999999999931e+01,1.067080000000000000e+06,-1.730840000000000032e+02
2.787330000000000041e+01,7.802790000000000000e+05,1.888719999999999999e+01
2.813200000000000145e+01,5.966070000000000000e+05,-1.512410000000000139e+02
2.839560000000000173e+01,5.406210000000000000e+05,9.707479999999999620e+01
2.865599999999999881e+01,8.662410000000000000e+05,4.641100000000000136e+01
2.892119999999999891e+01,1.366240000000000000e+06,1.437829999999999870e+02
2.919140000000000157e+01,7.852460000000000000e+05,-1.293480000000000132e+02
2.946379999999999910e+01,9.952970000000000000e+05,-3.428620000000000090e+01
2.973239999999999839e+01,9.243660000000000000e+05,-4.274389999999999645e+01
3.000600000000000023e+01,3.146520000000000000e+06,-1.000729999999999933e+02
3.028770000000000095e+01,4.365950000000000000e+06,-1.177770000000000010e+02
3.056859999999999999e+01,1.108420000000000000e+06,-1.112639999999999958e+02
3.084829999999999828e+01,3.515040000000000000e+06,1.159719999999999942e+02
3.113329999999999842e+01,2.089210000000000000e+06,-1.393679999999999950e+02
3.142680000000000007e+01,4.560240000000000000e+05,8.802009999999999934e+01
3.171249999999999858e+01,3.190000000000000000e+05,-1.202710000000000008e+02
3.201019999999999754e+01,4.563340000000000000e+05,6.234649999999999892e+01
3.230319999999999681e+01,3.637910000000000000e+06,-8.188509999999999422e+01
3.260520000000000351e+01,3.801190000000000000e+05,-1.326730000000000018e+02
3.290919999999999845e+01,7.269830000000000000e+05,-1.473559999999999945e+02
3.321520000000000294e+01,9.058240000000000000e+05,1.550209999999999866e+02
3.352329999999999899e+01,4.782640000000000000e+05,-1.299019999999999868e+02
3.383330000000000126e+01,4.647540000000000000e+05,-2.215119999999999933e+01
3.414130000000000109e+01,9.123640000000000000e+05,-1.754509999999999934e+02
3.446300000000000097e+01,3.715950000000000000e+05,-6.326820000000000022e+01
3.478260000000000218e+01,6.334850000000000000e+05,-2.795230000000000103e+01
3.510000000000000142e+01,4.844480000000000000e+05,8.045109999999999317e+00
3.542329999999999757e+01,2.873940000000000000e+05,1.425060000000000002e+02
3.575690000000000168e+01,6.225910000000000000e+05,6.949460000000000548e+01
