# Tue Sep  5 16:43:47 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
2.000000000000000000e+01,1.626540000000000000e+08,-9.868049999999999500e+01
2.018710000000000093e+01,1.169030000000000000e+08,-9.854670000000000130e+01
2.037209999999999965e+01,1.650250000000000000e+08,-5.681539999999999679e+01
2.056200000000000117e+01,1.470330000000000000e+08,-9.234969999999999857e+01
2.075120000000000076e+01,1.652810000000000000e+08,-8.682779999999999632e+01
2.094529999999999959e+01,1.968290000000000000e+08,-8.598810000000000286e+01
2.114020000000000010e+01,3.536380000000000000e+08,-8.947839999999999350e+01
2.133409999999999940e+01,2.429140000000000000e+08,-6.227429999999999666e+01
2.153320000000000078e+01,2.814340000000000000e+08,-1.116029999999999944e+02
2.173130000000000095e+01,3.314150000000000000e+08,-8.767789999999999395e+01
2.193299999999999983e+01,1.368490000000000000e+08,-1.039260000000000019e+02
2.213530000000000086e+01,1.969770000000000000e+08,-7.449460000000000548e+01
2.234140000000000015e+01,4.010330000000000000e+08,-7.953549999999999898e+01
2.254960000000000164e+01,8.718570000000000000e+07,-7.211960000000000548e+01
2.275829999999999842e+01,3.362190000000000000e+08,-1.231580000000000013e+02
2.296740000000000137e+01,1.610490000000000000e+08,-8.712220000000000653e+01
2.318029999999999902e+01,9.747950000000000000e+08,-1.871640000000000015e+01
2.339730000000000132e+01,2.044420000000000000e+08,-1.138979999999999961e+02
2.361280000000000001e+01,1.901750000000000000e+08,-7.097610000000000241e+01
2.383030000000000115e+01,1.425880000000000000e+08,-4.209620000000000317e+01
2.405000000000000071e+01,3.511800000000000000e+08,-1.516949999999999932e+02
2.427580000000000027e+01,5.212070000000000000e+08,-5.786990000000000123e+01
2.449980000000000047e+01,2.115590000000000000e+08,-8.994689999999999941e+01
2.472800000000000153e+01,2.222230000000000000e+08,-8.381990000000000407e+01
2.495429999999999993e+01,2.051580000000000000e+08,-8.801649999999999352e+01
2.518680000000000163e+01,1.927880000000000000e+08,-8.137279999999999802e+01
2.541939999999999955e+01,2.224560000000000000e+08,-7.285909999999999798e+01
2.565419999999999945e+01,2.301600000000000000e+08,-8.573699999999999477e+01
2.589110000000000156e+01,1.753870000000000000e+08,-8.866360000000000241e+01
